,PPP2CA (5515)
ACH-000004,-1.1071302864399999
ACH-000007,-1.1108822788
ACH-000009,-1.09790183991
ACH-000011,-1.2270068678100001
ACH-000012,-0.9227471159649999
ACH-000013,-1.5700286846
ACH-000014,-1.00174532845
ACH-000015,-1.49522642915
ACH-000017,-1.18594232457
ACH-000018,-1.2258296585600001
ACH-000019,-1.49327120974
ACH-000021,-0.42228479738700003
ACH-000022,-1.6454147292200003
ACH-000025,-1.1044846046799999
ACH-000028,-1.2883773018
ACH-000030,-1.24622395795
ACH-000035,-0.823019559833
ACH-000036,-1.1062877756899998
ACH-000037,-0.9630540390960001
ACH-000039,-1.0970132967
ACH-000040,-1.21151429596
ACH-000041,-1.49587077986
ACH-000042,-1.36273729294
ACH-000045,-1.2010657010799999
ACH-000047,-0.5912205817539999
ACH-000052,-0.620680289041
ACH-000053,-1.40449306185
ACH-000054,-0.9475581406389999
ACH-000055,-1.14545777667
ACH-000060,-1.29883734086
ACH-000067,-0.954557023717
ACH-000070,-1.39654903017
ACH-000075,-0.76610030926
ACH-000078,-1.1091916343200001
ACH-000082,-0.842215311231
ACH-000085,-1.4774942837
ACH-000086,-1.09636230265
ACH-000087,-1.2244687788200002
ACH-000092,-0.47233001978600003
ACH-000095,-1.30216043908
ACH-000097,-1.01517437017
ACH-000098,-1.00284843073
ACH-000099,-1.2977953588700002
ACH-000108,-0.592751306813
ACH-000113,-1.0853392450200001
ACH-000115,-2.22915390826
ACH-000116,-1.2453941314299999
ACH-000118,-1.27714406854
ACH-000120,-0.831577855511
ACH-000123,-0.935928467602
ACH-000127,-1.36196829607
ACH-000128,-1.1159028358399998
ACH-000132,-0.7353451888150001
ACH-000133,-1.00581591727
ACH-000137,-1.0809829060299998
ACH-000138,-1.14120376543
ACH-000142,-1.1054625064799999
ACH-000143,-0.176444697872
ACH-000146,-1.1806275050900001
ACH-000148,-1.03325808327
ACH-000150,-1.4163276305599999
ACH-000152,-1.1422920254
ACH-000153,-1.81813879542
ACH-000159,-0.892371135899
ACH-000160,-1.5050843901100002
ACH-000163,-0.834086168265
ACH-000167,-1.5449122776100002
ACH-000168,-0.8446010134469999
ACH-000169,-1.07604730105
ACH-000178,-0.610011406399
ACH-000182,-1.59519278961
ACH-000183,-1.12587749515
ACH-000188,-1.27372163762
ACH-000189,-1.38226130932
ACH-000190,-0.986792638136
ACH-000198,-1.2736310447299999
ACH-000204,-0.692498548361
ACH-000206,-1.28357774918
ACH-000207,-1.53223882866
ACH-000211,-1.8177744660900004
ACH-000215,-1.1729047095
ACH-000221,-1.34201375612
ACH-000222,-0.7243798010860001
ACH-000223,-1.6427986997
ACH-000226,-1.17755032711
ACH-000227,-1.10259531992
ACH-000228,-1.3729678369299998
ACH-000231,-0.40718920534599995
ACH-000232,-1.06062950895
ACH-000233,-1.22705713282
ACH-000234,-0.72152375033
ACH-000235,-1.1382798723999998
ACH-000237,-0.719881113235
ACH-000238,-1.5348658822999999
ACH-000243,-1.40147103529
ACH-000244,-1.2685609480700002
ACH-000246,-1.12402420404
ACH-000248,-1.43342579394
ACH-000250,-0.907760443861
ACH-000251,-1.36067465902
ACH-000253,-1.20849926259
ACH-000255,-0.965032627464
ACH-000256,-1.0158968477399999
ACH-000257,-0.749948355857
ACH-000258,-1.08970466325
ACH-000259,-0.970136094091
ACH-000260,-0.658436728814
ACH-000261,-0.563798511173
ACH-000262,-1.03528303621
ACH-000263,-1.4965726226700002
ACH-000264,-1.5791354197299998
ACH-000265,-1.1752516398200001
ACH-000266,-1.23763514989
ACH-000272,-0.416354033024
