,CLASRP (11129)
ACH-000004,-0.449724544199
ACH-000007,-0.589483856188
ACH-000009,-0.7792803774770001
ACH-000011,-0.613653275154
ACH-000012,-0.882674642281
ACH-000013,-0.704638336041
ACH-000014,-0.30866570129
ACH-000015,-0.944656145572
ACH-000017,-0.481159864709
ACH-000018,-0.7288863253
ACH-000019,-0.357699770307
ACH-000021,-0.514989515041
ACH-000022,-0.475092499774
ACH-000025,-0.45796737277099997
ACH-000028,-0.613125912976
ACH-000030,-0.693302823461
ACH-000035,-0.31637336919799997
ACH-000036,-0.0594642045575
ACH-000037,-0.63307524937
ACH-000039,-0.576323874847
ACH-000040,-0.321990949934
ACH-000041,-0.590348824155
ACH-000042,-0.43069302851999997
ACH-000045,-0.516018154133
ACH-000047,-0.341840654126
ACH-000052,-0.5518618469919999
ACH-000053,-0.632474253415
ACH-000054,-0.442216011611
ACH-000055,-0.773278109071
ACH-000060,-0.730046860484
ACH-000067,-0.611919448245
ACH-000070,-0.50857186706
ACH-000075,-0.6081197993990001
ACH-000078,-0.27952627386100004
ACH-000082,-0.537645964451
ACH-000085,-0.483655667781
ACH-000086,-0.5019233912969999
ACH-000087,-0.570916685078
ACH-000092,-0.6321192922259999
ACH-000095,-0.548550224109
ACH-000097,-0.186535312762
ACH-000098,-0.636437857837
ACH-000099,-0.324003941256
ACH-000108,-0.845525371538
ACH-000113,-0.612962190009
ACH-000115,-0.499991686035
ACH-000116,-0.524574174697
ACH-000118,-1.01226005715
ACH-000120,-0.579904289757
ACH-000123,-0.8432288554
ACH-000127,-0.313933137069
ACH-000128,-0.319823182699
ACH-000132,-0.642438320587
ACH-000133,-0.618425483399
ACH-000137,-0.473638730086
ACH-000138,-0.671996309917
ACH-000142,-0.6790056268670001
ACH-000143,-0.7387645856939999
ACH-000146,-0.534632777656
ACH-000148,-0.393152278714
ACH-000150,-0.447087507228
ACH-000152,-0.5553322655080001
ACH-000153,-0.483805031552
ACH-000159,-0.5461591526940001
ACH-000160,-0.771153077772
ACH-000163,-0.36939487833800005
ACH-000167,-0.726743015119
ACH-000168,-0.032308033144
ACH-000169,-0.35959318798699996
ACH-000178,-0.535330450075
ACH-000182,-0.649870543233
ACH-000183,-0.5139459269650001
ACH-000188,-0.91064530294
ACH-000189,-0.8086968667100001
ACH-000190,-0.551749401407
ACH-000198,-0.5545444628689999
ACH-000204,-0.262703589956
ACH-000206,-0.526080488052
ACH-000207,-0.846809481151
ACH-000211,-0.6203144721580001
ACH-000215,-0.326224125296
ACH-000221,-0.991929613337
ACH-000222,-0.528026870432
ACH-000223,-0.5097534756300001
ACH-000226,-0.564343180811
ACH-000227,-0.113991071943
ACH-000228,-0.54971799907
ACH-000231,-0.332152722129
ACH-000232,-0.30296881317200003
ACH-000233,-0.614691036882
ACH-000234,-0.554201527368
ACH-000235,-0.614296424273
ACH-000237,-0.663605364258
ACH-000238,-0.75062505064
ACH-000243,-0.565442805454
ACH-000244,-0.414104945119
ACH-000246,-0.6830287646940001
ACH-000248,-0.629274234159
ACH-000250,-0.730902469303
ACH-000251,-0.924421570918
ACH-000253,-0.30423125151700003
ACH-000255,-0.653376028601
ACH-000256,-0.598523717962
ACH-000257,-0.6509871143020001
ACH-000258,-0.09595197204780001
ACH-000259,-0.606107094142
ACH-000260,-0.7985082582080001
ACH-000261,-0.749250008325
ACH-000262,-0.342095473724
ACH-000263,-0.356012048041
ACH-000264,-0.28446441988800003
ACH-000265,-0.613847695977
ACH-000266,-0.823662247588
ACH-000272,-0.2299551932
ACH-000273,-0.438465931064
ACH-000274,-0.000704286890511
ACH-000277,-0.303583116968
ACH-000278,-0.78693583671
ACH-000279,-0.716455132274
ACH-000280,-0.6701901600869999
ACH-000281,-0.709346830383
ACH-000288,-0.481380882214
ACH-000291,-0.322450041861
ACH-000293,-0.9278096186589999
ACH-000294,-0.526559560333
ACH-000295,-0.50292142091
ACH-000296,-0.6264930772039999
ACH-000302,-0.696722634757
ACH-000304,0.042890070964
ACH-000307,-0.5547137702570001
ACH-000308,-0.5861695819430001
ACH-000310,-0.427917234326
ACH-000311,-0.585819446027
ACH-000312,-0.7104184717219999
ACH-000315,-0.515960224293
ACH-000316,-0.491967048948
ACH-000317,-0.548523594172
ACH-000318,-0.480699840175
ACH-000319,-0.395487501387
ACH-000320,-0.621600966909
ACH-000322,-0.368898603806
ACH-000323,-0.557185876047
ACH-000324,-0.855125858668
ACH-000329,-0.34470703070000003
ACH-000330,-0.619258285751
ACH-000331,-0.593277799561
ACH-000332,-0.632026834311
ACH-000334,-0.8080464475779999
ACH-000335,-0.5370031987389999
ACH-000336,-0.728508137963
ACH-000337,-0.44620441837700003
ACH-000339,-0.54936546601
ACH-000341,-0.450323454622
ACH-000348,-0.62404109098
ACH-000350,-0.498360695395
ACH-000352,-0.518946498096
ACH-000356,-0.48817165164
ACH-000361,-0.32818613255
ACH-000362,-0.33872455172300003
ACH-000363,-0.341355224587
ACH-000364,-0.584083186913
ACH-000365,-0.6739431189210001
ACH-000366,-0.525968587292
ACH-000368,-0.391136976131
ACH-000374,-0.783046339362
ACH-000375,-0.361552132214
ACH-000376,-0.24385591871999998
ACH-000381,-0.521342968482
ACH-000383,-0.603806542912
ACH-000387,-0.44082346543000006
ACH-000389,-0.42924133889300004
ACH-000390,-0.670789690014
ACH-000393,-0.39859299856200003
ACH-000395,-0.395340253609
ACH-000397,-0.9096615792370001
ACH-000401,-0.241913457602
ACH-000402,-0.7062546697579999
ACH-000403,-0.523084322346
ACH-000404,0.141565363986
ACH-000406,-0.7439416160879999
ACH-000407,-0.24074181319000001
ACH-000408,-0.781681741816
ACH-000410,-0.638434359826
ACH-000411,-0.32391151938900004
ACH-000414,-0.393841279884
ACH-000415,-0.709065688522
ACH-000416,-0.41143285144599995
ACH-000420,-0.43394252178099996
ACH-000421,-0.764102569506
ACH-000424,-0.32663121558499997
ACH-000425,-0.333688092961
ACH-000426,-0.914428433862
ACH-000427,-0.242539524379
ACH-000433,-0.568230139128
ACH-000436,-0.572025128009
ACH-000444,-0.603537065764
ACH-000445,-0.6088346104469999
ACH-000448,-0.492310755124
ACH-000450,-0.528594233812
ACH-000452,-0.44533984661700005
ACH-000454,-0.678065570777
ACH-000458,-0.609085259161
ACH-000459,-0.711370377646
ACH-000460,-0.566062548321
ACH-000461,-0.504429315051
ACH-000463,-0.6829360142990001
ACH-000464,-0.32742120516999995
ACH-000466,-0.426508364397
ACH-000467,-0.33844045714800003
ACH-000468,-0.5985405150600001
ACH-000469,-0.311086385205
ACH-000470,-0.777106728996
