,ZNF280A (129025)
ACH-000004,-0.0560239454235
ACH-000007,0.317403616087
ACH-000009,0.0032222400634899996
ACH-000011,-0.00061141791456
ACH-000012,-0.09199444708799999
ACH-000013,0.13377164109
ACH-000014,0.0903852330226
ACH-000015,-0.116295278015
ACH-000017,0.0283025363576
ACH-000018,0.5910558416189999
ACH-000019,0.0477416765857
ACH-000021,-0.0222919239444
ACH-000022,0.0008282274523260001
ACH-000025,-0.048167329868800006
ACH-000028,-0.0258060019526
ACH-000030,-0.115412455266
ACH-000035,-0.0491188233205
ACH-000036,0.181112942963
ACH-000037,0.0409191121693
ACH-000039,-0.10962968086
ACH-000040,0.172375565891
ACH-000041,-0.21226209777
ACH-000042,0.07888151587669999
ACH-000045,-0.108639720518
ACH-000047,0.19069878138500002
ACH-000052,-0.21744526572700001
ACH-000053,-0.11814680135700001
ACH-000054,0.023720701101099997
ACH-000055,0.0357423176933
ACH-000060,0.0580658480176
ACH-000067,-0.216957342339
ACH-000070,0.08678372174650001
ACH-000075,0.0552386678033
ACH-000078,0.0111170428174
ACH-000082,-0.07327527838669999
ACH-000085,-0.168947145251
ACH-000086,0.13786812217
ACH-000087,0.321575940972
ACH-000092,0.18184238857299997
ACH-000095,-0.0239662046276
ACH-000097,0.0140818936232
ACH-000098,0.12087157095
ACH-000099,0.0021874141487600004
ACH-000108,-0.0133350676697
ACH-000113,-0.161621985038
ACH-000115,-0.21735347818300002
ACH-000116,0.0561982868523
ACH-000118,-0.0380357360673
ACH-000120,0.299400174555
ACH-000123,-0.0891045893496
ACH-000127,0.138700732086
ACH-000128,0.062264985932400006
ACH-000132,0.048927723405099995
ACH-000133,0.158344410095
ACH-000137,-0.0573843689006
ACH-000138,0.15059517427000002
ACH-000142,0.104815560255
ACH-000143,-0.302665700847
ACH-000146,0.154666028687
ACH-000148,0.0353336248422
ACH-000150,0.015955230282
ACH-000152,0.12456854595799999
ACH-000153,-0.0282326050915
ACH-000159,0.097862201281
ACH-000160,-0.0374223482263
ACH-000163,0.0777346344565
ACH-000167,1.4655905496200001
ACH-000168,-0.06770523212059999
ACH-000169,-0.173583009845
ACH-000178,0.08101378508010001
ACH-000182,0.123692596376
ACH-000183,-0.110432754979
ACH-000188,0.18889588982799999
ACH-000189,0.057296872445300004
ACH-000190,-0.00163559460357
ACH-000198,-0.0479546580564
ACH-000204,-0.160630602324
ACH-000206,0.417611552324
ACH-000207,-0.0764116435765
ACH-000211,0.140942724073
ACH-000215,0.11651975980799999
ACH-000221,0.0678648235373
ACH-000222,0.0558255979115
ACH-000223,0.147956980869
ACH-000226,0.04701026172930001
ACH-000227,-0.0379352184796
ACH-000228,-0.255271060518
ACH-000231,-0.0672069320012
ACH-000232,0.09330237892589999
ACH-000233,-0.00689021492342
ACH-000234,0.209488167529
ACH-000235,0.0973854460042
ACH-000237,0.0338667511817
ACH-000238,0.0806359550006
ACH-000243,0.09274349044810001
ACH-000244,-0.0924959626195
ACH-000246,0.24306774042800003
ACH-000248,0.176899691527
ACH-000250,0.060402698427
ACH-000251,0.0320180149944
ACH-000253,-0.013324064885
ACH-000255,0.101607485086
ACH-000256,-0.0658457988775
ACH-000257,0.278815934169
ACH-000258,0.0210794254534
ACH-000259,0.10097085341
ACH-000260,-0.009870486407049999
ACH-000261,0.0193663779697
ACH-000262,0.28648370572500004
ACH-000263,0.0654351960259
