,AZIN1 (51582)
ACH-000004,-0.26087637938700003
ACH-000007,-0.37952703467
ACH-000009,-0.19807283041999998
ACH-000011,-0.229651333549
ACH-000012,-0.458794278935
ACH-000013,-0.128445858411
ACH-000014,-0.269064532719
ACH-000015,-0.127220449492
ACH-000017,-0.8645856680859999
ACH-000018,-0.381048918544
ACH-000019,-0.397737210767
ACH-000021,-0.24823452786400002
ACH-000022,-0.20331208462900002
ACH-000025,-0.325862265569
ACH-000028,-0.392981932131
ACH-000030,-0.400283701646
ACH-000035,-0.272800780136
ACH-000036,-0.245772520788
ACH-000037,-0.24335372439800002
ACH-000039,-0.09486914418610001
ACH-000040,-0.12343601239299999
ACH-000041,-0.415770290834
ACH-000042,-0.18599851096900002
ACH-000045,-0.46340977403800004
ACH-000047,-0.00136319641027
ACH-000052,-0.0115638317064
ACH-000053,-0.547843092242
ACH-000054,-0.513042078719
ACH-000055,-0.117304380269
ACH-000060,-0.20455736862100002
ACH-000067,-0.34734392413500004
ACH-000070,-0.40176898543300005
ACH-000075,-0.36695518028499996
ACH-000078,-0.32938614803000005
ACH-000082,-0.0574659878885
ACH-000085,-0.120802737093
ACH-000086,-0.21528904954199998
ACH-000087,-0.17724829064300002
ACH-000092,-0.397247089906
ACH-000095,-0.292862134488
ACH-000097,-0.523904572089
ACH-000098,-0.215442923152
ACH-000099,-0.37599201229900003
ACH-000108,-0.399053010485
ACH-000113,-0.370379046105
ACH-000115,-0.346411828395
ACH-000116,-0.23750277624299998
ACH-000118,-0.35592106926600003
ACH-000120,-0.0735738216233
ACH-000123,-0.24104727694400002
ACH-000127,-0.235412277121
ACH-000128,-0.200228382411
ACH-000132,-0.432025808303
ACH-000133,-0.138430715042
ACH-000137,-0.179083096919
ACH-000138,-0.187218639848
ACH-000142,-0.38456809784999996
ACH-000143,-0.14447804192299998
ACH-000146,-0.454636212849
ACH-000148,-0.155550925788
ACH-000150,-0.037374648072800006
ACH-000152,-0.193714676399
ACH-000153,-0.515481785229
ACH-000159,-0.322723525199
ACH-000160,-0.29746864881499996
ACH-000163,-0.248022385208
ACH-000167,-0.260058007939
ACH-000168,-0.4273306659
ACH-000169,-0.0629431718069
ACH-000178,-0.308543771321
ACH-000182,-0.0204843505164
ACH-000183,-0.737496193241
ACH-000188,-0.142258361417
ACH-000189,-0.269275041008
ACH-000190,-0.282622778676
ACH-000198,0.12100144772299999
ACH-000204,-0.46439427347400003
ACH-000206,-0.013123078509
ACH-000207,-0.34049709181599996
ACH-000211,-0.183742212619
ACH-000215,-0.09922864992960001
ACH-000221,-0.15493245987600002
ACH-000222,-0.5432110041730001
ACH-000223,-0.285442601387
ACH-000226,-0.374124404266
ACH-000227,-0.22100301791700003
ACH-000228,-0.210117602397
ACH-000231,-0.236291123426
ACH-000232,-0.0278049651484
ACH-000233,-0.257971231267
ACH-000234,-0.5432385297110001
ACH-000235,-0.32818695172
ACH-000237,-0.157284590664
ACH-000238,-0.0689853010846
ACH-000243,-0.316676930021
ACH-000244,-0.304848218985
ACH-000246,-0.193342077171
ACH-000248,-0.269076290936
ACH-000250,-0.192457082168
ACH-000251,-0.0957098511596
ACH-000253,-0.33142613546300004
ACH-000255,-0.004309075266489999
ACH-000256,-0.330151387557
ACH-000257,-0.0941722238992
ACH-000258,-0.301329516136
ACH-000259,-0.289111702255
ACH-000260,-0.233865739296
ACH-000261,-0.253818017618
ACH-000262,0.0183295026622
ACH-000263,-0.27694322560400003
ACH-000264,-0.37324398755099997
ACH-000265,-0.21285685674899998
ACH-000266,-0.408210195468
ACH-000272,-0.39621724213
ACH-000273,-0.341347126095
ACH-000274,-0.17535515724599998
ACH-000277,-1.08215729108
ACH-000278,-0.255342917765
ACH-000279,-0.387741602026
ACH-000280,-0.226281078002
ACH-000281,-0.460108513372
ACH-000288,-0.0906914053301
ACH-000291,-0.153477878165
ACH-000293,-0.298876933489
ACH-000294,-0.277845130398
ACH-000295,-0.287536393989
ACH-000296,-0.18563760676199997
ACH-000302,-0.21276788529399998
ACH-000304,-0.15527723180400002
ACH-000307,-0.36345553427599997
ACH-000308,-0.433237795585
ACH-000310,-0.271541107893
ACH-000311,-0.37377512878799996
ACH-000312,-0.19256117478300003
ACH-000315,-0.83800770165
ACH-000316,-0.322558149086
ACH-000317,-0.21266525853799997
ACH-000318,-0.449285169214
ACH-000319,-0.23429830346900002
ACH-000320,-0.333777268379
ACH-000322,-0.46814828154700006
ACH-000323,-0.07216039930380001
ACH-000324,-0.155274466724
ACH-000329,-0.24529967450800003
ACH-000330,-0.561146690459
ACH-000331,-0.0535324825543
ACH-000332,-0.346062892049
ACH-000334,-0.327175095184
ACH-000335,0.07326978761570001
ACH-000336,-0.42915122262100003
ACH-000337,-0.344749686949
ACH-000339,-0.500520903584
ACH-000341,-0.34289053285899995
ACH-000348,-0.277181014326
ACH-000350,-0.45948133932499996
