,FURIN (5045)
ACH-000004,-0.21764899971
ACH-000007,-0.777587959708
ACH-000009,0.011731968454400001
ACH-000011,0.237376557053
ACH-000012,1.02481531185
ACH-000013,0.0928039675494
ACH-000014,-0.107711291107
ACH-000015,-0.090829724008
ACH-000017,-0.0569584360165
ACH-000018,-0.0321556465008
ACH-000019,0.380420487637
ACH-000021,0.096317100405
ACH-000022,-0.438337550095
ACH-000025,-0.21804530444400003
ACH-000028,0.385051266815
ACH-000030,-0.370878312404
ACH-000035,0.00806163900564
ACH-000036,-0.840375727023
ACH-000037,-0.132884198485
ACH-000039,-0.7067191753659999
ACH-000040,-0.73638916109
ACH-000041,-0.858429854508
ACH-000042,-0.496034252434
ACH-000045,0.135545748152
ACH-000047,-0.127846464871
ACH-000052,-0.488242982701
ACH-000053,-0.0110748270444
ACH-000054,-0.18661372309000002
ACH-000055,0.220897150896
ACH-000060,-0.730432643947
ACH-000067,-0.42795961638499996
ACH-000070,-0.171993898916
ACH-000075,-0.33826038916
ACH-000078,-0.38895845947400004
ACH-000082,-0.308071373519
ACH-000085,-0.262141778962
ACH-000086,-0.126732723081
ACH-000087,-0.652542281525
ACH-000092,-0.0876077720056
ACH-000095,-0.41203190401999995
ACH-000097,-0.0010468752065
ACH-000098,-0.8173345860789999
ACH-000099,-0.950033589181
ACH-000108,-0.20602016799000003
ACH-000113,-0.34053976747599995
ACH-000115,-1.7583547419599999
ACH-000116,0.0888060565418
ACH-000118,-0.0544737123367
ACH-000120,-0.444341553084
ACH-000123,-0.0235649954044
ACH-000127,-0.319692960325
ACH-000128,0.22438282329599998
ACH-000132,-0.10768946632000001
ACH-000133,-0.284049352395
ACH-000137,-0.28840949198000004
ACH-000138,-0.160513221573
ACH-000142,-0.308467543056
ACH-000143,0.23002535629700002
ACH-000146,-0.10585962009299998
ACH-000148,0.140160496824
ACH-000150,-0.0758821842987
ACH-000152,-0.0941787773515
ACH-000153,-0.014199050192700001
ACH-000159,-0.0800723833818
ACH-000160,-0.043013870490100005
ACH-000163,-0.379092954355
ACH-000167,0.19686532695
ACH-000168,-0.667238445422
ACH-000169,-0.29583914570000003
ACH-000178,-0.036094360678500005
ACH-000182,-0.139441193657
ACH-000183,-1.12570450485
ACH-000188,0.0412892465405
ACH-000189,0.0811859149082
ACH-000190,-0.12381466254000001
ACH-000198,-0.27153395126400004
ACH-000204,-0.830923494336
ACH-000206,-0.0266590359564
ACH-000207,0.21420528218899998
ACH-000211,0.0918302594709
ACH-000215,-0.164469292215
ACH-000221,0.10504284453500001
ACH-000222,-0.153792269738
ACH-000223,-0.009096030628969999
ACH-000226,0.21608973190900002
ACH-000227,-0.709477621132
ACH-000228,0.10189371104900001
ACH-000231,0.046383842028
ACH-000232,0.101599916952
ACH-000233,0.15023127538
ACH-000234,-0.259173035655
ACH-000235,-0.43900808367399996
ACH-000237,-0.07195102135300001
ACH-000238,-0.430986640532
ACH-000243,0.013256779328999999
ACH-000244,-0.5269636634920001
ACH-000246,-0.07488086509660001
ACH-000248,0.0423443302224
ACH-000250,-0.280715069002
ACH-000251,-0.13550404480699998
ACH-000253,-0.27933382432
ACH-000255,-0.06466995673050001
ACH-000256,-0.0435263850985
ACH-000257,-0.107723638259
ACH-000258,-0.041003398376800004
ACH-000259,-0.544736219306
ACH-000260,-0.46418092717799997
ACH-000261,-0.37210269876100005
ACH-000262,0.1334631466
ACH-000263,-0.291666851921
ACH-000264,-0.372563774373
ACH-000265,-0.7322304102439999
ACH-000266,-0.391909307915
ACH-000272,-0.08993336979980002
ACH-000273,-0.0994105205598
ACH-000274,-0.809981436371
ACH-000277,0.33577973182
ACH-000278,-0.060005178704
ACH-000279,-0.797225870511
ACH-000280,0.13837365557
ACH-000281,-0.673000842026
ACH-000288,-0.254665258378
