,SCEL (8796)
ACH-000004,0.146447999416
ACH-000007,-0.164536409656
ACH-000009,0.10407443845
ACH-000011,0.08548166085989999
ACH-000012,0.0982693668674
ACH-000013,0.08461101122230001
ACH-000014,-0.0331603875256
ACH-000015,0.19834415818599999
ACH-000017,0.19699929661899998
ACH-000018,0.169103929449
ACH-000019,0.0497604887964
ACH-000021,0.10672365288899999
ACH-000022,0.0794838780016
ACH-000025,0.302572663335
ACH-000028,0.031617338621799995
ACH-000030,0.127280991021
ACH-000035,0.180252079728
ACH-000036,0.168390054153
ACH-000037,-0.0200389947561
ACH-000039,0.229453080553
ACH-000040,0.213684752579
ACH-000041,0.06867302177989999
ACH-000042,0.103797137007
ACH-000045,0.137866964702
ACH-000047,0.243278824579
ACH-000052,0.025565603262
ACH-000053,0.04967936594859999
ACH-000054,0.187458377326
ACH-000055,0.10986288283399999
ACH-000060,0.161083236099
ACH-000067,0.27388375452799996
ACH-000070,0.11629770204399999
ACH-000075,0.218728694764
ACH-000078,0.202918892939
ACH-000082,0.0346028719803
ACH-000085,0.14646817918299998
ACH-000086,0.14834337658
ACH-000087,0.159734018502
ACH-000092,0.134613578432
ACH-000095,0.268315214777
ACH-000097,0.128538343498
ACH-000098,0.24573662583
ACH-000099,0.22297412615200002
ACH-000108,0.10011526858999999
ACH-000113,0.198616515345
ACH-000115,0.154187760291
ACH-000116,0.115533914286
ACH-000118,0.17140250214400002
ACH-000120,0.224894760919
ACH-000123,0.08238739180480001
ACH-000127,0.12241905771
ACH-000128,0.19615688930199998
ACH-000132,0.0580865334139
ACH-000133,0.14762197100299998
ACH-000137,0.10153509462000002
ACH-000138,0.255327718835
ACH-000142,0.31637861465
ACH-000143,0.0337548673585
ACH-000146,0.17357616254299998
ACH-000148,0.10273884780300001
ACH-000150,0.08417026126319999
ACH-000152,-0.0370134681239
ACH-000153,0.18755005653700002
ACH-000159,-0.07429193943739999
ACH-000160,0.147773048068
ACH-000163,0.11954357103299999
ACH-000167,-0.135642954814
ACH-000168,0.327423354712
ACH-000169,0.180697000416
ACH-000178,0.133779113472
