,VEGFB (7423)
ACH-000004,-0.0786542635164
ACH-000007,-0.292782550445
ACH-000009,0.231097814082
ACH-000011,-0.195229071866
ACH-000012,-0.24219964060600002
ACH-000013,-0.11845605124900001
ACH-000014,0.336649866061
ACH-000015,0.0666085759528
ACH-000017,-0.024415612132200004
ACH-000018,0.0451872078998
ACH-000019,-0.11623975816299999
ACH-000021,-0.0893474469253
ACH-000022,-0.10774280108300001
ACH-000025,-0.168650563556
ACH-000028,-0.132100182407
ACH-000030,-0.0642711472492
ACH-000035,0.0870641896818
ACH-000036,-0.283550170037
ACH-000037,-0.328604662711
ACH-000039,0.117621706006
ACH-000040,-0.315441905533
ACH-000041,0.11922860167999999
ACH-000042,-0.09244415061969999
ACH-000045,-0.106463359283
ACH-000047,-0.056890512921900005
ACH-000052,-0.0635262598927
ACH-000053,-0.149212367549
ACH-000054,0.000238885972215
ACH-000055,-0.008257442527770002
ACH-000060,-0.225147987954
ACH-000067,0.17008034072
ACH-000070,-0.06093363842680001
ACH-000075,-0.181911925963
ACH-000078,-0.09136873285630001
ACH-000082,-0.145811364907
ACH-000085,-0.303959703786
ACH-000086,-0.18130951337999998
ACH-000087,-0.261215918764
ACH-000092,-0.0564918183206
ACH-000095,-0.0211839561839
ACH-000097,-0.12454017802100001
ACH-000098,-0.156741207972
ACH-000099,-0.0128398415429
ACH-000108,-0.32145900207600003
ACH-000113,-0.0065895327237499995
ACH-000115,-0.305791737326
ACH-000116,-0.292874489212
ACH-000118,-0.289351452281
ACH-000120,-0.168247981574
ACH-000123,-0.14721873997
ACH-000127,0.039841269897500003
ACH-000128,-0.0464662488549
ACH-000132,-0.274356703663
ACH-000133,-0.0176086982207
ACH-000137,-0.07568562753769999
ACH-000138,-0.157830273592
ACH-000142,-0.176100392771
ACH-000143,-0.147222438772
ACH-000146,-0.0827319335938
ACH-000148,-0.0161145451853
ACH-000150,-0.490746836496
ACH-000152,0.06222948196409999
ACH-000153,-0.440213665508
ACH-000159,-0.140938501144
ACH-000160,-0.09733578783939999
ACH-000163,-0.266178525718
ACH-000167,-0.256941563735
ACH-000168,-0.260950276168
ACH-000169,-0.300350676557
ACH-000178,-0.0805073070895
ACH-000182,0.10061882832
ACH-000183,0.15016029340999998
ACH-000188,-0.491434353046
ACH-000189,-0.530124084049
ACH-000190,-0.281927920543
ACH-000198,-0.0391265160096
ACH-000204,-0.059607023903
ACH-000206,-0.147744374454
ACH-000207,-0.107932477523
ACH-000211,-0.101008860824
ACH-000215,-0.201861673612
ACH-000221,-0.07520740670800001
ACH-000222,-0.230212989067
ACH-000223,-0.280376138848
ACH-000226,0.0498121522094
ACH-000227,-0.0482214184775
ACH-000228,-0.125678976563
ACH-000231,-0.110934169451
ACH-000232,-0.08012322927910001
ACH-000233,-0.0831264039915
ACH-000234,-0.17534267715500002
ACH-000235,-0.08836393583339998
ACH-000237,-0.07995197301319999
ACH-000238,-0.0842831913572
ACH-000243,-0.00313139993532
ACH-000244,-0.04629169481869999
ACH-000246,-0.0149015491686
ACH-000248,-0.0022867235347199997
ACH-000250,-0.16565772769099998
ACH-000251,-0.0819819171479
ACH-000253,-0.184325875581
ACH-000255,-0.236365972348
ACH-000256,-0.23423242645999998
ACH-000257,0.0668558368672
ACH-000258,0.0499841743645
ACH-000259,-0.17203022305100002
ACH-000260,-0.11645169582
ACH-000261,-0.09955914416780001
ACH-000262,-0.30139503104000004
ACH-000263,0.13498426563100002
ACH-000264,-0.170344688233
ACH-000265,-0.0289856151032
ACH-000266,-0.184135966728
ACH-000272,-0.0541456662303
ACH-000273,-0.109373030539
ACH-000274,0.0056898165452
ACH-000277,-0.265090122763
ACH-000278,-0.283909921497
ACH-000279,-0.05055427954300001
ACH-000280,0.103329300211
ACH-000281,-0.112221331916
ACH-000288,-0.055068709018400004
ACH-000291,0.033219695221000003
ACH-000293,-0.111126895349
ACH-000294,0.0036050218828499996
ACH-000295,0.12623399185599998
ACH-000296,-0.103885010383
ACH-000302,-0.19776763232900002
ACH-000304,-0.0297422019892
ACH-000307,-0.155538256742
ACH-000308,-0.297922996085
ACH-000310,0.04761866926609999
ACH-000311,-0.030610359895599997
ACH-000312,-0.12905825682299998
ACH-000315,-0.259112816889
ACH-000316,-0.00826079236012
ACH-000317,-0.11508459030200001
ACH-000318,-0.266914517766
ACH-000319,-0.0612503289944
ACH-000320,-0.24926184322099998
ACH-000322,-0.241995841048
ACH-000323,-0.121214489198
ACH-000324,0.0305387688755
ACH-000329,0.0340672190062
ACH-000330,0.205942736918
ACH-000331,-0.18315143682100002
ACH-000332,-0.337708205088
ACH-000334,-0.17405736295000002
ACH-000335,-0.242394156763
ACH-000336,-0.018815131047700002
ACH-000337,-0.051512805214099996
ACH-000339,-0.130527899851
ACH-000341,-0.545660921027
ACH-000348,-0.0582750648496
ACH-000350,0.125717415409
ACH-000352,-0.057527909475099996
ACH-000356,-0.332034151187
ACH-000361,-0.140890874746
ACH-000362,0.07576007141760001
ACH-000363,-0.0910881418309
ACH-000364,-0.275497239088
ACH-000365,0.0219798499621
ACH-000366,-0.272008972101
ACH-000368,-0.145825619623
ACH-000374,-0.149015477702
ACH-000375,0.0961838858056
ACH-000376,-0.308822278359
ACH-000381,-0.225926579263
ACH-000383,-0.12723631879699998
ACH-000387,0.111428420272
ACH-000389,-0.127204690887
ACH-000390,-0.110401487335
