,ARL6IP5 (10550)
ACH-000004,-0.0553089519655
ACH-000007,0.0688853021228
ACH-000009,-0.141043367808
ACH-000011,-0.165379698351
ACH-000012,-0.09939089631100001
ACH-000013,0.045204796860699996
ACH-000014,-0.256300664701
ACH-000015,-0.25528496490499997
ACH-000017,-0.148832762127
ACH-000018,-0.27296690124899997
ACH-000019,-0.0233820901986
ACH-000021,-0.159059515447
ACH-000022,0.0439766808634
ACH-000025,-0.180340792108
ACH-000028,-0.197555449085
ACH-000030,-0.257405393457
ACH-000035,-0.19343209930100003
ACH-000036,-0.0566520572613
ACH-000037,0.199302891366
ACH-000039,0.13059615960999998
ACH-000040,-0.031854096874700005
ACH-000041,-0.22803122415600002
ACH-000042,-0.053444834491
ACH-000045,0.0010741249826600001
ACH-000047,0.0170009846927
ACH-000052,-0.39045616981
ACH-000053,-0.22542927066799998
ACH-000054,-0.24391305382599998
ACH-000055,-0.0587772485436
ACH-000060,-0.175758518343
ACH-000067,-0.147551228511
ACH-000070,-0.0738210513665
ACH-000075,0.20258643843600002
ACH-000078,-0.150319785534
ACH-000082,-0.027385911395400003
ACH-000085,-0.19861131843600002
ACH-000086,-0.164988824329
ACH-000087,-0.188902155986
ACH-000092,0.00215475594865
ACH-000095,-0.18589751950599998
ACH-000097,-0.06244604522469999
ACH-000098,-0.09732468555880001
ACH-000099,-0.127181234483
ACH-000108,-0.0386174318786
ACH-000113,-0.31354120411499997
ACH-000115,0.18856251772100002
ACH-000116,-0.049133253752
ACH-000118,-0.0006067755326569999
ACH-000120,-0.00121828149883
ACH-000123,-0.237581152314
ACH-000127,-0.0530554207428
ACH-000128,0.0314630099205
ACH-000132,-0.223537599479
ACH-000133,-0.119021364442
ACH-000137,0.0110553454543
ACH-000138,-0.00772814096838
ACH-000142,0.059663720641400006
ACH-000143,-0.125086028697
ACH-000146,-0.22229354904800003
ACH-000148,-0.09408424067119998
ACH-000150,-0.193170990856
ACH-000152,-0.15522164561899998
ACH-000153,-0.036733913496
ACH-000159,-0.18174678403900002
ACH-000160,-0.367791018247
ACH-000163,-0.305746182808
ACH-000167,-0.204524508989
ACH-000168,-0.17740051787099997
ACH-000169,-0.11388074150699999
ACH-000178,-0.0180139095493
ACH-000182,-0.270967367386
