,INSRR (3645)
ACH-000004,-0.268403711411
ACH-000007,-0.11552874082499999
ACH-000009,-0.211024152005
ACH-000011,-0.0282652502226
ACH-000012,-0.11693470367799999
ACH-000013,-0.0894272377373
ACH-000014,-0.0713430127167
ACH-000015,-0.058544614816
ACH-000017,-0.0590768623559
ACH-000018,-0.196678324005
ACH-000019,-0.060423161657
ACH-000021,-0.076217348302
ACH-000022,-0.16364873374299999
ACH-000025,-0.283908932473
ACH-000028,-0.09042774327299999
ACH-000030,-0.203537472874
ACH-000035,-0.18655461822799999
ACH-000036,0.0370514481451
ACH-000037,-0.23167604566
ACH-000039,-0.168102053336
ACH-000040,-0.0791903036569
ACH-000041,-0.139412172136
ACH-000042,-0.0844760523166
ACH-000045,-0.116476952776
ACH-000047,-0.09470205186760002
ACH-000052,-0.19363209058699998
ACH-000053,-0.23590238582400003
ACH-000054,-0.103349652183
ACH-000055,-0.0612803652802
ACH-000060,-0.20155896476100002
ACH-000067,0.0731430348838
ACH-000070,0.0193298598272
ACH-000075,-0.0620517262235
ACH-000078,-0.23582891938900002
ACH-000082,-0.197236027629
ACH-000085,-0.139701004165
ACH-000086,-0.138363160506
ACH-000087,-0.23660834552700002
ACH-000092,-0.233391459128
ACH-000095,-0.24935600626899998
ACH-000097,-0.0413440375228
ACH-000098,-0.114893911637
ACH-000099,-0.0559605245789
ACH-000108,-0.0567746540056
ACH-000113,0.00745861160314
ACH-000115,0.021340653844
ACH-000116,-0.030312980607699998
ACH-000118,-0.167650347347
ACH-000120,-0.0187259404932
ACH-000123,-0.199744511251
ACH-000127,-0.186095773908
ACH-000128,-0.113901049607
ACH-000132,-0.0108395741457
ACH-000133,-0.173502338995
ACH-000137,-0.185196513601
ACH-000138,-0.0741202112158
ACH-000142,-0.13483618338199999
ACH-000143,-0.11194758299100001
ACH-000146,-0.0440886256404
ACH-000148,-0.17593233105999997
ACH-000150,-0.0774277484288
ACH-000152,-0.176656832882
ACH-000153,-0.070823915451
ACH-000159,-0.0586987914843
ACH-000160,0.019560060416400002
ACH-000163,-0.159381546727
ACH-000167,-0.0773122735118
ACH-000168,-0.028067473327900005
ACH-000169,-0.0542343149189
ACH-000178,-0.0753567685215
ACH-000182,0.0241878160438
ACH-000183,-0.0293633262653
ACH-000188,-0.166777590876
