,GFI1 (2672)
ACH-000004,-0.011116994625899998
ACH-000007,0.171517081052
ACH-000009,0.09981311174249999
ACH-000011,-0.0840446019248
ACH-000012,0.0292903534026
ACH-000013,-0.149486672869
ACH-000014,-0.09630751814439999
ACH-000015,-0.123523316589
ACH-000017,0.0134969719428
ACH-000018,0.122366250526
ACH-000019,-0.159848635752
ACH-000021,-0.147835459705
ACH-000022,0.014907158727200002
ACH-000025,-0.126617683919
ACH-000028,-0.0419110081209
ACH-000030,-0.109250993925
ACH-000035,-0.332723044882
ACH-000036,-0.07720284962719999
ACH-000037,-0.0182000700285
ACH-000039,0.222567956969
ACH-000040,-0.111065143826
ACH-000041,-0.152945450431
ACH-000042,0.0245573875684
ACH-000045,-0.879672118295
ACH-000047,-0.147633266432
ACH-000052,-0.153855669941
ACH-000053,-0.211961201899
ACH-000054,-0.06624579408669999
ACH-000055,0.196701563127
ACH-000060,-0.19433448564
ACH-000067,0.0131339268442
ACH-000070,-0.31518527086599996
ACH-000075,0.0700609932104
ACH-000078,-0.006276345279359999
ACH-000082,0.033903838023599996
ACH-000085,-0.14092764031
ACH-000086,-0.126744537884
ACH-000087,-0.17635748282299998
ACH-000092,-0.0943824851989
ACH-000095,0.019316807388299998
ACH-000097,-0.10551265874299999
ACH-000098,-0.039900999047699996
ACH-000099,0.0955059240623
ACH-000108,0.0705016026184
ACH-000113,-0.769086026417
ACH-000115,0.151770384329
ACH-000116,-0.024627157009099995
ACH-000118,-0.0008211854877739999
ACH-000120,0.0468535207827
ACH-000123,0.0618934766344
ACH-000127,-0.0575593903393
ACH-000128,-0.223648025077
ACH-000132,-0.141660485081
ACH-000133,-0.16827829482
ACH-000137,0.0135542310685
ACH-000138,0.24176505395300002
ACH-000142,-0.114716040021
ACH-000143,-0.0127086685177
ACH-000146,-0.6717839240029999
ACH-000148,-0.0501691075045
ACH-000150,-0.0025107511499499998
ACH-000152,-0.12399097616499999
ACH-000153,-0.012200814393799999
ACH-000159,-0.0794137186335
ACH-000160,0.219795841279
ACH-000163,-0.11615495256200001
ACH-000167,0.207135008137
ACH-000168,0.276164065954
ACH-000169,-0.077469139808
ACH-000178,-0.0718104476008
ACH-000182,0.0324046582045
ACH-000183,-0.273066710176
ACH-000188,-0.19504989449299998
ACH-000189,0.10461168924799999
ACH-000190,0.194769886281
