,CRKL (1399)
ACH-000004,-0.274160832132
ACH-000007,-1.13462284292
ACH-000009,-0.9848876015629999
ACH-000011,-1.19358562455
ACH-000012,-0.24068030873100002
ACH-000013,-0.328558473321
ACH-000014,-1.5822708898700002
ACH-000015,-0.995649927785
ACH-000017,-0.6713345757960001
ACH-000018,-1.11988657444
ACH-000019,-0.62808931975
ACH-000021,-0.986027788021
ACH-000022,-0.572141767476
ACH-000025,-1.0458021073700001
ACH-000028,-0.544837390753
ACH-000030,-0.952209867826
ACH-000035,-1.03930459299
ACH-000036,-0.873341160054
ACH-000037,-0.403407831792
ACH-000039,-0.392181074325
ACH-000040,-0.9876818244299999
ACH-000041,-0.50953607547
ACH-000042,-1.65049996844
ACH-000045,-0.9229573310070001
ACH-000047,-1.16061972243
ACH-000052,-0.893494589781
ACH-000053,-0.303314146463
ACH-000054,-0.655929763694
ACH-000055,-0.36968874917499994
ACH-000060,-1.64055126824
ACH-000067,-1.09067868869
ACH-000070,-0.45340655795699997
ACH-000075,-0.360736430235
ACH-000078,-0.8135923346259999
ACH-000082,-1.28960866685
ACH-000085,-1.18471284295
ACH-000086,-0.270101362264
ACH-000087,-0.7421530797399999
ACH-000092,-0.5880314942930001
ACH-000095,-0.6744473078650001
ACH-000097,-1.2578373701799999
ACH-000098,-1.30252470109
ACH-000099,-1.17487969014
ACH-000108,-1.07232381956
ACH-000113,-0.801071385124
ACH-000115,-0.19135006035
ACH-000116,-0.222697956301
ACH-000118,-1.28205309409
ACH-000120,-1.22137602929
ACH-000123,-0.653012778033
ACH-000127,-0.9666237444689999
ACH-000128,-0.512228194764
ACH-000132,-0.577225997789
ACH-000133,-0.6843952994220001
ACH-000137,-0.5426911951650001
ACH-000138,-1.6803719036200002
ACH-000142,-1.21179404034
ACH-000143,-0.9263316542389999
ACH-000146,-0.14960522004899998
ACH-000148,-0.327314894334
ACH-000150,-1.03086615475
ACH-000152,-0.415913173727
ACH-000153,-0.804178187676
ACH-000159,-0.6614074787349999
ACH-000160,-0.5696919377740001
ACH-000163,-0.0676985144362
ACH-000167,-1.36114976795
ACH-000168,-0.618617725698
ACH-000169,-0.595307141068
ACH-000178,-1.35609348901
ACH-000182,-0.429281781526
ACH-000183,-0.562258823649
ACH-000188,-1.30665046834
ACH-000189,-1.05453442589
ACH-000190,-0.523880175934
ACH-000198,-1.17195613609
ACH-000204,-0.625156073981
ACH-000206,-0.610090929397
ACH-000207,-0.545041280177
ACH-000211,-0.178730445616
ACH-000215,-0.81113212116
