,MUL1 (79594)
ACH-000004,-0.09844836622940001
ACH-000007,-0.0683285182209
ACH-000009,-0.19816162886799998
ACH-000011,-0.0834546508928
ACH-000012,-0.0402890058336
ACH-000013,-0.0923694033383
ACH-000014,-0.289965606022
ACH-000015,0.015482357463100001
ACH-000017,-0.0328161353805
ACH-000018,0.0241000870683
ACH-000019,-0.115170532152
ACH-000021,-0.108002347219
ACH-000022,-0.0279895102295
ACH-000025,-0.176395283949
ACH-000028,-0.038035319974599996
ACH-000030,0.0107770086979
ACH-000035,-0.142100208327
ACH-000036,-0.044259396966500004
ACH-000037,-0.276885515377
ACH-000039,-0.123503628825
ACH-000040,-0.09630500000669999
ACH-000041,-0.12274105133199999
ACH-000042,-0.0257185634388
ACH-000045,-0.28826632629
ACH-000047,-0.0385038109289
ACH-000052,0.09885726306569999
ACH-000053,-0.177921467555
ACH-000054,-0.11763640974000002
ACH-000055,-0.0846297211805
ACH-000060,-0.148171165607
ACH-000067,-0.28562031050000003
ACH-000070,0.0910661420568
ACH-000075,0.00723736112037
ACH-000078,-0.106325546683
ACH-000082,-0.035273068866800004
ACH-000085,-0.28820013540999995
ACH-000086,-0.257410502222
ACH-000087,0.0290423822108
ACH-000092,-0.301378508545
ACH-000095,-0.0595735746251
ACH-000097,-0.0117958590729
ACH-000098,-0.12004390982999999
ACH-000099,-0.116629557983
ACH-000108,-0.238162512872
ACH-000113,-0.18829360371800002
ACH-000115,-0.238630843666
ACH-000116,0.016200763589099998
ACH-000118,-0.0167812061286
ACH-000120,-0.0445495809024
ACH-000123,-0.0740395699963
ACH-000127,-0.0625619563713
ACH-000128,-0.101436517985
ACH-000132,-0.055868867470699995
ACH-000133,-0.11964509589299999
ACH-000137,-0.215649890275
ACH-000138,-0.00442541701178
ACH-000142,-0.263306580414
ACH-000143,0.039690274499800005
ACH-000146,-0.0305423512891
ACH-000148,-0.122125091057
ACH-000150,-0.285989198973
ACH-000152,-0.193600710665
ACH-000153,0.183274717224
ACH-000159,-0.163036066059
ACH-000160,-0.141088593892
ACH-000163,0.08172785329360001
ACH-000167,-0.260592971382
ACH-000168,-0.239962456999
ACH-000169,-0.07656347568519999
ACH-000178,-0.07011974175369999
ACH-000182,-0.0448195664425
ACH-000183,-0.201540920113
ACH-000188,-0.104366609441
ACH-000189,-0.11666858000999998
ACH-000190,-0.21310811379900002
ACH-000198,-0.121137159614
ACH-000204,-0.0033572424408199997
ACH-000206,-0.0731252292045
ACH-000207,-0.09354488945489998
ACH-000211,-0.0569326112821
ACH-000215,-0.144668050645
ACH-000221,-0.0038193191753699996
ACH-000222,-0.171801509848
ACH-000223,-0.199872718098
ACH-000226,-0.305269214956
ACH-000227,-0.145440666592
ACH-000228,0.06008288570180001
ACH-000231,-0.0607037317128
ACH-000232,0.0141932002215
ACH-000233,-0.11444647438200001
ACH-000234,-0.298784854017
ACH-000235,-0.10178754442500001
ACH-000237,-0.14965576612700002
ACH-000238,-0.282635632361
ACH-000243,-0.016037955699
ACH-000244,0.047378724970500004
ACH-000246,-0.100905978979
ACH-000248,-0.200365103737
ACH-000250,-0.0596763429354
ACH-000251,-0.15266467547
ACH-000253,-0.107144535227
ACH-000255,-0.126443997383
ACH-000256,-0.2427857725
ACH-000257,-0.175027876694
ACH-000258,0.18047370128600002
ACH-000259,-0.162014803978
ACH-000260,-0.046639765840499996
ACH-000261,0.0532464058031
ACH-000262,-0.0872370132872
ACH-000263,-0.262222957504
ACH-000264,-0.06481331714380001
ACH-000265,0.0337879368106
ACH-000266,-0.0769892823266
ACH-000272,-0.10378827481200001
ACH-000273,-0.165912196845
ACH-000274,-0.18682330528000002
ACH-000277,-0.202311048739
ACH-000278,-0.00427686089016
ACH-000279,-0.143013416561
ACH-000280,-0.038536448876
ACH-000281,-0.156347226245
ACH-000288,-0.218239689928
ACH-000291,-0.13254758650999998
ACH-000293,-0.0315879921588
ACH-000294,-0.120783474623
