,MTR (4548)
ACH-000004,-0.399179824824
ACH-000007,-0.399759460529
ACH-000009,-0.21953705546100002
ACH-000011,-0.258170718585
ACH-000012,-0.049944948997800005
ACH-000013,0.013300461180200002
ACH-000014,-0.28172890803399997
ACH-000015,0.0390230537758
ACH-000017,-0.126116069334
ACH-000018,-0.156538407612
ACH-000019,-0.285047584046
ACH-000021,-0.14242237189
ACH-000022,-0.19806990801899998
ACH-000025,-0.262571938364
ACH-000028,-0.260935210452
ACH-000030,-0.895338688862
ACH-000035,-0.113831872786
ACH-000036,-0.131611118395
ACH-000037,0.0061319318025
ACH-000039,-0.0008787169495410001
ACH-000040,-0.105717419738
ACH-000041,-0.202744909458
ACH-000042,-0.127009780346
ACH-000045,0.259563309373
ACH-000047,-0.259033290579
ACH-000052,-0.09369609489080001
ACH-000053,-0.27828605117800004
ACH-000054,-0.107502639651
ACH-000055,-0.0641745622722
ACH-000060,0.15975817888399999
ACH-000067,0.0321981031307
ACH-000070,-0.389207997997
ACH-000075,-0.110741484243
ACH-000078,0.0042422349802
ACH-000082,-0.174798567141
ACH-000085,0.156377428766
ACH-000086,-0.04296892318659999
ACH-000087,0.09561454912460002
ACH-000092,-0.015802140837100003
ACH-000095,-0.131224679859
ACH-000097,-0.363169406766
ACH-000098,-0.214623034483
ACH-000099,-0.058276175371199994
ACH-000108,-0.31412586174400003
ACH-000113,-0.0739577814136
ACH-000115,-0.112797372267
ACH-000116,-0.18374911105
ACH-000118,0.0749469864274
ACH-000120,-0.13878351795399999
ACH-000123,-0.157206210175
ACH-000127,-0.14520322685
ACH-000128,-0.49042636987099997
ACH-000132,0.012774667787
ACH-000133,-0.100306116186
ACH-000137,-0.120235621108
ACH-000138,-0.260102873842
ACH-000142,-0.0915082444929
ACH-000143,-0.138311718149
ACH-000146,-0.283934324414
ACH-000148,-0.140188031818
ACH-000150,0.0512086763874
ACH-000152,0.027835802422099997
ACH-000153,-0.162793617052
ACH-000159,-0.516276290282
ACH-000160,-0.00501640898151
ACH-000163,-0.257680152407
ACH-000167,-0.046126937456
ACH-000168,-0.370372896117
ACH-000169,-0.005728940310310001
ACH-000178,-0.182417092462
ACH-000182,-0.00836126405961
ACH-000183,-0.250010884365
ACH-000188,-0.00441691818142
ACH-000189,-0.242357840065
ACH-000190,-0.0585740836065
ACH-000198,-0.152412383905
ACH-000204,-0.07914849802080001
ACH-000206,0.09402785282050001
ACH-000207,-0.442846658873
ACH-000211,-0.0663036331808
ACH-000215,-0.060403278342399995
ACH-000221,-0.0996536844077
ACH-000222,-0.37367374603
ACH-000223,-0.12819078632
ACH-000226,-0.11971338927000001
ACH-000227,0.125304842127
ACH-000228,-0.17012259247
ACH-000231,-0.0811765240985
ACH-000232,-0.06918714286189999
ACH-000233,-0.213355774104
ACH-000234,-0.291541830952
ACH-000235,-0.508887507056
ACH-000237,-0.141328276048
ACH-000238,-0.33375697583
ACH-000243,-0.141302603916
ACH-000244,-0.015937539291
ACH-000246,-0.018094156405799998
ACH-000248,-0.102470335391
ACH-000250,-0.242873367952
ACH-000251,-0.232660722264
ACH-000253,-0.662273735851
ACH-000255,0.058707344562599996
ACH-000256,0.08022497936839999
ACH-000257,-0.004922407538600001
ACH-000258,0.0237915252646
ACH-000259,-0.10580833475099999
ACH-000260,-0.07606184736800001
ACH-000261,0.06934939906939999
ACH-000262,-0.215511761468
ACH-000263,-0.657284631196
ACH-000264,-0.0376741208949
ACH-000265,0.129716763854
ACH-000266,-0.212094188682
ACH-000272,-0.186770113323
ACH-000273,-0.25008552790800004
ACH-000274,-0.05980397376069999
ACH-000277,-0.353014343904
ACH-000278,-0.0017130886189600002
ACH-000279,-0.195017877428
ACH-000280,-0.233961219526
ACH-000281,-0.0625459578225
ACH-000288,-0.14865635917199999
