,RPE65 (6121)
ACH-000004,-0.337448218617
ACH-000007,-0.421302507004
ACH-000009,-0.499917441128
ACH-000011,-0.355500345236
ACH-000012,-0.24501271556999996
ACH-000013,-0.393755510695
ACH-000014,-0.31428839629
ACH-000015,-0.351186344288
ACH-000017,-0.315081005057
ACH-000018,-0.182722790546
ACH-000019,-0.46335636852
ACH-000021,-0.582033714739
ACH-000022,-0.23624758867600001
ACH-000025,-0.470160790057
ACH-000028,-0.34425709310999997
ACH-000030,-0.322526884765
ACH-000035,-0.31533703395999996
ACH-000036,-0.319981232218
ACH-000037,-0.17335490099599998
ACH-000039,-0.507716961834
ACH-000040,-0.446561628032
ACH-000041,-0.456505051564
ACH-000042,-0.164644939823
ACH-000045,-0.24368409461399998
ACH-000047,-0.29676059059300003
ACH-000052,-0.35593194107000004
ACH-000053,-0.34395773502599997
ACH-000054,-0.333964785008
ACH-000055,-0.373161929925
ACH-000060,-0.27955579915600004
ACH-000067,-0.24247595907800001
ACH-000070,-0.48918284185500005
ACH-000075,-0.45043913767099997
ACH-000078,-0.504683977589
ACH-000082,-0.25847351690299997
ACH-000085,-0.37281942045500005
ACH-000086,-0.207833025209
ACH-000087,-0.493146735451
ACH-000092,-0.470097639328
ACH-000095,-0.360582154655
ACH-000097,-0.25569181512899997
ACH-000098,-0.512126179292
ACH-000099,-0.40779066757200005
ACH-000108,-0.314907327255
ACH-000113,-0.363053682974
ACH-000115,-0.233286290868
ACH-000116,-0.33846443560199996
ACH-000118,-0.415730626514
ACH-000120,-0.348358523788
ACH-000123,-0.417045957048
ACH-000127,-0.33072836014
ACH-000128,-0.39143242183
ACH-000132,-0.559695484515
ACH-000133,-0.404368777158
ACH-000137,-0.331887037713
ACH-000138,-0.355913148481
ACH-000142,-0.174846251294
ACH-000143,-0.504676252732
ACH-000146,-0.301387720458
ACH-000148,-0.189749640942
ACH-000150,-0.361365205571
ACH-000152,-0.398029535417
ACH-000153,-0.36248242119199997
ACH-000159,-0.224313490546
ACH-000160,-0.0123934878366
ACH-000163,-0.38827340256399995
ACH-000167,0.123393602841
ACH-000168,-0.513394730956
ACH-000169,-0.291918525945
ACH-000178,-0.363052667744
ACH-000182,-0.257839857683
ACH-000183,-0.0979809059496
ACH-000188,-0.240777184688
ACH-000189,-0.11353654162999999
ACH-000190,0.0531150477712
ACH-000198,-0.401305148746
ACH-000204,-0.22022403914500002
ACH-000206,-0.20191030752300002
ACH-000207,-0.116029259866
ACH-000211,-0.19169539461399998
ACH-000215,-0.299435504027
ACH-000221,-0.259382872516
ACH-000222,-0.403648657366
ACH-000223,-0.35217096997
ACH-000226,-0.394142972005
ACH-000227,-0.14390384938
ACH-000228,-0.429185861674
ACH-000231,-0.21550698105399999
ACH-000232,-0.332293668064
ACH-000233,-0.29809537951299997
ACH-000234,-0.159153860233
ACH-000235,-0.29522858266999996
ACH-000237,-0.35492374682300004
ACH-000238,-0.537197863371
ACH-000243,-0.360585789187
ACH-000244,-0.5069183724440001
ACH-000246,-0.234718406464
ACH-000248,-0.48362619395499995
ACH-000250,-0.223910782993
ACH-000251,-0.632424333916
ACH-000253,-0.347889051769
ACH-000255,-0.314876747032
ACH-000256,-0.321498380622
ACH-000257,-0.575504306383
ACH-000258,-0.6522223263620001
ACH-000259,-0.31122116364
ACH-000260,-0.34707438282700004
ACH-000261,-0.2707984847
ACH-000262,-0.38039242205799995
ACH-000263,-0.0366520169456
ACH-000264,-0.288032109132
ACH-000265,-0.39677620617799997
ACH-000266,-0.185508747319
ACH-000272,-0.41815647503799996
ACH-000273,-0.266442582262
ACH-000274,-0.290546627579
ACH-000277,-0.109639881917
ACH-000278,-0.358054461285
ACH-000279,-0.332386751895
ACH-000280,-0.429658136384
ACH-000281,0.168814730412
ACH-000288,-0.332318649718
ACH-000291,-0.269806185497
ACH-000293,-0.56464606302
ACH-000294,-0.34738282235600004
ACH-000295,-0.24336300030900002
ACH-000296,-0.43008710290700003
ACH-000302,-0.34189436369599996
ACH-000304,-0.0569500464492
ACH-000307,-0.332774878048
ACH-000308,-0.283288499347
ACH-000310,-0.652775335017
ACH-000311,-0.159970936737
ACH-000312,-0.419935888535
ACH-000315,-0.20498882530499998
ACH-000316,-0.40148935098399996
ACH-000317,-0.50018341311
ACH-000318,-0.107035304291
ACH-000319,-0.38862522939800004
ACH-000320,-0.605150397454
ACH-000322,-0.339357681739
ACH-000323,-0.479538124296
ACH-000324,-0.344585818582
ACH-000329,-0.221669065115
ACH-000330,-0.11861708984899999
ACH-000331,-0.432050870683
ACH-000332,-0.313251459849
ACH-000334,-0.363909412806
ACH-000335,-0.5932893956499999
ACH-000336,0.00457608232853
ACH-000337,-0.21553121881499998
ACH-000339,-0.304230813333
ACH-000341,-0.0743161810093
ACH-000348,-0.342700235415
ACH-000350,-0.302365509815
ACH-000352,-0.32014161691599996
ACH-000356,-0.348573924639
ACH-000361,-0.412746518003
ACH-000362,-0.21343783265299998
