,SOD3 (6649)
ACH-000004,0.158317344636
ACH-000007,0.285597665646
ACH-000009,0.114503945032
ACH-000011,0.147823134453
ACH-000012,0.125273931658
ACH-000013,0.239355217678
ACH-000014,0.311866468387
ACH-000015,0.12784979369000002
ACH-000017,-0.0111673794937
ACH-000018,0.216669362709
ACH-000019,-0.267508091566
ACH-000021,0.14955424648399998
ACH-000022,0.060095565405199995
ACH-000025,0.211511392943
ACH-000028,0.156918020397
ACH-000030,0.191189276939
ACH-000035,0.239300647907
ACH-000036,0.100139162014
ACH-000037,0.12500973418400002
ACH-000039,-0.132607061361
ACH-000040,-0.00880776729705
ACH-000041,0.36396535535999996
ACH-000042,0.240872313672
ACH-000045,0.230026315092
ACH-000047,0.136925371745
ACH-000052,0.00824116561017
ACH-000053,0.0796484144715
ACH-000054,0.343074071586
ACH-000055,0.429617439889
ACH-000060,-0.0534925660869
ACH-000067,0.257355650943
ACH-000070,0.364217170964
ACH-000075,0.171580640997
ACH-000078,0.0377941515633
ACH-000082,0.22040818394900002
ACH-000085,0.171604548174
ACH-000086,0.030461569802000002
ACH-000087,0.248163278082
ACH-000092,0.240882583206
ACH-000095,0.136198473859
ACH-000097,0.158137355624
ACH-000098,0.20782932260499998
ACH-000099,0.0118782917135
ACH-000108,0.170990040847
ACH-000113,0.263892516928
ACH-000115,0.07725521952980001
ACH-000116,0.258824228935
ACH-000118,0.0380691581026
ACH-000120,0.141561993276
ACH-000123,0.22513801445099998
ACH-000127,0.0314595773801
ACH-000128,0.105161941667
ACH-000132,0.211079028339
ACH-000133,0.00815754257651
ACH-000137,-0.06623164372359999
ACH-000138,0.322769187336
ACH-000142,0.0510211942239
ACH-000143,0.174264587816
ACH-000146,0.15254146894600001
ACH-000148,0.0811752331524
ACH-000150,0.040976228900599994
ACH-000152,0.0860547922177
ACH-000153,0.269338384338
ACH-000159,0.278644940698
ACH-000160,0.0129188208788
ACH-000163,-0.026501076609099995
ACH-000167,0.0165920590879
ACH-000168,-0.119610517297
ACH-000169,0.058946582057099996
ACH-000178,0.11810869252499999
ACH-000182,-0.171900453811
ACH-000183,0.19801321870900002
ACH-000188,0.027191683263599997
ACH-000189,0.0213767205783
ACH-000190,0.19272452137899998
ACH-000198,0.228479263959
ACH-000204,-0.03459899854930001
ACH-000206,0.00538362035408
ACH-000207,0.369209058468
ACH-000211,0.104540758446
ACH-000215,0.21143879491300002
ACH-000221,0.209558783428
ACH-000222,0.21624892156999997
ACH-000223,0.16493018278
