,LRRC37A3 (374819)
ACH-000004,-1.0789532711299998
ACH-000007,-0.6952172762790001
ACH-000009,-0.918117742973
ACH-000011,-0.644526379894
ACH-000012,-0.800148770631
ACH-000013,-0.883595134456
ACH-000014,-0.831932013924
ACH-000015,-0.666476373263
ACH-000017,-0.985854591964
ACH-000018,-0.732330718864
ACH-000019,-0.592778697121
ACH-000021,-0.886190354687
ACH-000022,-0.9120029510100001
ACH-000025,-0.6767374088089999
ACH-000028,-0.81423707171
ACH-000030,-0.818255287442
ACH-000035,-0.7157452089899999
ACH-000036,-0.570894654151
ACH-000037,-0.9134589582770001
ACH-000039,-0.9589102653470001
ACH-000040,-0.8315750607279999
ACH-000041,-0.82388064876
ACH-000042,-0.707626266621
ACH-000045,-0.94921467495
ACH-000047,-0.772147065309
ACH-000052,-0.809708112365
ACH-000053,-0.861486530959
ACH-000054,-0.892609044099
ACH-000055,-0.826705349386
ACH-000060,-0.6132286149239999
ACH-000067,-0.689395356098
ACH-000070,-0.783225138686
ACH-000075,-0.6345440276300001
ACH-000078,-0.7214552024169999
ACH-000082,-0.658925903158
ACH-000085,-0.6780115132100001
ACH-000086,-0.626792798896
ACH-000087,-0.688017685419
ACH-000092,-0.812436632464
ACH-000095,-1.07932314063
ACH-000097,-0.783751830883
ACH-000098,-0.7977624435690001
ACH-000099,-0.709177056097
ACH-000108,-0.820237457253
ACH-000113,-0.879928953287
ACH-000115,-1.05584433508
ACH-000116,-0.771445096669
ACH-000118,-0.749176011537
ACH-000120,-0.7682258840009999
ACH-000123,-0.7945352183059999
ACH-000127,-0.713952409516
ACH-000128,-1.0231822908200001
ACH-000132,-0.597973510801
ACH-000133,-0.7003372034440001
ACH-000137,-0.7268643508179999
ACH-000138,-1.08124768096
ACH-000142,-0.843992870358
ACH-000143,-0.634750047918
ACH-000146,-0.8413416944709999
ACH-000148,-1.03828431629
ACH-000150,-0.8419737483849999
ACH-000152,-0.8812044816750001
ACH-000153,-0.586647404398
ACH-000159,-0.895041119435
ACH-000160,-1.0039630260899999
ACH-000163,-0.856968670361
ACH-000167,-1.24944468381
ACH-000168,-0.858057640915
ACH-000169,-0.719352387665
ACH-000178,-0.72759927102
ACH-000182,-0.7416342595759999
ACH-000183,-0.9031412630660001
ACH-000188,-0.770374340932
ACH-000189,-0.908164315572
ACH-000190,-0.703187206696
ACH-000198,-0.8148881271080001
ACH-000204,-0.7531521594239999
ACH-000206,-0.54340606654
ACH-000207,-0.6804674081100001
ACH-000211,-0.849499638856
ACH-000215,-0.721035065719
ACH-000221,-0.7098085279909999
ACH-000222,-0.932054166196
ACH-000223,-0.7080176832439999
ACH-000226,-0.737022294962
ACH-000227,-0.939467502472
ACH-000228,-0.7225437949179999
ACH-000231,-0.848889564103
ACH-000232,-0.64039734033
ACH-000233,-0.869930388837
ACH-000234,-0.595700888126
ACH-000235,-0.8553957631219999
ACH-000237,-0.786811659533
ACH-000238,-1.0951003480700001
ACH-000243,-0.832036108833
ACH-000244,-0.7741694532310001
ACH-000246,-0.7698827335449999
ACH-000248,-0.879800252571
ACH-000250,-0.660467918122
ACH-000251,-0.7167799068970001
ACH-000253,-0.667489382077
ACH-000255,-0.585968914859
ACH-000256,-0.997832416527
ACH-000257,-0.6627146025289999
ACH-000258,-1.10215398844
ACH-000259,-0.8718116150499999
ACH-000260,-0.62367388295
ACH-000261,-0.635839898098
ACH-000262,-0.553167358079
ACH-000263,-0.86886117814
ACH-000264,-1.06418748668
ACH-000265,-0.6744408041069999
ACH-000266,-0.716017932964
ACH-000272,-0.8785080365989999
ACH-000273,-0.8007424689849999
ACH-000274,-1.04287884385
ACH-000277,-0.634577580561
ACH-000278,-0.618170971694
ACH-000279,-1.09549204948
ACH-000280,-0.5234544008340001
ACH-000281,-0.819139247343
ACH-000288,-0.962818980308
ACH-000291,-0.8199814211390001
ACH-000293,-0.82931739049
ACH-000294,-1.1531548852299998
ACH-000295,-1.0489848162200002
