,SPPL2C (162540)
ACH-000004,-0.262039141128
ACH-000007,-0.105019659392
ACH-000009,-0.406920013121
ACH-000011,-0.189837611413
ACH-000012,-0.147784924593
ACH-000013,-0.32557221893599997
ACH-000014,-0.375382461548
ACH-000015,-0.126967350708
ACH-000017,-0.20124568267
ACH-000018,-0.0335296169501
ACH-000019,-0.341780537693
ACH-000021,-0.0765250965766
ACH-000022,-0.391650470925
ACH-000025,-0.18159369982999998
ACH-000028,-0.304445871283
ACH-000030,-0.363152073156
ACH-000035,-0.3266593081
ACH-000036,-0.226440475504
ACH-000037,-0.298396115531
ACH-000039,-0.321129575161
ACH-000040,-0.24347765355
ACH-000041,-0.43582766848800003
ACH-000042,-0.340741350324
ACH-000045,-0.24112257408399998
ACH-000047,-0.181836489166
ACH-000052,-0.25106846281100004
ACH-000053,-0.229627150491
ACH-000054,-0.19095376718600002
ACH-000055,-0.399498434071
ACH-000060,-0.0488728348412
ACH-000067,-0.46585748112400005
ACH-000070,-0.230433583147
ACH-000075,-0.310755717773
ACH-000078,-0.382226556116
ACH-000082,-0.116257350799
ACH-000085,-0.317122920858
ACH-000086,-0.322835005469
ACH-000087,-0.110430593531
ACH-000092,-0.164888886478
ACH-000095,-0.415802690172
ACH-000097,-0.231384970883
ACH-000098,-0.22527133441799999
ACH-000099,-0.227260556174
ACH-000108,0.05159703761940001
ACH-000113,-0.09571757004139998
ACH-000115,-0.363159291826
ACH-000116,-0.32580241075599997
ACH-000118,-0.292360728435
ACH-000120,-0.374640980839
ACH-000123,-0.183842852449
ACH-000127,-0.207187480395
ACH-000128,-0.31194520072299997
ACH-000132,-0.23387073402199998
ACH-000133,-0.301656323336
ACH-000137,-0.153480070653
ACH-000138,-0.214235240074
ACH-000142,-0.41880396395499997
ACH-000143,-0.0835396700442
ACH-000146,-0.168259666385
ACH-000148,-0.301270361003
ACH-000150,-0.5298085137080001
ACH-000152,-0.441370202098
ACH-000153,-0.259020305994
ACH-000159,-0.142260632215
ACH-000160,-0.129412403077
ACH-000163,-0.42494935446500004
ACH-000167,-0.500397906808
ACH-000168,0.0
ACH-000169,-0.19758723269900003
ACH-000178,-0.208313401521
ACH-000182,-0.180741437797
ACH-000183,-0.334524589524
ACH-000188,-0.616836924316
ACH-000189,-0.6825748818690001
ACH-000190,-0.126284309792
ACH-000198,-0.21875401731600003
ACH-000204,-0.00368180484788
ACH-000206,-0.258871937903
ACH-000207,-0.23689442961100002
ACH-000211,-0.43910768281499996
ACH-000215,-0.325467878581
ACH-000221,-0.19073108102000003
ACH-000222,-0.269825859419
ACH-000223,-0.115044588872
ACH-000226,-0.306081648656
ACH-000227,-0.0407893308454
ACH-000228,-0.206501525579
ACH-000231,-0.21389215565699998
ACH-000232,-0.240840743929
ACH-000233,-0.20753459171
ACH-000234,-0.17123595697299998
ACH-000235,-0.40389043309100003
ACH-000237,-0.214200664823
ACH-000238,-0.262071984435
ACH-000243,-0.281947290907
ACH-000244,-0.37228085243500003
ACH-000246,-0.149986811536
ACH-000248,-0.218948256316
ACH-000250,-0.33820709528000004
ACH-000251,-0.374484492804
ACH-000253,-0.37564880214100005
ACH-000255,-0.258884284518
ACH-000256,-0.4075550042
ACH-000257,-0.19524933162900002
ACH-000258,-0.019666260001700003
ACH-000259,-0.321142772567
ACH-000260,-0.29619080492
ACH-000261,-0.234317449289
ACH-000262,-0.267957872451
ACH-000263,-0.14347428033600002
ACH-000264,-0.329954151702
ACH-000265,-0.288210264396
ACH-000266,-0.251185420915
ACH-000272,-0.282250405291
ACH-000273,-0.35688734722300003
ACH-000274,-0.313497436028
ACH-000277,-0.278317889738
ACH-000278,-0.384129634753
ACH-000279,-0.450614554988
ACH-000280,-0.19921220925
ACH-000281,-0.23307021136
ACH-000288,-0.299737227806
ACH-000291,-0.310513491617
ACH-000293,-0.316467300567
ACH-000294,-0.306489478637
ACH-000295,-0.0588068745017
ACH-000296,-0.354712996594
ACH-000302,-0.31631308911899997
ACH-000304,-0.129171274316
ACH-000307,-0.288140524152
ACH-000308,-0.295062746496
ACH-000310,-0.342192949301
ACH-000311,-0.316634966485
ACH-000312,-0.314666035381
ACH-000315,-0.595021075032
ACH-000316,-0.266661835708
ACH-000317,-0.176447349707
ACH-000318,-0.28606314313299996
ACH-000319,-0.138609274254
ACH-000320,-0.27468930221099996
ACH-000322,-0.469952687541
ACH-000323,-0.34580419242
ACH-000324,-0.251757754522
ACH-000329,-0.359237813345
ACH-000330,-0.157360266894
ACH-000331,-0.419984915465
ACH-000332,-0.23729438335499997
ACH-000334,-0.0870986994038
ACH-000335,-0.234138842155
ACH-000336,-0.197515760249
ACH-000337,-0.364191919085
ACH-000339,-0.24888910899500002
ACH-000341,-0.0548348267091
ACH-000348,-0.208856030828
ACH-000350,-0.176238695398
ACH-000352,-0.348729050888
ACH-000356,-0.367214212245
ACH-000361,0.0577013370483
ACH-000362,0.0275202661081
ACH-000363,-0.192599393327
ACH-000364,-0.30884123475499997
ACH-000365,-0.373922430634
ACH-000366,-0.190662131139
ACH-000368,-0.0717931745022
ACH-000374,-0.116852135821
ACH-000375,-0.134013533017
ACH-000376,-0.0747312734909
ACH-000381,-0.40632291776
ACH-000383,-0.271460434739
ACH-000387,-0.20639916529599997
ACH-000389,-0.36951706899400005
ACH-000390,-0.332620960988
ACH-000393,-0.146659783627
ACH-000395,0.04460322570309999
ACH-000397,-0.331763101667
ACH-000401,-0.280693849503
ACH-000402,-0.310990546368
ACH-000403,-0.348633549621
ACH-000404,0.07340344383330001
ACH-000406,-0.178321975882
ACH-000407,-0.0597879771294
ACH-000408,-0.173294405224
ACH-000410,-0.24861253585299997
ACH-000411,-0.372398902302
ACH-000414,-0.264863198211
ACH-000415,-0.49147886883599995
ACH-000416,-0.322811700834
ACH-000420,-0.100580528894
ACH-000421,-0.24405605934
ACH-000424,-0.448173339042
ACH-000425,-0.166510906672
ACH-000426,-0.266796193013
ACH-000427,-0.27666292131299997
ACH-000433,0.0739665289592
ACH-000436,-0.250387143775
ACH-000444,-0.34273294415600003
ACH-000445,-0.209046799196
ACH-000448,-0.282856292229
ACH-000450,-0.226680788864
ACH-000452,-0.291541875363
ACH-000454,-0.260895438026
ACH-000458,-0.475626975622
ACH-000459,-0.24588531053800003
ACH-000460,-0.175264546173
ACH-000461,0.0871547687387
ACH-000463,-0.357939810742
ACH-000464,-0.21169162639699998
ACH-000466,-0.33899584151900003
ACH-000467,-0.23409259980799998
ACH-000468,-0.44569017788599996
ACH-000469,-0.33804552298199997
ACH-000470,-0.0526807087202
ACH-000471,-0.352182581645
ACH-000472,-0.293343135317
ACH-000473,-0.293954427165
ACH-000475,-0.23422489032299998
ACH-000476,-0.0764465448228
ACH-000477,-0.25158258515099996
ACH-000480,-0.31506117362799996
ACH-000481,-0.234748077031
ACH-000483,-0.327144555464
ACH-000484,-0.16330454073200001
ACH-000485,-0.354255207443
ACH-000486,-0.124548478422
ACH-000487,-0.11744238088400001
ACH-000488,-0.22557612385200002
