,ABT1 (29777)
ACH-000004,-0.482428420279
ACH-000007,-0.637222485172
ACH-000009,-0.505027755814
ACH-000011,-0.757999709063
ACH-000012,-0.36413747248499995
ACH-000013,-0.6639756979020001
ACH-000014,-0.41789885306100005
ACH-000015,-0.333522313129
ACH-000017,-0.40962202524400004
ACH-000018,-0.757877482493
ACH-000019,-0.348928476859
ACH-000021,-0.388164331636
ACH-000022,-0.457283563988
ACH-000025,-0.489603361052
ACH-000028,-0.381205466263
ACH-000030,-0.505706302952
ACH-000035,-0.7620857682559999
ACH-000036,-0.419614235316
ACH-000037,-0.664560236373
ACH-000039,-0.365238306641
ACH-000040,-0.35185271683499997
ACH-000041,-0.609186862649
ACH-000042,-0.485600298184
ACH-000045,-0.470052319912
ACH-000047,-0.5033944973800001
ACH-000052,-0.698096511296
ACH-000053,-0.5375958366470001
ACH-000054,-0.452468714486
ACH-000055,-0.367588471779
ACH-000060,-0.475950740129
ACH-000067,-0.6725163809170001
ACH-000070,-0.711196226059
ACH-000075,-0.611750289414
ACH-000078,-0.299878681916
ACH-000082,-0.738313377604
ACH-000085,-0.316799030438
ACH-000086,-0.7323268399930001
ACH-000087,-0.68140169665
ACH-000092,-0.519226468349
ACH-000095,-0.687021389512
ACH-000097,-0.637156233149
ACH-000098,-0.658965513003
ACH-000099,-0.30463003602600003
ACH-000108,-0.605656647785
ACH-000113,-0.5880620919899999
ACH-000115,-1.0184210035799999
ACH-000116,-0.615778645866
ACH-000118,-0.722209051214
ACH-000120,-0.504416320266
ACH-000123,-0.8706121326749999
ACH-000127,-0.404180662086
ACH-000128,-0.458214371407
ACH-000132,-0.412154576999
ACH-000133,-0.362923767131
ACH-000137,-0.40710558869999997
ACH-000138,-0.330853866627
ACH-000142,-0.361747067703
ACH-000143,-0.6968410886380001
ACH-000146,-1.06046793936
ACH-000148,-0.45481502510399996
ACH-000150,-0.6134507371679999
ACH-000152,-0.23607791773200001
ACH-000153,-0.596944597442
ACH-000159,-0.797680533965
ACH-000160,0.140500368892
ACH-000163,-0.848169891511
ACH-000167,-0.0936844616086
ACH-000168,-0.590310171958
ACH-000169,-0.677489862016
ACH-000178,-0.504781227804
ACH-000182,-0.590989427052
ACH-000183,-0.483830692513
ACH-000188,-0.401288170054
ACH-000189,-0.42111302356700003
ACH-000190,-0.296383316464
ACH-000198,-0.518791026809
ACH-000204,-0.294159821547
ACH-000206,-0.7841335274760001
ACH-000207,-0.5349315724620001
ACH-000211,-0.29633415822500003
ACH-000215,-0.52637211188
ACH-000221,-0.597591967235
ACH-000222,-0.253344051867
ACH-000223,-0.406518030421
ACH-000226,-0.471226155776
ACH-000227,-0.108096763759
ACH-000228,-0.564796772549
ACH-000231,-0.533100217957
ACH-000232,-0.594952520261
ACH-000233,-0.507420117255
ACH-000234,-0.266037846554
ACH-000235,-0.560623904547
ACH-000237,-0.2360920236
ACH-000238,-0.288481291941
ACH-000243,-0.6335856383340001
ACH-000244,-0.641467677902
ACH-000246,-0.478405638443
ACH-000248,-0.296641086608
ACH-000250,-0.533740286176
ACH-000251,-0.801599055149
ACH-000253,-0.7811685545170001
ACH-000255,-0.41987684161100003
ACH-000256,-0.37434208795400004
ACH-000257,-0.666700412615
ACH-000258,-0.517719961503
ACH-000259,-0.426956995786
ACH-000260,-0.692054521435
ACH-000261,-0.536489596025
ACH-000262,-0.379792621294
ACH-000263,-0.510792029053
ACH-000264,-0.7127922528139999
ACH-000265,-0.45807746412600003
ACH-000266,-0.579046760934
ACH-000272,-0.547931605145
ACH-000273,-0.45711237840400004
ACH-000274,-0.435529627143
ACH-000277,-0.40748753088600004
ACH-000278,-0.595138295183
ACH-000279,-0.46976301790700004
ACH-000280,-0.431335396993
ACH-000281,-0.269660660939
ACH-000288,-0.45379374861599997
ACH-000291,-0.373971186801
ACH-000293,-0.6954975045440001
ACH-000294,-0.245969371479
ACH-000295,-0.373260062835
ACH-000296,-0.463861997807
ACH-000302,-0.421532950995
ACH-000304,-0.44435231901
ACH-000307,-0.46055970975
ACH-000308,-0.4826889509
ACH-000310,-0.466950901993
ACH-000311,-0.603679690417
ACH-000312,-0.44555782611999994
ACH-000315,-0.16804120910999998
ACH-000316,-0.20867009147799997
ACH-000317,-0.7045120526399999
ACH-000318,-0.5330521611110001
ACH-000319,-0.769752256144
ACH-000320,-0.49878221422700003
ACH-000322,-0.9495526512190001
ACH-000323,-0.469273175005
ACH-000324,-0.5017086645669999
ACH-000329,-0.43168006864200004
ACH-000330,-0.45463032211000004
ACH-000331,-0.603047520602
ACH-000332,-0.579867592098
ACH-000334,-0.538297759354
ACH-000335,-0.868114929077
ACH-000336,-0.473660008834
ACH-000337,-0.602559082796
ACH-000339,-0.40797459487300003
ACH-000341,-0.370493927509
ACH-000348,-0.486894883956
ACH-000350,-0.507490907876
ACH-000352,-0.811595751914
ACH-000356,-0.633687318628
ACH-000361,-0.6895137331800001
ACH-000362,-0.46465697406400003
ACH-000363,-0.562172361572
ACH-000364,-0.8000122739550001
ACH-000365,-0.404211280249
ACH-000366,-0.287902468604
