,COPS7A (50813)
ACH-000004,0.0464107678019
ACH-000007,-0.0721383526888
ACH-000009,-0.162543586779
ACH-000011,0.029715051741
ACH-000012,-0.0437570300739
ACH-000013,0.004114155706229999
ACH-000014,-0.179596830391
ACH-000015,0.042645512054900005
ACH-000017,-0.5653469350829999
ACH-000018,-0.282638738017
ACH-000019,-0.369317751709
ACH-000021,-0.058278981127
ACH-000022,-0.13805832361099998
ACH-000025,-0.110838969671
ACH-000028,-0.120296660318
ACH-000030,0.0159105161477
ACH-000035,-0.0506308191697
ACH-000036,-0.0458312413968
ACH-000037,0.09314290601610001
ACH-000039,0.062662259461
ACH-000040,0.0516535018987
ACH-000041,-0.106038539865
ACH-000042,0.101724689189
ACH-000045,-0.0701983596687
ACH-000047,-0.24462662453200001
ACH-000052,-0.104408545919
ACH-000053,-0.0634603541703
ACH-000054,0.10831805553200001
ACH-000055,-0.1873337968
ACH-000060,0.14587007898
ACH-000067,0.031911079166
ACH-000070,-0.0708756027026
ACH-000075,-0.0661618372008
ACH-000078,-0.11783797260500001
ACH-000082,0.0238462520877
ACH-000085,-0.24971539308899998
ACH-000086,0.00820277878592
ACH-000087,-0.029785070632
ACH-000092,-0.24350925022
ACH-000095,-0.00441397629503
ACH-000097,-0.143979105699
ACH-000098,0.156229590266
ACH-000099,-0.12212337961200001
ACH-000108,-0.0601997252589
ACH-000113,-0.0282599451858
ACH-000115,-0.112804737832
ACH-000116,-0.39888926934600005
ACH-000118,0.0195659423739
ACH-000120,-0.186242166217
ACH-000123,-0.00820234632797
ACH-000127,-0.0675485730625
ACH-000128,0.123438725549
ACH-000132,0.035671394831800006
ACH-000133,-0.258041334922
ACH-000137,-0.0746917881033
ACH-000138,-0.10039265825999999
ACH-000142,-0.054313184998399995
ACH-000143,0.110680119746
ACH-000146,-0.0663205915355
ACH-000148,0.060338170489
ACH-000150,-0.025979311871500002
ACH-000152,-0.0816493452261
ACH-000153,-0.267694542513
ACH-000159,-0.30406840385
ACH-000160,0.0286874952042
ACH-000163,-0.0669440615191
ACH-000167,-0.348946522972
ACH-000168,-0.0615764103874
ACH-000169,-0.0996346253545
ACH-000178,-0.033671828115599996
ACH-000182,-0.025235235723799997
ACH-000183,-0.0622776678972
ACH-000188,-0.0645989006489
ACH-000189,-0.21367301031599997
ACH-000190,-0.0664762315933
ACH-000198,-0.0518718827718
ACH-000204,0.114504214903
ACH-000206,0.07804229611930001
ACH-000207,0.0475823194969
ACH-000211,-0.266025059074
ACH-000215,-0.039611541128699995
ACH-000221,-0.20828011993099999
ACH-000222,-0.131794627516
ACH-000223,-0.17526441757800001
ACH-000226,-0.0668463140644
ACH-000227,0.0671004336243
ACH-000228,-0.32618649494
ACH-000231,0.0015464667800399999
ACH-000232,0.203614591791
ACH-000233,-0.030844468971000003
ACH-000234,-0.19337919813499999
ACH-000235,-0.0277567622032
ACH-000237,-0.152114866837
ACH-000238,-0.0338325075115
ACH-000243,-0.0885460574945
ACH-000244,0.211664927689
