,PHB2 (11331)
ACH-000004,-1.2923385571700001
ACH-000007,-1.15579558198
ACH-000009,-1.05340997417
ACH-000011,-0.9526558811270001
ACH-000012,-1.1943267853
ACH-000013,-1.25391525609
ACH-000014,-1.22473513785
ACH-000015,-1.06793741294
ACH-000017,-0.940611692736
ACH-000018,-0.91791834079
ACH-000019,-1.71531407502
ACH-000021,-1.20191773965
ACH-000022,-1.5671924886700002
ACH-000025,-1.08670565837
ACH-000028,-0.9198530626070001
ACH-000030,-1.0554346733
ACH-000035,-1.0858635921
ACH-000036,-1.06868886494
ACH-000037,-1.13570827899
ACH-000039,-1.3275477385299999
ACH-000040,-1.00072446771
ACH-000041,-1.0295473761299998
ACH-000042,-1.28118314508
ACH-000045,-1.11659385582
ACH-000047,-1.1498324173899999
ACH-000052,-0.591172524125
ACH-000053,-1.17624190631
ACH-000054,-0.786745480815
ACH-000055,-0.9734078688400001
ACH-000060,-1.2234768721
ACH-000067,-0.768282440598
ACH-000070,-1.4339529939700002
ACH-000075,-1.23665829498
ACH-000078,-1.28082642139
ACH-000082,-1.15065300293
ACH-000085,-0.9153584043999999
ACH-000086,-0.908073607616
ACH-000087,-0.8330220416230001
ACH-000092,-1.29375134369
ACH-000095,-1.0829622556799998
ACH-000097,-0.8546910569149999
ACH-000098,-1.19726334425
ACH-000099,-1.06426197234
ACH-000108,-0.9461913246170001
ACH-000113,-1.04520582623
ACH-000115,-1.58357829012
ACH-000116,-1.15400132757
ACH-000118,-1.05364046238
ACH-000120,-0.7755327942
ACH-000123,-1.01104058085
ACH-000127,-1.1536783135100002
ACH-000128,-1.31935461548
ACH-000132,-1.0894428635100002
ACH-000133,-1.20209805944
ACH-000137,-1.32318122046
ACH-000138,-1.1545281545200001
ACH-000142,-0.9981763672399999
ACH-000143,-0.991599722432
ACH-000146,-1.732932428
ACH-000148,-1.12518642818
ACH-000150,-1.04931422705
ACH-000152,-1.19674790172
ACH-000153,-1.0358869872799998
ACH-000159,-1.15882673933
ACH-000160,-1.5154688121000002
ACH-000163,-0.810555449356
ACH-000167,-1.2499838707700002
ACH-000168,-1.3445374918200002
ACH-000169,-1.3579343791999998
ACH-000178,-1.02194199387
ACH-000182,-1.0081844931100001
ACH-000183,-1.11024370781
ACH-000188,-0.9420095772980001
ACH-000189,-0.0499252375963
ACH-000190,-1.17866430681
ACH-000198,-0.9981815304680001
ACH-000204,-1.03618271499
ACH-000206,-1.07443207879
ACH-000207,-1.10427381783
ACH-000211,-1.03959320506
ACH-000215,-1.07526924461
ACH-000221,-1.17948850209
ACH-000222,-0.761380260166
ACH-000223,-0.861471022465
ACH-000226,-1.18112141708
ACH-000227,-1.10567360875
ACH-000228,-1.00877700955
ACH-000231,-1.16075244193
ACH-000232,-1.2728588356200001
ACH-000233,-1.23525244857
ACH-000234,-1.12241048111
ACH-000235,-0.925801994403
ACH-000237,-1.05992329565
ACH-000238,-1.30197299088
ACH-000243,-1.22391740839
ACH-000244,-1.28386039865
ACH-000246,-0.7698555176369999
ACH-000248,-1.1733047602700002
ACH-000250,-1.2519392708200001
ACH-000251,-1.1696828187700001
ACH-000253,-1.2397568528
ACH-000255,-1.03410783949
ACH-000256,-1.3685040455200002
ACH-000257,-1.5065170153
ACH-000258,-1.05536324124
ACH-000259,-1.22359314501
ACH-000260,-1.0986973600399998
ACH-000261,-1.20343189777
ACH-000262,-1.2539833515899999
ACH-000263,-1.76921025461
ACH-000264,-1.31016080589
ACH-000265,-0.993096138491
ACH-000266,-1.0440321534299999
ACH-000272,-1.15325506816
ACH-000273,-1.2315622647700002
ACH-000274,-1.6395490333200002
ACH-000277,-1.15042154855
ACH-000278,-1.0255448389700001
ACH-000279,-0.990171596044
ACH-000280,-1.27782252738
ACH-000281,-0.9822882951980001
ACH-000288,-1.182273989
ACH-000291,-1.10021935326
ACH-000293,-1.42777469975
ACH-000294,-1.50217592838
ACH-000295,-1.39063036289
ACH-000296,-1.20982131563
ACH-000302,-1.35680188986
ACH-000304,-1.39312251515
ACH-000307,-1.2868863425100001
ACH-000308,-1.15653649946
ACH-000310,-1.1135058535100002
ACH-000311,-1.2628497794
ACH-000312,-1.13133906585
ACH-000315,-1.28679755078
ACH-000316,-1.36850550019
ACH-000317,-1.32855324637
ACH-000318,-1.01198189844
ACH-000319,-1.0513529615600001
ACH-000320,-0.8483360734190001
ACH-000322,-0.831483995672
ACH-000323,-1.12568721269
ACH-000324,-0.958162900246
ACH-000329,-1.12005979591
ACH-000330,-0.916556566356
ACH-000331,-0.8997556549660001
ACH-000332,-1.1529010714299999
ACH-000334,-1.39751092314
ACH-000335,-0.9811836750640001
ACH-000336,-1.1057445745999999
ACH-000337,-0.989077118961
ACH-000339,-0.989215135271
ACH-000341,-1.11893116316
ACH-000348,-1.27473003001
ACH-000350,-1.23577952891
ACH-000352,-0.8491136372849999
ACH-000356,-1.10005779487
ACH-000361,-0.622557512367
ACH-000362,-1.1080160358600002
ACH-000363,-1.3254447867799999
ACH-000364,-1.17012856079
ACH-000365,-1.06424683125
ACH-000366,-1.03839742877
ACH-000368,-1.33538970317
ACH-000374,-1.08754581037
ACH-000375,-0.988547413673
ACH-000376,-0.9876518217460001
ACH-000381,-0.941000635448
ACH-000383,-1.2061242652
ACH-000387,-0.9484565028309999
ACH-000389,-0.865716836347
ACH-000390,-1.28622479634
ACH-000393,-0.9475303754180001
ACH-000395,-1.15273448365
ACH-000397,-1.2701686147799998
ACH-000401,-0.728326072238
ACH-000402,-1.6496233247299998
ACH-000403,-1.32662512176
ACH-000404,-1.1393977881
ACH-000406,-1.29842956737
ACH-000407,-0.743621576516
ACH-000408,-0.9076887543909999
ACH-000410,-0.988091841984
ACH-000411,-1.3350441474099999
ACH-000414,-1.19198136979
ACH-000415,-1.2628886227399998
ACH-000416,-1.069184168
ACH-000420,-1.0235532521600001
ACH-000421,-1.14348965765
ACH-000424,-1.31035195084
ACH-000425,-0.9027051194619999
ACH-000426,-1.34160879402
ACH-000427,-1.70801911386
ACH-000433,-1.01496940418
ACH-000436,-1.42864809734
ACH-000444,-0.8722777461
ACH-000445,-1.5065152678100002
ACH-000448,-1.13184809153
ACH-000450,-0.5792476058630001
ACH-000452,-1.17546376592
ACH-000454,-0.860725586587
ACH-000458,-1.18507345111
ACH-000459,-0.541889114108
ACH-000460,-1.1385553072499999
ACH-000461,-1.16514429941
ACH-000463,-1.29213941145
ACH-000464,-0.988854768583
ACH-000466,-1.29972209652
ACH-000467,-0.843300453643
ACH-000468,-1.08895543005
ACH-000469,-1.09809896784
ACH-000470,-0.921011799777
ACH-000471,-1.13396784342
ACH-000472,-1.0108742251
ACH-000473,-0.988240979756
ACH-000475,-1.22906937375
ACH-000476,-1.3455790672799999
ACH-000477,-1.3701466267200002
ACH-000480,-1.3706383658399999
ACH-000481,-1.13682452282
ACH-000483,-1.27452422978
ACH-000484,-1.03982426027
ACH-000485,-1.27011314689
ACH-000486,-0.882678998765
ACH-000487,-1.06222303255
ACH-000488,-1.12973273036
ACH-000490,-0.902399196646
ACH-000491,-1.30054238736
ACH-000495,-1.1336177127200002
ACH-000496,-1.06726196161
ACH-000499,-0.725380593213
ACH-000500,-0.940347125827
ACH-000502,-1.0810334885100001
ACH-000503,-1.52453900165
ACH-000505,-1.04633123879
ACH-000507,-1.30164515389
ACH-000510,-1.24652388423
ACH-000511,-1.08578562729
ACH-000512,-1.42287458023
ACH-000516,-1.0077212164
ACH-000517,-1.20114080832
ACH-000518,-1.3163814893299999
ACH-000520,-1.12081148316
ACH-000521,-0.860013324761
ACH-000522,-1.17670899171
ACH-000524,-1.4169462177
ACH-000527,-1.10544766543
ACH-000528,-1.08141918081
ACH-000537,-1.33199824517
ACH-000541,-1.34668533595
ACH-000542,-1.01549522897
ACH-000544,-0.932157201206
ACH-000545,-1.2495514395
ACH-000547,-0.837933317632
ACH-000548,-0.93136137466
ACH-000549,-1.26200543012
ACH-000550,-0.704641137002
ACH-000552,-1.08918658958
ACH-000556,-1.26800764561
ACH-000557,-1.73991537472
ACH-000570,-1.02323607698
ACH-000571,-1.09093747562
ACH-000573,-1.0848514542
ACH-000576,-1.28678282606
ACH-000580,-1.0071898109
ACH-000584,-1.27354354732
ACH-000585,-1.11657844143
ACH-000588,-1.22632625868
ACH-000589,-1.10695199555
ACH-000591,-1.1612832145899998
ACH-000593,-1.11072375827
ACH-000600,-1.2587164630299998
ACH-000601,-0.9492851402079999
ACH-000604,-1.52618556473
ACH-000605,-1.32351244866
ACH-000606,-0.8814669058299999
ACH-000608,-0.9559565046799999
ACH-000614,-1.1554522333700001
ACH-000616,-1.0517684500700002
ACH-000618,-1.0640079226399999
ACH-000619,-1.09143790364
ACH-000620,-0.850411992374
ACH-000621,-1.23519834565
ACH-000622,-1.03980524431
ACH-000623,-1.13914171668
ACH-000624,-1.08334906983
ACH-000627,-1.03066871796
ACH-000630,-1.19313212279
ACH-000632,-1.37453264064
ACH-000633,-1.3806101071599999
ACH-000637,-1.07561015374
ACH-000638,-1.00625434156
ACH-000646,-1.39732940926
ACH-000647,-1.18534300146
ACH-000648,-1.21382082793
ACH-000649,-1.01591421067
ACH-000651,-0.955860624035
ACH-000652,-0.861024965116
ACH-000653,-1.40044538734
ACH-000657,-1.19763226688
ACH-000658,-1.42799891696
ACH-000661,-1.03915745109
ACH-000662,-1.00731348393
ACH-000663,-0.9482434735680001
ACH-000665,-0.897056374169
ACH-000671,-1.39961510993
ACH-000673,-1.0433628166700002
ACH-000676,-1.12402450577
ACH-000677,-0.826941756048
ACH-000681,-1.3616071700299999
ACH-000682,-0.934603598655
ACH-000683,-1.1666884614700002
ACH-000684,-1.15931188786
ACH-000688,-1.3521728116499998
ACH-000693,-1.11386760639
ACH-000694,-1.19709951544
ACH-000695,-1.4391213083399998
ACH-000696,-1.07704055234
ACH-000697,-1.16649488685
ACH-000699,-0.8296308848039999
ACH-000701,-0.975532979718
ACH-000706,-1.14934827926
ACH-000711,-1.01014819793
ACH-000713,-0.887826645936
ACH-000714,-1.31918294946
ACH-000718,-0.912528950154
ACH-000720,-1.01339871323
ACH-000721,-1.0974985938
ACH-000724,-1.7841955046400002
ACH-000725,-1.30670423557
ACH-000732,-0.920181002987
ACH-000734,-1.17661697519
ACH-000735,-1.4219397708200001
ACH-000736,-1.0983707888299998
ACH-000738,-0.8710967947339999
ACH-000746,-1.47243254006
ACH-000747,-0.882913123755
ACH-000748,-1.0979238811799998
ACH-000753,-1.04288147184
ACH-000756,-1.094894875
ACH-000757,-1.11539984186
ACH-000758,-0.896463659567
ACH-000760,-1.27742684107
ACH-000763,-0.9302422373389999
ACH-000764,-0.530972833627
ACH-000765,-1.0022987980299998
ACH-000766,-1.0941430835400001
ACH-000767,-1.27719211182
ACH-000768,-0.8214161078899999
ACH-000769,-1.24225506375
ACH-000770,-1.07378373138
ACH-000771,-0.957711410475
ACH-000773,-1.23821260382
ACH-000776,-1.30556775155
ACH-000777,-0.9527359728299999
ACH-000778,-1.1237850665
ACH-000781,-1.16109724795
ACH-000782,-1.4336528037799998
ACH-000783,-1.22476291839
ACH-000784,-1.04619149117
ACH-000785,-1.2531873972299998
ACH-000787,-1.32539181931
ACH-000788,-1.10900202114
ACH-000791,-1.06542731637
ACH-000792,-1.09118184253
ACH-000794,-1.03561831468
ACH-000796,-0.884100986713
ACH-000799,-0.73787489216
