,AATK (9625)
ACH-000004,0.006768544900979999
ACH-000007,-0.057971462025199996
ACH-000009,-0.18872181237
ACH-000011,-0.359585953346
ACH-000012,-0.189530366942
ACH-000013,-0.14772664974400002
ACH-000014,0.08982272574939999
ACH-000015,-0.136692913251
ACH-000017,-0.39989755062700005
ACH-000018,-0.212478876152
ACH-000019,-0.11288682050200001
ACH-000021,-0.14165942573100002
ACH-000022,-0.147124238716
ACH-000025,-0.122719699175
ACH-000028,-0.17897581220800002
ACH-000030,-0.188381071389
ACH-000035,-0.10877673160599999
ACH-000036,-0.36526580672200004
ACH-000037,-0.300475871221
ACH-000039,-0.287802722457
ACH-000040,-0.198009921151
ACH-000041,-0.175013651785
ACH-000042,-0.40340006172700005
ACH-000045,-0.256939102777
ACH-000047,-0.21760960112599997
ACH-000052,-0.116063500193
ACH-000053,-0.145547872849
ACH-000054,-0.0421962797526
ACH-000055,-0.175101907868
ACH-000060,-0.0979164871289
ACH-000067,-0.19389715279599998
ACH-000070,-0.17907438244600002
ACH-000075,-0.455338408428
ACH-000078,-0.44756994708000003
ACH-000082,-0.024917425439400002
ACH-000085,-0.20206042793499998
ACH-000086,-0.09756596871369999
ACH-000087,-0.199998851673
ACH-000092,-0.12586733596
ACH-000095,-0.192805919864
ACH-000097,-0.10701532432600001
ACH-000098,-0.173282540097
ACH-000099,-0.42025101877099996
ACH-000108,-0.255032429753
ACH-000113,-0.120910096908
ACH-000115,-0.333579577457
ACH-000116,-0.213927801939
ACH-000118,-0.256849400583
ACH-000120,-0.342079200544
ACH-000123,-0.10644895833200001
ACH-000127,-0.174553621264
ACH-000128,-0.17567644082699999
ACH-000132,-0.123054771919
ACH-000133,-0.0968185523208
ACH-000137,-0.132963074792
ACH-000138,-0.13074553746200002
ACH-000142,-0.467308826358
ACH-000143,-0.0861902977965
ACH-000146,-0.0179004748166
ACH-000148,-0.21036847157000002
ACH-000150,-0.217337403491
ACH-000152,-0.21546801756700001
ACH-000153,0.17124034879799999
ACH-000159,-0.256290801693
ACH-000160,-0.158489658016
ACH-000163,-0.147668445268
ACH-000167,-0.09484438163930001
ACH-000168,0.0173207709561
ACH-000169,-0.269340149192
ACH-000178,-0.208544326882
ACH-000182,-0.203991182576
ACH-000183,-0.248308613712
ACH-000188,-0.18957123155299999
ACH-000189,-0.297664774066
ACH-000190,-0.0724193219686
ACH-000198,-0.081589092282
ACH-000204,-0.08523011897050001
ACH-000206,0.0210554771938
ACH-000207,-0.225406092004
ACH-000211,-0.196923732706
ACH-000215,-0.110104261712
ACH-000221,-0.131021450794
ACH-000222,-0.0364000896676
ACH-000223,-0.127356017584
ACH-000226,-0.208390515243
ACH-000227,0.0215493967923
ACH-000228,-0.0771162574271
ACH-000231,-0.115401478819
ACH-000232,-0.0901926385842
ACH-000233,-0.19275723472
ACH-000234,-0.214196484686
ACH-000235,-0.0921965409321
ACH-000237,-0.097546806569
ACH-000238,-0.36677800590099996
ACH-000243,-0.23751832691799998
ACH-000244,-0.363086079363
ACH-000246,-0.34741328531300003
ACH-000248,-0.430161772023
ACH-000250,-0.352865629517
ACH-000251,-0.097042129265
