,YBEY (54059)
ACH-000004,-0.18611060826099998
ACH-000007,-0.225720171344
ACH-000009,-0.225043356514
ACH-000011,-0.0181478612702
ACH-000012,-0.23484149037500002
ACH-000013,-0.42435809666
ACH-000014,-0.10758576011499998
ACH-000015,-0.24010322565699999
ACH-000017,-0.133016045714
ACH-000018,-0.022405227546799997
ACH-000019,-0.453578464023
ACH-000021,-0.208405680665
ACH-000022,-0.149301641811
ACH-000025,-0.30359432835
ACH-000028,-0.380099426932
ACH-000030,-0.11785132608200001
ACH-000035,-0.267936546147
ACH-000036,-0.129771322603
ACH-000037,-0.34491839568000005
ACH-000039,0.0303510139264
ACH-000040,-0.18102769265000002
ACH-000041,0.0764408736565
ACH-000042,-0.135173885042
ACH-000045,-0.36790696367
ACH-000047,-0.266619089358
ACH-000052,-0.0311762244011
ACH-000053,-0.154606905375
ACH-000054,-0.00234452116437
ACH-000055,-0.231871147275
ACH-000060,-0.204369230942
ACH-000067,-0.0383308386796
ACH-000070,-0.25798792802299997
ACH-000075,-0.24032240418900003
ACH-000078,-0.218362322292
ACH-000082,-0.209811299491
ACH-000085,-0.069902199328
ACH-000086,-0.334307083822
ACH-000087,-0.354953234266
ACH-000092,-0.11093832880599999
ACH-000095,-0.0329587529364
ACH-000097,-0.16511765733
ACH-000098,-0.17226402958
ACH-000099,-0.19424775370900002
ACH-000108,-0.307942925226
ACH-000113,-0.534328842309
ACH-000115,-0.11513162045
ACH-000116,-0.373416326248
ACH-000118,-0.486755906315
ACH-000120,-0.184902519001
ACH-000123,-0.182789357988
ACH-000127,-0.20448738268199998
ACH-000128,0.023079775959900004
ACH-000132,-0.22258956782699998
ACH-000133,-0.0488199025921
ACH-000137,-0.10229029631599999
ACH-000138,-0.126174977545
ACH-000142,0.00267745488027
ACH-000143,-0.181342470491
ACH-000146,-0.0815896620955
ACH-000148,-0.18085601325800002
ACH-000150,-0.45252928931100006
ACH-000152,-0.247724287686
ACH-000153,-0.0248826362789
ACH-000159,-0.07544416836330001
ACH-000160,-0.453537373541
ACH-000163,-0.044549051363000004
ACH-000167,-0.0839943712586
ACH-000168,0.0189547381431
ACH-000169,-0.115077712806
ACH-000178,-0.265641147719
ACH-000182,-0.35401071983000004
ACH-000183,-0.0600455825298
ACH-000188,-0.00598846838982
ACH-000189,-0.287171128667
ACH-000190,-0.111082055306
ACH-000198,-0.590573013185
ACH-000204,-0.226876618849
ACH-000206,-0.0827206288535
ACH-000207,-0.512359747262
ACH-000211,-0.157674816707
ACH-000215,-0.191921840341
ACH-000221,-0.18807256464299998
ACH-000222,-0.283522427806
ACH-000223,-0.36642059804399996
ACH-000226,-0.205240062095
ACH-000227,-0.45256125033100003
ACH-000228,-0.16116753172599999
ACH-000231,-0.07156150820189999
ACH-000232,-0.27090195875399997
ACH-000233,-0.298721706188
ACH-000234,-0.19154562831900002
ACH-000235,-0.132499962782
ACH-000237,0.0544817925409
ACH-000238,-0.46297704390100003
ACH-000243,-0.282280884744
ACH-000244,-0.394879463878
ACH-000246,-0.21477938544599998
ACH-000248,-0.265157441982
ACH-000250,-0.06711059266559999
ACH-000251,-0.214891733214
ACH-000253,-0.247405621805
ACH-000255,-0.192395255436
ACH-000256,-0.254083950838
ACH-000257,-0.23187883088599998
ACH-000258,-0.294676874359
ACH-000259,-0.405342226009
ACH-000260,-0.052931964679899995
ACH-000261,-0.0634918704986
ACH-000262,0.112283410254
ACH-000263,0.0037317874540300005
ACH-000264,-0.20885694969300003
ACH-000265,-0.660596736928
ACH-000266,-0.274603895649
ACH-000272,-0.0925879876167
ACH-000273,-0.126534024432
ACH-000274,-0.241731152738
ACH-000277,-0.004219099705119999
ACH-000278,-0.0376776726824
ACH-000279,-0.299033381529
ACH-000280,-0.171925827615
ACH-000281,-0.356006630845
