,B3GNT9 (84752)
ACH-000004,0.04239645370069999
ACH-000007,-0.0843041781593
ACH-000009,-0.014339600129799998
ACH-000011,-0.127105710609
ACH-000012,-0.181398137416
ACH-000013,-0.323498146488
ACH-000014,-0.297123264822
ACH-000015,0.0609011505777
ACH-000017,-0.173072085213
ACH-000018,-0.179365326366
ACH-000019,-0.011181954501100001
ACH-000021,-0.135576537913
ACH-000022,-0.116439115256
ACH-000025,-0.33151995635299997
ACH-000028,0.160447302506
ACH-000030,-0.100560732559
ACH-000035,-0.225772441193
ACH-000036,-0.18507737483199999
ACH-000037,-0.356114837937
ACH-000039,-0.08916372784360001
ACH-000040,-0.15056998993100001
ACH-000041,-0.197529335545
ACH-000042,-0.14785484898
ACH-000045,-0.11983131684800001
ACH-000047,-0.11314098603499999
ACH-000052,-0.217903455321
ACH-000053,-0.09886668574819998
ACH-000054,-0.039011580762900004
ACH-000055,-0.15107120285999998
ACH-000060,-0.318042102917
ACH-000067,0.048255888626699994
ACH-000070,0.0964485379336
ACH-000075,-0.519066493271
ACH-000078,-0.38130073402
ACH-000082,-0.0929464874655
ACH-000085,-0.31734079499400003
ACH-000086,-0.229248469016
ACH-000087,0.314566560172
ACH-000092,-0.129634822711
ACH-000095,-0.148300372707
ACH-000097,-0.141871936823
ACH-000098,-0.18997458261599998
ACH-000099,-0.0921860033296
ACH-000108,-0.183210166906
ACH-000113,-0.0939150245874
ACH-000115,-0.16892678625399998
ACH-000116,-0.117414058958
ACH-000118,-0.156867682308
ACH-000120,-0.257911902377
ACH-000123,-0.026029670800900004
ACH-000127,-0.187075895946
ACH-000128,-0.293626685148
ACH-000132,-0.41985373920900004
ACH-000133,-0.26378775283100003
ACH-000137,-0.148153480725
ACH-000138,-0.00910358028519
ACH-000142,-0.133290245286
ACH-000143,-0.133080273873
ACH-000146,-0.22259153869000003
ACH-000148,-0.137109325724
ACH-000150,-0.28632916788699997
ACH-000152,-0.0656382027575
ACH-000153,-0.108306249223
ACH-000159,-0.17481278709800002
ACH-000160,-0.0127216194669
ACH-000163,-0.23321249544
ACH-000167,-0.236457938438
ACH-000168,-0.419534728676
