,SKP2 (6502)
ACH-000004,-0.405180008312
ACH-000007,-0.896074793753
ACH-000009,-0.5803297775240001
ACH-000011,-1.1298379992799998
ACH-000012,-1.09178650998
ACH-000013,-1.34390401595
ACH-000014,-0.997867828953
ACH-000015,-0.706681246126
ACH-000017,-0.775113048897
ACH-000018,-0.534668612935
ACH-000019,-0.617987637316
ACH-000021,-0.603571487156
ACH-000022,-0.565162642876
ACH-000025,-0.62865441277
ACH-000028,-1.09359701881
ACH-000030,-0.455006290149
ACH-000035,-0.860738530343
ACH-000036,-0.762148456585
ACH-000037,-0.510521144151
ACH-000039,-0.76055211046
ACH-000040,-0.943669547103
ACH-000041,-0.7956927959010001
ACH-000042,-0.7939839359729999
ACH-000045,-0.675320413051
ACH-000047,-1.09247406444
ACH-000052,-1.01836967159
ACH-000053,-0.35294063603299997
ACH-000054,-0.488274324655
ACH-000055,-1.14583824002
ACH-000060,-1.2764600095899998
ACH-000067,-1.13513810926
ACH-000070,-0.727421369057
ACH-000075,-0.373303994442
ACH-000078,-0.8228316329430001
ACH-000082,-0.7764065361399999
ACH-000085,-0.806268421717
ACH-000086,-0.836271102666
ACH-000087,-1.0303055314700003
ACH-000092,-0.54350636808
ACH-000095,-0.8782080851440001
ACH-000097,-0.74108436031
ACH-000098,-0.709200951529
ACH-000099,-0.8003334474510001
ACH-000108,-0.622425345767
ACH-000113,-0.44932737283999996
ACH-000115,-0.698526123676
ACH-000116,-1.0458411355700001
ACH-000118,-0.5802734003019999
ACH-000120,-0.721635555404
ACH-000123,-0.621144943383
ACH-000127,-0.716833495924
ACH-000128,-1.01688220454
ACH-000132,-0.608400134953
ACH-000133,-1.17110207191
ACH-000137,-1.1253077933600002
ACH-000138,-0.373083220775
ACH-000142,-0.920522464006
ACH-000143,-0.8159770628409999
ACH-000146,-0.794734577548
ACH-000148,-0.580770068332
ACH-000150,-1.0237895245200002
ACH-000152,-1.47257541109
ACH-000153,-0.8366332168880001
ACH-000159,-1.0078743748799999
ACH-000160,-0.32591948310400004
ACH-000163,-0.296950462098
ACH-000167,-0.616953323722
ACH-000168,-0.40294377195799996
ACH-000169,-0.7200776642110001
ACH-000178,-0.605650071831
ACH-000182,-0.49564073259999997
ACH-000183,-0.708118012331
ACH-000188,-0.44045242966000003
ACH-000189,-0.7474264880399999
ACH-000190,-0.706566828196
ACH-000198,-0.9692629681029999
ACH-000204,-0.602096063876
ACH-000206,-0.19578322111
ACH-000207,-0.392243062615
ACH-000211,-0.827898191173
ACH-000215,-0.7914283371340001
ACH-000221,-0.529979897241
ACH-000222,-0.7735330458140001
ACH-000223,-1.11245814491
ACH-000226,-0.072085355143
ACH-000227,-0.681735447085
ACH-000228,-0.870981290032
ACH-000231,-1.27880371521
ACH-000232,-1.10976731677
ACH-000233,-0.525339569484
ACH-000234,-0.635108452365
ACH-000235,-0.472121605844
ACH-000237,-0.71896436606
ACH-000238,-0.521968837923
ACH-000243,-0.467998349521
ACH-000244,-0.744484840061
ACH-000246,-0.7340226449680001
ACH-000248,-0.6194133962889999
ACH-000250,-0.190216857096
ACH-000251,-0.370335099578
ACH-000253,-0.15333514209000002
ACH-000255,-0.6236432445269999
ACH-000256,-1.09674774843
ACH-000257,-1.31668215517
ACH-000258,-1.04652621884
ACH-000259,-1.0063210443600001
ACH-000260,-0.909966510836
ACH-000261,-0.688782320001
ACH-000262,-0.633661404971
ACH-000263,-0.498633705508
ACH-000264,-0.574247704443
ACH-000265,-0.652349825147
ACH-000266,-0.627916474365
ACH-000272,-0.7658102593420001
ACH-000273,-1.22183223531
ACH-000274,-0.808503363052
ACH-000277,-0.604246991323
ACH-000278,-0.476840939095
ACH-000279,-0.7156970272130001
ACH-000280,-0.581840918057
ACH-000281,-0.795894737854
ACH-000288,-1.4176954880000001
ACH-000291,-0.80352980473
ACH-000293,-1.4588475968
ACH-000294,-0.346927461318
ACH-000295,-0.256214406579
ACH-000296,-0.9520618294930001
ACH-000302,-1.3101532636
ACH-000304,-0.9661082331749999
ACH-000307,-0.8297265617990001
ACH-000308,-0.762408781371
ACH-000310,-0.645343871166
ACH-000311,-0.989819986682
ACH-000312,-0.859850621294
ACH-000315,-1.21652751818
ACH-000316,-0.629942569869
ACH-000317,-0.671654148857
ACH-000318,-0.505344810866
ACH-000319,-0.9470319152519999
ACH-000320,-0.849906067726
ACH-000322,-0.698183497184
ACH-000323,-1.12425365163
ACH-000324,-0.7984146374
ACH-000329,-1.08713309324
ACH-000330,-1.11090321259
ACH-000331,-1.03630746089
ACH-000332,-0.576857065252
ACH-000334,-0.5812672281229999
ACH-000335,-0.7752505225390001
ACH-000336,-0.75233691155
ACH-000337,-0.567237175587
ACH-000339,-0.6070543442899999
ACH-000341,-1.2672287951899999
ACH-000348,-0.169644225422
ACH-000350,-1.0984152765100001
ACH-000352,-1.0403568735200002
ACH-000356,-0.509560428466
ACH-000361,-0.823000515952
ACH-000362,-0.8406517887970001
ACH-000363,-1.07424342186
ACH-000364,-0.404985421448
ACH-000365,-0.304717647791
ACH-000366,-1.14874164395
ACH-000368,-0.710414229399
ACH-000374,-0.465829545683
ACH-000375,-0.9348260998799999
ACH-000376,-0.860558357113
ACH-000381,-0.540051274678
ACH-000383,-0.409703849282
ACH-000387,-1.09132209861
ACH-000389,-0.357886566529
ACH-000390,-0.824350387367
ACH-000393,-0.393869648709
ACH-000395,-1.07922845427
ACH-000397,-0.56928955415
ACH-000401,-0.536065619851
ACH-000402,-0.72158645346
ACH-000403,-1.0158965597399998
ACH-000404,-1.28156785491
ACH-000406,-0.6084584292199999
ACH-000407,-0.350774887887
ACH-000408,-0.66003086507
ACH-000410,-1.27650820067
ACH-000411,-0.610757984836
ACH-000414,-0.895805706783
ACH-000415,-0.456605472887
ACH-000416,-0.72141376735
ACH-000420,-0.607470145826
ACH-000421,-0.35229078787699997
ACH-000424,-0.8545604455050001
ACH-000425,-1.1203442638799999
ACH-000426,-1.16544242087
ACH-000427,-0.305083182472
ACH-000433,-0.807816626384
ACH-000436,-0.595674237777
ACH-000444,-0.44317562353699996
ACH-000445,-0.6929787689129999
ACH-000448,-0.965149445519
ACH-000450,-0.770848102868
ACH-000452,-0.473058843778
ACH-000454,-0.332611911559
ACH-000458,-0.27483945768199997
ACH-000459,-0.550938169969
ACH-000460,-1.14652389569
ACH-000461,-0.246752389771
ACH-000463,-0.7697914962190001
ACH-000464,-0.77362584764
ACH-000466,-0.708893219006
ACH-000467,-1.0978757376600001
ACH-000468,-1.04191169912
ACH-000469,-0.604356367062
ACH-000470,-0.5888232600859999
ACH-000471,-0.344934062426
ACH-000472,-0.752771607034
ACH-000473,-1.1351660131499999
ACH-000475,-0.615833210773
ACH-000476,-0.34290163988300004
ACH-000477,-0.5932613164
ACH-000480,-0.842656492538
ACH-000481,-0.826124244055
ACH-000483,-1.0369363949400001
ACH-000484,-0.952864399691
ACH-000485,-1.09623662734
ACH-000486,-0.591569232241
ACH-000487,-0.961146833742
ACH-000488,-0.761391057321
ACH-000490,-0.968044588571
ACH-000491,-0.405742934411
ACH-000495,-1.01026637157
ACH-000496,-0.754701671171
ACH-000499,-0.7724923029269999
ACH-000500,-0.905917586627
ACH-000502,-0.374592228705
ACH-000503,-1.11452054829
ACH-000505,-0.45839470841799995
ACH-000507,-0.360006113562
ACH-000510,-0.848984527866
ACH-000511,-0.777266396693
ACH-000512,-0.36376120641099996
ACH-000516,-1.6265762153799999
ACH-000517,-0.924271050594
ACH-000518,-0.45437081390699996
ACH-000520,-0.7352247398199999
ACH-000521,-0.876985330241
ACH-000522,-1.25433527526
ACH-000524,-1.2484147392899998
ACH-000527,-1.4471750971700001
ACH-000528,-0.535794519878
ACH-000537,-0.676265950281
ACH-000541,-1.06280043051
ACH-000542,-0.6704347110100001
ACH-000544,-0.9876270615899999
ACH-000545,-0.633105132042
ACH-000547,-1.12873464532
ACH-000548,-0.693615694188
ACH-000549,-0.85465833555
ACH-000550,-0.856022992824
ACH-000552,-0.713777665987
ACH-000556,-1.25423805454
ACH-000557,-0.32698472633000003
ACH-000570,-1.00069303828
ACH-000571,-0.805558743489
ACH-000573,-1.12610407154
ACH-000576,-0.933935448732
ACH-000580,-0.8984419873549999
ACH-000584,-0.502035205736
ACH-000585,-0.7458925865889999
ACH-000588,-0.778167706098
ACH-000589,-0.7806442360439999
ACH-000591,-1.08468976403
ACH-000593,-0.820071350763
ACH-000600,-0.9635391996960001
ACH-000601,-0.867595117976
ACH-000604,-0.8554096105169999
ACH-000605,-0.427846862557
ACH-000606,-0.534498540826
ACH-000608,-1.06763492879
ACH-000614,-0.809905581455
ACH-000616,-0.76786358566
ACH-000618,-0.39189083744099995
ACH-000619,-0.9927460517610001
ACH-000620,-1.0472786786900001
