,TWISTNB (221830)
ACH-000004,-1.1789780621400001
ACH-000007,-1.09165785887
ACH-000009,-0.9637137257539999
ACH-000011,-1.10773211052
ACH-000012,-1.03447670894
ACH-000013,-1.1104441977700001
ACH-000014,-0.641850759632
ACH-000015,-0.887359640011
ACH-000017,-0.985493501781
ACH-000018,-0.7421412703560001
ACH-000019,-1.22143791066
ACH-000021,-0.940165503769
ACH-000022,-1.18416767908
ACH-000025,-1.0360224386399999
ACH-000028,-1.03855715942
ACH-000030,-0.8109877457410001
ACH-000035,-0.762649176754
ACH-000036,-1.0939405272
ACH-000037,-1.12294995036
ACH-000039,-1.0627366102200002
ACH-000040,-1.02805060561
ACH-000041,-1.2784493344399999
ACH-000042,-0.9888751822930001
ACH-000045,-1.1827531585
ACH-000047,-0.7970612662109999
ACH-000052,-0.8080015551199999
ACH-000053,-1.35964582384
ACH-000054,-0.9995431670739999
ACH-000055,-1.4170620829299998
ACH-000060,-1.0506150906799998
ACH-000067,-1.00659413378
ACH-000070,-1.14818183032
ACH-000075,-0.871431420925
ACH-000078,-1.20349825998
ACH-000082,-1.2181714996
ACH-000085,-1.0971210138
ACH-000086,-1.02580685847
ACH-000087,-0.902064273021
ACH-000092,-1.09169625768
ACH-000095,-1.15739154481
ACH-000097,-1.02574838541
ACH-000098,-0.863672448106
ACH-000099,-1.1113611792799998
ACH-000108,-1.25469010832
ACH-000113,-1.25546178639
ACH-000115,-0.9906778475779999
ACH-000116,-1.3090790747499998
ACH-000118,-1.03160050891
ACH-000120,-1.1683645739
ACH-000123,-1.2606830774
ACH-000127,-1.0446765340100002
ACH-000128,-1.30257367137
ACH-000132,-1.18046203582
ACH-000133,-1.1610420430700001
ACH-000137,-0.8020109209110001
ACH-000138,-1.17959698198
ACH-000142,-0.9670648609460001
ACH-000143,-1.0699849265299999
ACH-000146,-1.17492174368
ACH-000148,-1.19588780544
ACH-000150,-0.8339353947920001
ACH-000152,-1.10668622827
ACH-000153,-1.58503065489
ACH-000159,-1.08652307589
ACH-000160,-0.7089220590549999
ACH-000163,-1.31177496328
ACH-000167,-1.55707953472
ACH-000168,-0.9446195114679999
ACH-000169,-1.0493130181
ACH-000178,-1.10981229769
ACH-000182,-1.0152968510200002
ACH-000183,-0.7109117091670001
ACH-000188,-0.802918645512
ACH-000189,-1.4362260616
ACH-000190,-1.38299549463
ACH-000198,-1.23536353169
ACH-000204,-0.740062674598
ACH-000206,-1.24119920708
ACH-000207,-0.9311586079999999
ACH-000211,-0.932563780436
ACH-000215,-0.8332188157770001
ACH-000221,-0.982587438866
ACH-000222,-1.23678447137
ACH-000223,-1.18034372483
ACH-000226,-1.11465827822
ACH-000227,-1.0255074525799999
ACH-000228,-1.16671516659
ACH-000231,-1.13960184745
ACH-000232,-1.15934509033
ACH-000233,-1.17090759734
ACH-000234,-1.3581007878600002
ACH-000235,-1.1311348076
ACH-000237,-1.26987691505
ACH-000238,-1.27193215292
ACH-000243,-0.853292471513
ACH-000244,-0.679525616063
ACH-000246,-1.3261442691299998
ACH-000248,-0.951785424654
ACH-000250,-0.940058701291
ACH-000251,-0.515659392649
ACH-000253,-1.19755161174
ACH-000255,-1.09060546123
ACH-000256,-1.02669262685
ACH-000257,-0.9205702402949999
ACH-000258,-1.11260510448
ACH-000259,-1.0113364338500002
ACH-000260,-0.930414302789
ACH-000261,-0.828972918383
ACH-000262,-1.23707126593
ACH-000263,-0.6855005976340001
ACH-000264,-0.910857067303
ACH-000265,-1.12654644364
ACH-000266,-1.1723974294700001
ACH-000272,-0.7733412782610001
ACH-000273,-1.05135372676
ACH-000274,-0.8670181934129999
ACH-000277,-0.946947743627
ACH-000278,-1.17698456373
ACH-000279,-0.7887214001880001
ACH-000280,-1.06726385813
ACH-000281,-1.11527865226
ACH-000288,-0.83954382515
ACH-000291,-1.358218811
ACH-000293,-1.0836918124700001
ACH-000294,-1.01034612079
ACH-000295,-0.72048796581
ACH-000296,-1.13794515199
