,BPTF (2186)
ACH-000004,-0.28527201725
ACH-000007,-0.461077578103
ACH-000009,-0.6553143256889999
ACH-000011,-0.443126869771
ACH-000012,-0.36731654429099997
ACH-000013,-0.224005973787
ACH-000014,-0.080053804736
ACH-000015,-0.458484036576
ACH-000017,-0.694765174572
ACH-000018,-0.470197918101
ACH-000019,-0.740343427559
ACH-000021,-0.422948299494
ACH-000022,-0.0932861293269
ACH-000025,-0.313063789972
ACH-000028,-0.521998661203
ACH-000030,-0.37476380105400003
ACH-000035,-0.6991699790260001
ACH-000036,-0.441427586498
ACH-000037,-0.779223241183
ACH-000039,-0.600486416153
ACH-000040,-0.5264413248309999
ACH-000041,-0.260311076824
ACH-000042,-0.343315114802
ACH-000045,-0.7101359418080001
ACH-000047,-0.366069613776
ACH-000052,-0.33115097392799997
ACH-000053,-0.49018700930799997
ACH-000054,-0.448383539675
ACH-000055,-0.310732137085
ACH-000060,-0.5710454391390001
ACH-000067,-0.639812365929
ACH-000070,-0.43789265126000004
ACH-000075,-0.556213764202
ACH-000078,-0.321739756794
ACH-000082,-0.565730474497
ACH-000085,-0.127708679413
ACH-000086,-0.645964783521
ACH-000087,-0.570606011347
ACH-000092,-0.22855673522300002
ACH-000095,-0.34640109330799995
ACH-000097,-0.6441964488499999
ACH-000098,-0.741009850533
ACH-000099,-0.30987844912900003
ACH-000108,-0.447770076998
ACH-000113,-0.40932246341899997
ACH-000115,-0.7651152564020001
ACH-000116,-0.496131689265
ACH-000118,-0.5046641281149999
ACH-000120,-0.488812613683
ACH-000123,-0.763722415996
ACH-000127,-0.120757453771
ACH-000128,-0.347754046062
ACH-000132,-0.574119039399
ACH-000133,0.09113936385560001
ACH-000137,-0.500301841449
ACH-000138,-0.382396178261
ACH-000142,-0.21953583054499998
ACH-000143,-0.5412634023399999
ACH-000146,-0.5108263313920001
ACH-000148,-0.7036926883600001
ACH-000150,-1.0165646324700002
ACH-000152,-0.404746792847
ACH-000153,0.0578699496952
ACH-000159,-0.42017039378300003
ACH-000160,0.161326328283
ACH-000163,-0.8018241223929999
ACH-000167,0.164520269271
ACH-000168,-0.536604287433
ACH-000169,-0.250199017739
ACH-000178,-0.497413544327
ACH-000182,-0.22162973130600003
ACH-000183,-0.529805873018
ACH-000188,-0.574168315064
ACH-000189,-0.10966221315199999
ACH-000190,-0.131708985941
ACH-000198,-0.368952236303
ACH-000204,-0.429969535803
ACH-000206,-0.623593955554
ACH-000207,-0.8507524743170001
ACH-000211,-0.517830307375
ACH-000215,-0.345463274294
ACH-000221,-0.584026036824
ACH-000222,-0.488816929503
ACH-000223,-0.0654000129349
ACH-000226,-0.255414319322
ACH-000227,-0.7604873845300001
ACH-000228,-0.43494622428199997
ACH-000231,-0.234751256817
ACH-000232,-0.32004109212299997
ACH-000233,-0.268032223719
ACH-000234,-0.139779216725
ACH-000235,-0.41921632060999997
ACH-000237,-0.480249289261
ACH-000238,-0.44394615843400004
ACH-000243,-0.433002047963
ACH-000244,0.165746091786
ACH-000246,0.00388523691179
ACH-000248,-0.640940369291
ACH-000250,-0.196323220316
ACH-000251,-0.615340050252
ACH-000253,-0.317737645764
ACH-000255,-0.7309419958840001
ACH-000256,-0.582703264067
ACH-000257,-0.586089309245
ACH-000258,-0.592122131262
ACH-000259,-0.331601268403
ACH-000260,-0.0481918778155
ACH-000261,-0.5490400596289999
ACH-000262,-0.492443890955
ACH-000263,-0.717878487571
ACH-000264,-0.488989126014
ACH-000265,-0.691490951389
ACH-000266,-0.36016316962800005
ACH-000272,-0.4638104086
ACH-000273,-0.5202927366100001
ACH-000274,-0.440318779097
ACH-000277,0.12112735582900001
ACH-000278,-0.135383137496
ACH-000279,-0.550218470483
ACH-000280,-0.0163868532891
ACH-000281,-0.24186828611900002
ACH-000288,-0.123991209408
ACH-000291,-0.26008448102299997
ACH-000293,-0.413939332402
ACH-000294,-0.7472397590559999
ACH-000295,-0.8736972417200001
ACH-000296,-0.36302529361900004
ACH-000302,-0.315695284918
ACH-000304,-0.75326185683
ACH-000307,-0.47147702342200004
ACH-000308,-0.414415731447
ACH-000310,-0.5619529548569999
ACH-000311,-0.715873602738
ACH-000312,-0.49477127698999995
ACH-000315,-0.612439678728
ACH-000316,-0.38392676450900004
ACH-000317,-0.100414185064
ACH-000318,-0.418154109274
ACH-000319,-0.11530687719499999
ACH-000320,-0.45724125783299996
ACH-000322,-0.598743786504
ACH-000323,-0.46327994329800004
ACH-000324,-0.50151780474
ACH-000329,-0.6956817164560001
ACH-000330,-0.445070705744
ACH-000331,-0.473524754083
ACH-000332,-0.254113632205
ACH-000334,-0.977890046614
ACH-000335,-0.38489229729
ACH-000336,-0.107623730946
ACH-000337,-0.764739495089
ACH-000339,-0.16080311362400002
ACH-000341,-0.07652466718289999
ACH-000348,-0.479872671549
ACH-000350,-0.39616684597199997
ACH-000352,-0.25526361921
ACH-000356,-0.321287541015
ACH-000361,-0.46076362420199996
ACH-000362,-0.6729121146529999
ACH-000363,-0.6196590433079999
ACH-000364,-0.597080231911
ACH-000365,-0.668688615879
ACH-000366,-0.496646707482
ACH-000368,-0.380389839854
ACH-000374,-0.435893017461
ACH-000375,-0.129056552125
ACH-000376,-0.350205394485
ACH-000381,-0.34819646413000005
ACH-000383,-0.32022366899599997
ACH-000387,-0.405482084945
ACH-000389,-0.460901656734
ACH-000390,-0.420965039983
ACH-000393,-0.422367533562
ACH-000395,-0.534581914568
ACH-000397,-0.6320217058209999
ACH-000401,-0.611812130257
ACH-000402,-0.535599063338
ACH-000403,-0.333560706134
ACH-000404,-0.48125080667099995
ACH-000406,-0.385243787097
ACH-000407,-0.311374896179
ACH-000408,-0.438019317027
ACH-000410,-0.517478861404
ACH-000411,-0.468216967662
ACH-000414,-0.42853531773000003
ACH-000415,-0.33755626277500006
ACH-000416,-0.461655429946
ACH-000420,-0.484661438292
