,DPCD (25911)
ACH-000004,-0.144947351812
ACH-000007,-0.045484001448300004
ACH-000009,-0.17915030754500003
ACH-000011,0.0258476296071
ACH-000012,-0.0319825999303
ACH-000013,-0.155639064244
ACH-000014,-0.181618606036
ACH-000015,-0.118803576566
ACH-000017,-0.062311672294399996
ACH-000018,-0.18527221087200002
ACH-000019,-0.0758668099961
ACH-000021,-0.0127791164922
ACH-000022,0.07495265602689999
ACH-000025,-0.265691925317
ACH-000028,-0.0687501903328
ACH-000030,-0.0674461781521
ACH-000035,-0.235177698328
ACH-000036,-0.099453764803
ACH-000037,-0.161958750471
ACH-000039,-0.13400899773299998
ACH-000040,-0.244096590361
ACH-000041,-0.209229809386
ACH-000042,-0.0563780408847
ACH-000045,-0.211511152568
ACH-000047,-0.010826084920399999
ACH-000052,-0.142318120308
ACH-000053,-0.0862685990879
ACH-000054,-0.0458146436441
ACH-000055,-0.29302906402600004
ACH-000060,-0.18077596264100002
ACH-000067,-0.220602453919
ACH-000070,-0.316366897724
ACH-000075,0.034961110197300006
ACH-000078,-0.221659305302
ACH-000082,-0.0432858731658
ACH-000085,-0.0743945144895
ACH-000086,-0.125807288852
ACH-000087,0.11870785919099999
ACH-000092,0.0199880573135
ACH-000095,-0.176532855129
ACH-000097,-0.0562236402315
ACH-000098,-0.0943839251176
ACH-000099,-0.07052065004380001
ACH-000108,-0.0028507633935100003
ACH-000113,0.0467938338585
ACH-000115,-0.11807504935999999
ACH-000116,-0.106197650056
ACH-000118,-0.08998252868720001
ACH-000120,-0.06210653658009999
ACH-000123,-0.173696407939
ACH-000127,0.0116939136642
ACH-000128,-0.0480442368951
ACH-000132,-0.156066017473
ACH-000133,-0.0970171563466
ACH-000137,-0.139132966506
ACH-000138,-0.09793077487889999
ACH-000142,-0.160769090425
ACH-000143,-0.15913645856699998
ACH-000146,-0.16233981847200002
ACH-000148,-0.18982278362
ACH-000150,-0.0703217490072
ACH-000152,-0.21398437152199998
ACH-000153,-0.180017753792
ACH-000159,-0.100778099077
ACH-000160,-0.209599594707
ACH-000163,-0.086604001398
ACH-000167,-0.23896703885099999
ACH-000168,-0.196357747742
ACH-000169,-0.16807973557300002
ACH-000178,-0.102740134882
ACH-000182,-0.121931447818
ACH-000183,-0.0860477106903
ACH-000188,-0.14094438716399998
ACH-000189,-0.34818330999799996
ACH-000190,-0.19108981999000002
ACH-000198,-0.18166198176399997
ACH-000204,-0.014782866226299998
ACH-000206,-0.046283033033699995
ACH-000207,-0.0040755873599
ACH-000211,-0.125207566206
ACH-000215,-0.0612059229478
ACH-000221,-0.144280947003
ACH-000222,-0.18506112602299998
ACH-000223,-0.16070703160299998
ACH-000226,-0.259413961988
ACH-000227,0.006939715462560001
ACH-000228,-0.216030891663
ACH-000231,-0.046114469663100004
ACH-000232,-0.0327475658707
ACH-000233,-0.081693770172
ACH-000234,0.0892029440599
ACH-000235,-0.0328105782974
ACH-000237,-0.184360190319
ACH-000238,-0.24094331447700001
ACH-000243,-0.09801783041789999
ACH-000244,-0.11832329434399999
ACH-000246,-0.0265773608557
ACH-000248,-0.187393833318
ACH-000250,-0.140361720929
ACH-000251,-0.161446437835
ACH-000253,-0.14336242991800002
ACH-000255,-0.0996346453247
ACH-000256,-0.176083194447
ACH-000257,0.126793932295
ACH-000258,-0.200222307286
ACH-000259,-0.147663307137
ACH-000260,-0.028697742651599998
ACH-000261,-0.115057943122
ACH-000262,-0.041906166045
ACH-000263,0.011703571195799999
ACH-000264,-0.11529803175
