,UHRF1BP1 (54887)
ACH-000004,-0.33400051788199997
ACH-000007,-0.09922518414760001
ACH-000009,-0.342481458762
ACH-000011,-0.237566382935
ACH-000012,-0.177030268761
ACH-000013,-0.284145601094
ACH-000014,-0.256677688751
ACH-000015,-0.08161523199410001
ACH-000017,-0.323919778664
ACH-000018,-0.379923126922
ACH-000019,-0.137516371898
ACH-000021,-0.10198020986199999
ACH-000022,-0.38045568463
ACH-000025,-0.183361029289
ACH-000028,-0.289956605356
ACH-000030,-0.190772308656
ACH-000035,-0.229659611089
ACH-000036,-0.37486229576700003
ACH-000037,-0.116147145914
ACH-000039,-0.11018001422800001
ACH-000040,-0.248571311168
ACH-000041,-0.118929423598
ACH-000042,-0.140735868545
ACH-000045,-0.0650580111932
ACH-000047,-0.0967754242203
ACH-000052,0.021224575242
ACH-000053,-0.154238572408
ACH-000054,-0.185903782746
ACH-000055,-0.243987235449
ACH-000060,-0.373989995803
ACH-000067,-0.133543807185
ACH-000070,-0.068410286056
ACH-000075,-0.246298874674
ACH-000078,-0.324658555485
ACH-000082,-0.19599676374699998
ACH-000085,-0.062783624291
ACH-000086,-0.22897916949000002
ACH-000087,-0.647718049244
ACH-000092,-0.122017246553
ACH-000095,-0.28090736563900004
ACH-000097,-0.159351017541
ACH-000098,-0.14735800588099998
ACH-000099,-0.287106553258
ACH-000108,-0.12684175965999997
ACH-000113,-0.06808561214639999
ACH-000115,-0.48611587830700004
ACH-000116,-0.32749896277
ACH-000118,-0.18036287224
ACH-000120,-0.258294561418
ACH-000123,-0.256015300172
ACH-000127,-0.19301071624299998
ACH-000128,-0.164455133152
ACH-000132,-0.273421571097
ACH-000133,-0.113640227839
ACH-000137,-0.10608180687
ACH-000138,-0.22688004865800002
ACH-000142,-0.365119532043
ACH-000143,-0.377601375253
ACH-000146,-0.332665226245
ACH-000148,-0.0569095897605
ACH-000150,-0.090960549455
ACH-000152,-0.326480162885
ACH-000153,-0.36937532517300004
ACH-000159,-0.23571502120700003
ACH-000160,-0.28311582881299996
ACH-000163,-0.00466723198651
ACH-000167,-0.350977287865
ACH-000168,-0.053918595750699995
ACH-000169,-0.15451495527999998
ACH-000178,-0.244105924687
ACH-000182,-0.243897445312
ACH-000183,-0.356942749269
ACH-000188,-0.20227660974599998
ACH-000189,-0.149227140821
ACH-000190,-0.233674939818
ACH-000198,-0.259577794078
ACH-000204,-0.125074783476
ACH-000206,-0.166481313927
ACH-000207,-0.57963128336
ACH-000211,-0.279803518192
ACH-000215,-0.137903538219
ACH-000221,-0.13709594961899998
ACH-000222,-0.206526566756
ACH-000223,-0.265616053838
ACH-000226,-0.0323014360209
ACH-000227,-0.394245529842
ACH-000228,-0.134401022639
ACH-000231,-0.386559269511
ACH-000232,-0.21354523521
ACH-000233,0.0221402505568
ACH-000234,0.11376753189099999
ACH-000235,-0.17748913632
ACH-000237,-0.127586912373
ACH-000238,-0.19751911689100002
ACH-000243,-0.12848206780899998
ACH-000244,0.038282113664699996
ACH-000246,-0.30626928911400003
ACH-000248,-0.31027946128899997
ACH-000250,-0.13978989884600002
ACH-000251,0.09036378639739999
ACH-000253,-0.19381317207600002
ACH-000255,-0.236233857194
ACH-000256,-0.19560587427499998
ACH-000257,-0.048781072610999995
ACH-000258,-0.186447329995
ACH-000259,-0.0324271281844
ACH-000260,-0.241379534252
ACH-000261,-0.32027019864100004
ACH-000262,-0.27368918323
ACH-000263,-0.377217157492
ACH-000264,-0.121962474343
