,BRI3BP (140707)
ACH-000004,-0.0283356652881
ACH-000007,-0.155857485716
ACH-000009,-0.0513195522985
ACH-000011,-0.128638511825
ACH-000012,-0.09112671355689998
ACH-000013,-0.109686228397
ACH-000014,-0.0049969542366000005
ACH-000015,-0.0200606603636
ACH-000017,-0.0111669308306
ACH-000018,0.0118502863478
ACH-000019,0.118360529661
ACH-000021,-0.259964489817
ACH-000022,0.0404125965023
ACH-000025,0.0251348595169
ACH-000028,0.08601849304169999
ACH-000030,-0.0261904920001
ACH-000035,-0.038531131197199996
ACH-000036,-0.0409954605549
ACH-000037,-0.29507314595899997
ACH-000039,-0.0171510138283
ACH-000040,-0.20502733182799998
ACH-000041,-0.129290090265
ACH-000042,-0.0256964319355
ACH-000045,0.0163659447467
ACH-000047,-0.0598093804143
ACH-000052,-0.163875572106
ACH-000053,-0.0890528728631
ACH-000054,-0.202321681426
ACH-000055,-0.0327694626128
ACH-000060,0.0810116354121
ACH-000067,-0.21791363828699997
ACH-000070,-0.007946663753639999
ACH-000075,-0.0254276133722
ACH-000078,-0.0886480756413
ACH-000082,0.00711851483273
ACH-000085,-0.00311296595088
ACH-000086,0.0728753227305
ACH-000087,-0.35420335733999997
ACH-000092,-0.0943124379114
ACH-000095,-0.0645615251967
ACH-000097,-0.059871147173199996
ACH-000098,-0.0855322643655
ACH-000099,-0.0620316246154
ACH-000108,-0.205936489738
ACH-000113,0.057822555843
ACH-000115,-0.142204930206
ACH-000116,-0.000759103870846
ACH-000118,-0.251493615665
ACH-000120,-0.0607787050011
ACH-000123,-0.07746981838389999
ACH-000127,0.125819748365
ACH-000128,-0.040590229487199994
ACH-000132,-0.119071376218
ACH-000133,-0.033515903824400006
ACH-000137,0.054964092581599996
ACH-000138,-0.08990363764329999
ACH-000142,0.00304176852701
ACH-000143,0.175294565216
ACH-000146,-0.0794021721778
ACH-000148,-0.149105701599
ACH-000150,-0.0612393959766
ACH-000152,-0.197434133002
ACH-000153,0.183613950906
ACH-000159,-0.0278079685807
ACH-000160,0.0752624723579
ACH-000163,-0.0764910749263
ACH-000167,-0.0348494638702
ACH-000168,0.0473790634169
ACH-000169,0.016258298116399998
ACH-000178,-0.101416928278
ACH-000182,-0.042428310932599994
ACH-000183,-0.239007240737
ACH-000188,-0.11523191831499999
ACH-000189,0.18689308093899998
ACH-000190,-0.0215920341585
ACH-000198,-0.15431064115499998
ACH-000204,0.18506432691100003
ACH-000206,-0.13042929366800002
ACH-000207,0.10289987496400001
ACH-000211,-0.0617083978531
ACH-000215,-0.0349596723256
ACH-000221,-0.013435399073299999
ACH-000222,-0.135044861219
ACH-000223,-0.09386067531980001
ACH-000226,-0.0985904364006
ACH-000227,-0.357390134977
ACH-000228,0.109135634449
ACH-000231,-0.08480417270099999
ACH-000232,0.0466146736
ACH-000233,-0.11187503521600001
ACH-000234,-0.263988196055
ACH-000235,-0.0954479574746
ACH-000237,-0.050608032442500006
ACH-000238,-0.108411144869
ACH-000243,-0.0828068917764
ACH-000244,-0.0323845429972
ACH-000246,0.0467985446185
ACH-000248,-0.0114506997402
ACH-000250,-0.0108350203615
ACH-000251,-0.414824665717
ACH-000253,0.0133709643383
ACH-000255,0.09876198940030001
ACH-000256,-0.100492458882
ACH-000257,0.08611921116389999
ACH-000258,0.141443871331
ACH-000259,9.28743579483e-05
ACH-000260,-0.143946131678
ACH-000261,0.00429908639301
ACH-000262,0.0450937104038
ACH-000263,0.047198083823300006
ACH-000264,0.0442515890554
ACH-000265,-0.00301010518569
ACH-000266,-0.0882562312789
ACH-000272,-0.00154174485617
ACH-000273,-0.0014743405308900001
ACH-000274,0.04296141887799999
ACH-000277,-0.08464553768300001
ACH-000278,-0.34978432867200004
ACH-000279,-0.0072592023015
ACH-000280,-0.110338736973
ACH-000281,-0.138887736756
ACH-000288,-0.09797711802449999
ACH-000291,0.050994768939800005
ACH-000293,0.20417197527800002
ACH-000294,-0.116752568377
ACH-000295,0.056453281936699996
ACH-000296,-0.0155292474345
ACH-000302,-0.163711936597
ACH-000304,-0.09588775352989999
ACH-000307,-0.0808772328475
ACH-000308,-0.0620294927761
ACH-000310,0.0185299293963
ACH-000311,-0.039922984575300004
ACH-000312,-0.125671313552
ACH-000315,-0.09571503784710002
ACH-000316,-0.23668415618500002
ACH-000317,0.053326363244
ACH-000318,0.067119054844
ACH-000319,0.09224341459839999
ACH-000320,-0.276268354323
ACH-000322,-0.124193553715
ACH-000323,-0.0840622765257
ACH-000324,-0.072809331098
ACH-000329,-0.180162698443
ACH-000330,0.221088816647
ACH-000331,-0.11248133568299999
ACH-000332,-0.200847917128
ACH-000334,-0.0983092483952
ACH-000335,-0.0476754046678
ACH-000336,-0.214129189726
ACH-000337,0.041126236405300005
ACH-000339,-0.0116245467083
ACH-000341,-0.0566534976952
ACH-000348,-0.34424851588699995
ACH-000350,0.0476883201578
ACH-000352,-0.18248751923700002
ACH-000356,-0.272193910401
ACH-000361,-0.131084387049
ACH-000362,0.019831767807099998
ACH-000363,0.10813663349199999
ACH-000364,-0.143997630031
ACH-000365,-0.09247227830330002
ACH-000366,-0.108360288804
ACH-000368,0.04998204671630001
ACH-000374,-0.0752449026118
ACH-000375,-0.31734797181999996
ACH-000376,0.0812321582058
ACH-000381,-0.246111835711
ACH-000383,-0.0703160091842
ACH-000387,0.0351154672944
ACH-000389,-0.0236733605203
ACH-000390,-0.0107361174226
ACH-000393,-0.0255141823512
ACH-000395,0.111937704204
ACH-000397,0.0116463814626
ACH-000401,-0.1505167668
ACH-000402,0.054187143020599994
ACH-000403,-0.111679508331
ACH-000404,0.284069006084
ACH-000406,-0.08720710891780001
ACH-000407,0.07124238429560001
ACH-000408,-0.10697293300499999
ACH-000410,-0.0957747679782
ACH-000411,-0.046225332241699994
ACH-000414,-0.18838763269
ACH-000415,0.164863861836
ACH-000416,0.07498234326969999
ACH-000420,-0.138349273823
ACH-000421,-0.102286242114
ACH-000424,0.038415744018099995
ACH-000425,-0.0383345114201
ACH-000426,0.0830192928952
