,DARS2 (55157)
ACH-000004,-0.228751180066
ACH-000007,-0.18535178444699998
ACH-000009,-0.686638439603
ACH-000011,-0.042691828651400004
ACH-000012,-0.521354023316
ACH-000013,-0.41643544954499995
ACH-000014,-0.402316718008
ACH-000015,-0.49688867438100004
ACH-000017,-0.271802624274
ACH-000018,-0.46304029362899995
ACH-000019,-0.633884565301
ACH-000021,-0.5192898927699999
ACH-000022,-0.20300945754
ACH-000025,-0.644614542487
ACH-000028,-0.52439732022
ACH-000030,-0.659013630955
ACH-000035,-0.517928270161
ACH-000036,0.011337797849399998
ACH-000037,-0.585855400433
ACH-000039,-0.38186662886399997
ACH-000040,-0.19812107127300002
ACH-000041,-0.27526412008
ACH-000042,-0.263790317665
ACH-000045,-1.0229859507899999
ACH-000047,-0.6534464468869999
ACH-000052,-0.23096234894099998
ACH-000053,-0.620847561842
ACH-000054,0.0219836330798
ACH-000055,-0.37122711121699997
ACH-000060,-0.220226856797
ACH-000067,-0.14771872025399999
ACH-000070,-0.680252642971
ACH-000075,-0.38042288624
ACH-000078,-0.183572514338
ACH-000082,-0.313366673894
ACH-000085,0.025015816064
ACH-000086,-0.7289411379140001
ACH-000087,-0.47530984611
ACH-000092,-0.337801866332
ACH-000095,-0.128794958651
ACH-000097,-0.180181864754
ACH-000098,-0.43237455976499994
ACH-000099,-0.556031654918
ACH-000108,-0.232891258124
ACH-000113,-0.551691497049
ACH-000115,-0.459985234138
ACH-000116,-0.34291621973499997
ACH-000118,-0.7254449829170001
ACH-000120,-0.349556386877
ACH-000123,-0.621733255136
ACH-000127,-0.641172193789
ACH-000128,-0.414479230531
ACH-000132,-0.31134003451
ACH-000133,-0.495595750336
ACH-000137,-0.286649959224
ACH-000138,-0.487986821483
ACH-000142,-0.203500225986
ACH-000143,-0.455748862417
ACH-000146,-0.320673778171
ACH-000148,-0.5465438366100001
ACH-000150,-0.440346569759
ACH-000152,-0.38851943981799997
ACH-000153,-0.913430977984
ACH-000159,-0.538970612087
ACH-000160,-0.44193451520599997
ACH-000163,-0.467495888859
ACH-000167,-0.369135719019
ACH-000168,0.0518475596461
ACH-000169,-0.28322963017700004
ACH-000178,-0.37344610423299995
ACH-000182,-0.558411863277
ACH-000183,-0.6027046992639999
ACH-000188,-0.23050961237
ACH-000189,-0.559403735893
ACH-000190,-0.630564903016
ACH-000198,-0.61221494894
ACH-000204,-0.703498205124
ACH-000206,-0.37533595129299996
ACH-000207,-0.678051405468
ACH-000211,-0.30323467403099996
ACH-000215,-0.457739132227
ACH-000221,-0.94486752286
ACH-000222,-0.051114865080900004
ACH-000223,-0.31985642795200003
ACH-000226,-0.38826893612499996
ACH-000227,-0.337313475817
ACH-000228,-0.27818255176999995
ACH-000231,-0.18786611082899998
ACH-000232,-0.5998278322
ACH-000233,-0.496052694763
ACH-000234,-0.318356055794
ACH-000235,-0.26820569406
ACH-000237,-0.218122528127
ACH-000238,-0.44101419618999993
ACH-000243,-0.310306775566
ACH-000244,-0.178931319209
ACH-000246,-0.623303093619
ACH-000248,-0.55362110518
ACH-000250,-0.137566895923
ACH-000251,-0.444118255827
ACH-000253,-0.126186452669
ACH-000255,-0.137941553536
ACH-000256,-0.106530184753
ACH-000257,-0.31922006909
ACH-000258,-0.837437423215
ACH-000259,-0.34712004307800004
ACH-000260,-0.11407714539899999
ACH-000261,-0.230290114078
ACH-000262,-0.41100967942
ACH-000263,-0.250061504085
ACH-000264,-0.403987393919
ACH-000265,-0.7795840566490001
ACH-000266,-0.272824439947
ACH-000272,-0.452680078588
ACH-000273,-0.467894524265
ACH-000274,-0.30044693396
ACH-000277,-0.342982101137
