,ALDH3A1 (218)
ACH-000454,-0.261415863963
ACH-000458,-0.105733863641
ACH-000459,-0.117638842865
ACH-000460,-0.141978530887
ACH-000461,0.0583912226985
ACH-000463,-0.254336231604
ACH-000464,-0.316600397262
ACH-000466,-0.0569898322081
ACH-000467,0.0244423659093
ACH-000468,-0.20675075477899998
ACH-000469,-0.156739747078
ACH-000470,-0.139431251244
ACH-000471,-0.0725493305646
ACH-000472,-0.06943935756410001
ACH-000473,-0.16900145014899998
ACH-000475,-0.101408322931
ACH-000476,-0.12436101386600001
ACH-000477,0.501731806767
ACH-000480,0.00010686413237899999
ACH-000481,-0.286102137425
ACH-000483,-0.302177152446
ACH-000484,0.181541523342
ACH-000485,0.019737392917500002
ACH-000486,-0.110452234923
ACH-000487,-0.083197390199
ACH-000488,-0.0547495081961
ACH-000490,-0.0257488319281
ACH-000491,-0.159747844738
ACH-000495,0.380516775506
ACH-000496,-0.207132066841
ACH-000499,-0.20189036804000002
ACH-000500,-0.086651992885
ACH-000502,-0.0688185155257
ACH-000503,0.091164717446
ACH-000505,-0.08208603305989999
ACH-000507,-0.030505341605700002
ACH-000510,-0.260922970543
ACH-000511,-0.113625926589
ACH-000512,0.060422218143300004
ACH-000516,-0.006518198664109999
ACH-000517,-0.0770777662572
ACH-000518,-0.24050648631700003
ACH-000520,-0.0668160029372
ACH-000521,-0.11634044445800001
ACH-000522,0.0327106079688
ACH-000524,-0.30963500395599997
ACH-000527,-0.153256132008
ACH-000528,-0.18665821694899998
ACH-000537,0.0186320577662
ACH-000541,-0.130535276746
ACH-000542,-0.07640627546180001
ACH-000544,-0.026019073364
ACH-000545,-0.07319652845380001
ACH-000547,-0.0518033318956
ACH-000548,-0.0394475231812
ACH-000549,-0.269331813594
ACH-000550,-0.24634017760899998
ACH-000552,0.00209233091195
ACH-000556,-0.25125452667
ACH-000557,0.217595951651
ACH-000570,-0.17341662045200001
ACH-000571,-0.178149482201
ACH-000573,-0.00308112998123
ACH-000576,-0.264377224348
ACH-000580,-0.0616159178486
ACH-000584,-0.223623502065
ACH-000585,-0.214743273228
ACH-000588,-0.321824366476
ACH-000589,-0.147694681232
ACH-000591,-0.0794955798008
ACH-000593,-0.135419933633
ACH-000600,0.100986557443
ACH-000601,-0.04583807035069999
ACH-000604,-0.0927412834393
ACH-000605,-0.0636763994309
ACH-000606,-0.17967955245099998
ACH-000608,-0.09689267907600001
ACH-000614,0.0720865925217
ACH-000616,-0.154735517763
ACH-000618,-0.06200126036169999
ACH-000619,-0.13278016194199999
ACH-000620,-0.149723651596
ACH-000621,-0.226343677768
ACH-000622,-0.0956154023275
ACH-000623,-0.375252205377
ACH-000624,-0.201845606524
ACH-000627,-0.16804458091
ACH-000630,-0.163619144961
ACH-000632,-0.10024246624500001
ACH-000633,-0.240126425645
ACH-000637,-0.0185896286199
ACH-000638,-0.198873971636
ACH-000646,-0.000933041903966
ACH-000647,-0.0580017753737
ACH-000648,-0.0830454403224
ACH-000649,-0.00849496471564
ACH-000651,-0.1802537052
ACH-000652,-0.250301211007
ACH-000653,-0.07252259875910001
ACH-000657,-0.10092333120899999
ACH-000658,0.077938455413
ACH-000661,0.0300085936247
ACH-000662,-0.0384231370815
ACH-000663,0.115170571346
ACH-000665,-0.16205081273
ACH-000671,-0.040544421573099995
ACH-000673,-0.10184124697000001
ACH-000676,0.027744032523
ACH-000677,-0.160161505146
ACH-000681,-0.15506366747199998
ACH-000682,-0.136694222676
ACH-000683,-0.16941075805199998
ACH-000684,0.23782958914299998
ACH-000688,-0.278413204886
ACH-000693,-0.245401441814
ACH-000694,-0.0798903464965
ACH-000695,-0.23237606964699997
ACH-000696,-0.0463651372169
ACH-000697,-0.26789613114300004
ACH-000699,0.10864613874199999
ACH-000701,-0.0102324356459
ACH-000706,-0.124449173281
ACH-000711,-0.174892217141
ACH-000713,-0.488180260918
ACH-000714,-0.20996540479000003
ACH-000718,0.0301261335335
ACH-000720,-0.191240526419
ACH-000721,-0.232302953768
ACH-000724,-0.0229250442405
ACH-000725,0.305672842168
ACH-000732,-0.191739652512
ACH-000734,0.0527319214351
ACH-000735,-0.155705073452
ACH-000736,-0.13621980757899999
ACH-000738,-0.14437419928300002
ACH-000746,-0.041616953809000004
ACH-000747,-0.101639642305
ACH-000748,-0.0486595494018
ACH-000753,-0.16811470800900002
ACH-000756,-0.123106934738
ACH-000757,-0.140313269093
