,LEO1 (123169)
ACH-000004,-0.521452444465
ACH-000007,-0.5449050430100001
ACH-000009,-0.415111942442
ACH-000011,-0.35340334251500005
ACH-000012,-0.647179599931
ACH-000013,-0.199171348917
ACH-000014,-0.432823737715
ACH-000015,-0.407869355938
ACH-000017,-0.327976721272
ACH-000018,-0.371031858553
ACH-000019,-0.159510080677
ACH-000021,-0.09165253598110001
ACH-000022,0.054281614130300006
ACH-000025,-0.47764196849299995
ACH-000028,-0.0594657079851
ACH-000030,-0.213335674998
ACH-000035,-0.381117895318
ACH-000036,-0.303594010484
ACH-000037,-0.174880407376
ACH-000039,-0.35124228099200006
ACH-000040,-0.260403618592
ACH-000041,-0.242845957626
ACH-000042,-0.235638435971
ACH-000045,-0.6191254911649999
ACH-000047,-0.32644062373300003
ACH-000052,-0.402709478925
ACH-000053,-0.290068409058
ACH-000054,-0.119603574188
ACH-000055,-0.276948763159
ACH-000060,-0.406572735247
ACH-000067,-0.35691985852700003
ACH-000070,-0.33738888066
ACH-000075,-0.421998705052
ACH-000078,-0.0539191532477
ACH-000082,-0.139150638853
ACH-000085,-0.0922426282701
ACH-000086,-0.1912220807
ACH-000087,0.0554885756106
ACH-000092,-0.45618052884599997
ACH-000095,-0.20771229088799997
ACH-000097,-0.295000870929
ACH-000098,-0.150618076708
ACH-000099,-0.35591011726099997
ACH-000108,-0.419005487749
ACH-000113,-0.422037456258
ACH-000115,-0.297087429266
ACH-000116,-0.40296925154700003
ACH-000118,-0.606282683987
ACH-000120,-0.469394420414
ACH-000123,-0.5506903199800001
ACH-000127,-0.10355039600600001
ACH-000128,-0.36772562252499996
ACH-000132,-0.589659289778
ACH-000133,-0.22760180234299998
ACH-000137,-0.49238692373000004
ACH-000138,-0.331141115492
ACH-000142,-0.265574552777
ACH-000143,-0.474010986446
ACH-000146,-0.270110807508
ACH-000148,-0.40856529965000005
ACH-000150,-0.252791116715
ACH-000152,-0.384271093231
ACH-000153,-0.555789523086
ACH-000159,-0.445152431853
ACH-000160,0.0333053499823
ACH-000163,0.015298607373799998
ACH-000167,0.265852074835
ACH-000168,-0.794121435405
ACH-000169,-0.0993449930576
ACH-000178,-0.44533397627099996
ACH-000182,-0.217539678627
ACH-000183,-0.381496059714
ACH-000188,-0.270938669441
ACH-000189,-0.30273677147
ACH-000190,-0.0670289325122
ACH-000198,-0.442629832175
ACH-000204,-0.540070086183
ACH-000206,-0.35805051768299995
ACH-000207,-0.7336195966
ACH-000211,-0.317637782685
ACH-000215,-0.150161750509
ACH-000221,-0.0404337866205
ACH-000222,-0.4486854047
ACH-000223,-0.40934696237199997
ACH-000226,-0.48051780177000003
ACH-000227,-0.17937132202
ACH-000228,-0.44195423401600004
ACH-000231,-0.332541947185
ACH-000232,-0.209097280064
ACH-000233,-0.32670096061500004
ACH-000234,-0.310267886813
ACH-000235,-0.479031350506
ACH-000237,-0.699877628818
ACH-000238,-0.37865621644
ACH-000243,-0.462112093309
ACH-000244,-0.421273234708
ACH-000246,-0.510124899456
ACH-000248,-0.478188567586
ACH-000250,-0.307080514103
ACH-000251,-0.574066236285
ACH-000253,-0.206309027625
ACH-000255,-0.410069780833
ACH-000256,-0.121371329465
ACH-000257,-0.6867236316680001
ACH-000258,-0.681766634875
ACH-000259,-0.44927543977
ACH-000260,-0.18976377868
ACH-000261,-0.5469919508910001
ACH-000262,-0.458927991613
ACH-000263,-0.188716494532
ACH-000264,-0.35437682518299995
ACH-000265,-0.650018942798
ACH-000266,-0.43383612435099994
ACH-000272,-0.65288390594
ACH-000273,-0.172731636058
ACH-000274,-0.220445610793
ACH-000277,-0.321652548394
ACH-000278,-0.214224349634
ACH-000279,-0.725418345243
ACH-000280,-0.13155020579399998
ACH-000281,-0.0823105798969
ACH-000288,-0.365051548876
ACH-000291,-0.091246315987
ACH-000293,-0.154173503069
ACH-000294,-0.568668640323
ACH-000295,-0.314535266336
ACH-000296,-0.36791443300899995
ACH-000302,-0.054579859626599996
ACH-000304,-0.17112505942200001
