,CDAN1 (146059)
ACH-000004,-1.5783203509200001
ACH-000007,-1.2388150021200002
ACH-000009,-0.721659499692
ACH-000011,-1.5854356703499999
ACH-000012,-0.880167319471
ACH-000013,-0.570296837502
ACH-000014,-1.3758404898700003
ACH-000015,-1.0994634866
ACH-000017,-1.8460044978
ACH-000018,-1.49564924257
ACH-000019,-0.59254158018
ACH-000021,-1.2964186557200001
ACH-000022,-1.28566204755
ACH-000025,-1.209693543
ACH-000028,-1.06482517267
ACH-000030,-0.729820827861
ACH-000035,-0.5444349070660001
ACH-000036,-1.22601344557
ACH-000037,-1.37173714382
ACH-000039,-0.8255276044750001
ACH-000040,-0.935276225092
ACH-000041,-1.8469220729299998
ACH-000042,-0.908159872416
ACH-000045,-1.3866898818399997
ACH-000047,-1.14598672375
ACH-000052,-1.26105302981
ACH-000053,-1.71189592683
ACH-000054,-0.874699096551
ACH-000055,-0.980624027449
ACH-000060,-0.625524957027
ACH-000067,-0.8524536371070001
ACH-000070,-1.0642256365
ACH-000075,-1.03789492292
ACH-000078,-1.66199722127
ACH-000082,-0.974210214866
ACH-000085,-1.3363137893600001
ACH-000086,-1.49678570397
ACH-000087,-1.38314991586
ACH-000092,-0.799902898292
ACH-000095,-1.47552948817
ACH-000097,-0.800887219005
ACH-000098,-0.9955706656409999
ACH-000099,-1.2598261885200002
ACH-000108,-0.908997078344
ACH-000113,-1.17320783554
ACH-000115,-1.0673856789799998
ACH-000116,-0.417073840757
ACH-000118,-0.7275490571850001
ACH-000120,-1.3593452712600003
ACH-000123,-1.17211021775
ACH-000127,-1.39423601173
ACH-000128,-1.23535637544
ACH-000132,-0.888694165201
ACH-000133,-1.84431138398
ACH-000137,-0.501667139918
ACH-000138,-0.57761720484
ACH-000142,-0.5727681657329999
ACH-000143,-1.25681939207
ACH-000146,-2.15587786965
ACH-000148,-1.89100870616
ACH-000150,-0.942723472564
ACH-000152,-1.3893571848
ACH-000153,-0.7017056546699999
ACH-000159,-1.86008600403
ACH-000160,-0.784564048455
ACH-000163,-1.9246292913
ACH-000167,-0.620586553977
ACH-000168,-1.81812216021
ACH-000169,-1.19349883497
ACH-000178,-1.3992179092800001
ACH-000182,-0.466293801284
ACH-000183,-1.3500059848700001
ACH-000188,-0.797409957278
ACH-000189,-1.2046860834
ACH-000190,-0.807555121004
ACH-000198,-1.17061222009
ACH-000204,-1.4849861847299999
ACH-000206,-0.965566128383
ACH-000207,-1.2974725527600002
