,IFNGR2 (3460)
ACH-000004,0.09031613928639999
ACH-000007,0.017150494296799997
ACH-000009,0.235960269443
ACH-000011,0.081401703417
ACH-000012,0.0252160544663
ACH-000013,0.0764085202161
ACH-000014,0.05583388377180001
ACH-000015,0.143204059916
ACH-000017,0.161248332651
ACH-000018,-0.08257306305960001
ACH-000019,0.034870772206300006
ACH-000021,0.20131492978799997
ACH-000022,0.123311397043
ACH-000025,0.43743949641999996
ACH-000028,-0.0324901170714
ACH-000030,0.043348508817199996
ACH-000035,0.191004380501
ACH-000036,0.306047976023
ACH-000037,0.190842521255
ACH-000039,0.010964369998600001
ACH-000040,0.159918347807
ACH-000041,0.222190799654
ACH-000042,0.222863180922
ACH-000045,0.0254613696495
ACH-000047,0.139318680876
ACH-000052,0.40491747058300004
ACH-000053,0.187989995707
ACH-000054,0.187127175748
ACH-000055,0.10871115690500001
ACH-000060,-0.030502547812099996
ACH-000067,0.0732154299897
ACH-000070,0.274004969407
ACH-000075,-0.0356372658639
ACH-000078,0.35726872844
ACH-000082,0.0475565821523
ACH-000085,0.205171187881
ACH-000086,0.0956451689622
ACH-000087,-0.164398477524
ACH-000092,0.0338520342981
ACH-000095,0.11039099715
ACH-000097,0.18492049739100003
ACH-000098,0.30419779735
ACH-000099,0.229647713942
ACH-000108,0.018375516484099998
ACH-000113,0.15392045244000002
ACH-000115,0.28978931770599997
ACH-000116,-0.0824280439202
ACH-000118,0.19099306975699998
ACH-000120,0.0665515858355
ACH-000123,0.21574414223700003
ACH-000127,0.102383315822
ACH-000128,0.20847815905699998
ACH-000132,0.136122293134
ACH-000133,0.0978712968489
ACH-000137,0.0908276641864
ACH-000138,0.27099122902199996
ACH-000142,0.00754186540487
ACH-000143,0.05561246773680001
ACH-000146,0.04357084784080001
ACH-000148,0.199342373052
ACH-000150,0.0788994341596
ACH-000152,0.148874215584
ACH-000153,-0.056115710710399995
ACH-000159,0.09003553790439998
ACH-000160,0.282656289639
ACH-000163,0.205558990242
ACH-000167,-0.100235844188
ACH-000168,0.0958731319693
ACH-000169,0.0410415940546
ACH-000178,0.125813122721
ACH-000182,-0.126498929037
ACH-000183,6.905192082460001e-06
ACH-000188,-0.0685647970171
ACH-000189,0.0812155575926
ACH-000190,0.18507871602
ACH-000198,0.23941015713599997
ACH-000204,-0.0578021312666
ACH-000206,0.23605142445
ACH-000207,0.00170732743946
ACH-000211,0.318088441818
ACH-000215,0.0664380427873
ACH-000221,-0.00680735967803
ACH-000222,0.150973628939
ACH-000223,0.197893274352
ACH-000226,0.0369614546536
