,RBBP4 (5928)
ACH-000004,-1.1622881549600002
ACH-000007,-0.951933614196
ACH-000009,-1.14167262874
ACH-000011,-0.8850341960060001
ACH-000012,-1.07988888927
ACH-000013,-1.06446292233
ACH-000014,-1.19311134723
ACH-000015,-1.16693217401
ACH-000017,-1.0929692172499998
ACH-000018,-1.07183418064
ACH-000019,-0.643077113637
ACH-000021,-0.803673200773
ACH-000022,-1.4033029099599998
ACH-000025,-0.946037174501
ACH-000028,-0.8932423134909999
ACH-000030,-0.983544570642
ACH-000035,-1.11802546377
ACH-000036,-0.9027911720299999
ACH-000037,-0.7213806793800001
ACH-000039,-1.12480131187
ACH-000040,-0.8485904188850001
ACH-000041,-1.03250739534
ACH-000042,-1.04538635309
ACH-000045,-0.7287325392209999
ACH-000047,-0.8456722605310001
ACH-000052,-1.1360627184999998
ACH-000053,-0.792800368274
ACH-000054,-0.7223672600450001
ACH-000055,-0.9963516499869999
ACH-000060,-1.00855263301
ACH-000067,-1.03601699311
ACH-000070,-1.0830797478799998
ACH-000075,-0.564152007004
ACH-000078,-1.1339488526700001
ACH-000082,-0.9756132403219999
ACH-000085,-1.12864349957
ACH-000086,-0.8635426511550001
ACH-000087,-1.02494010113
ACH-000092,-0.902898271601
ACH-000095,-1.0543171558
ACH-000097,-0.8917642179709999
ACH-000098,-1.16238580817
ACH-000099,-1.18527551766
ACH-000108,-0.730865154976
ACH-000113,-0.925742778346
ACH-000115,-0.730072263651
ACH-000116,-0.821725528145
ACH-000118,-0.724255803471
ACH-000120,-1.1274737346500001
ACH-000123,-0.968248552721
ACH-000127,-1.0385145040500001
ACH-000128,-0.547329256954
ACH-000132,-0.807831062896
ACH-000133,-1.0661501037299999
ACH-000137,-1.08213878119
ACH-000138,-0.9893804964569999
ACH-000142,-1.29290776991
ACH-000143,-0.94509500657
ACH-000146,-0.8472285064659999
ACH-000148,-0.817193264429
ACH-000150,-0.861718345169
ACH-000152,-0.720961020871
ACH-000153,-0.92076611594
ACH-000159,-1.04431675049
ACH-000160,-0.520845261399
ACH-000163,-1.08341021077
ACH-000167,-0.591196599372
ACH-000168,-0.960100615255
ACH-000169,-0.9712641192899999
ACH-000178,-1.06508640831
ACH-000182,-0.8129612144670001
ACH-000183,-1.1045151954799999
ACH-000188,-1.2212756914799998
ACH-000189,-0.7239251025519999
ACH-000190,-0.607878144296
ACH-000198,-0.849597564522
ACH-000204,-0.9571725317919999
ACH-000206,-1.25326539731
ACH-000207,-1.1669454082700002
ACH-000211,-0.9747889373899999
ACH-000215,-1.16584668637
ACH-000221,-1.05719782782
ACH-000222,-0.957355684471
ACH-000223,-0.6515661018419999
ACH-000226,-0.866181600546
ACH-000227,-1.03497186711
ACH-000228,-1.03403592699
ACH-000231,-0.748607362596
ACH-000232,-0.8629374387630001
ACH-000233,-1.13195274183
ACH-000234,-0.8649347621150001
