,RCL1 (10171)
ACH-000004,-1.00778285624
ACH-000007,-0.621759541502
ACH-000009,-0.946113598679
ACH-000011,-0.7496299935490001
ACH-000012,-0.649880311833
ACH-000013,-0.6944861769499999
ACH-000014,-0.520278490213
ACH-000015,-0.81968137866
ACH-000017,-0.938162108364
ACH-000018,-1.20961234165
ACH-000019,-1.0660509914799998
ACH-000021,-0.994147967237
ACH-000022,-1.02460120806
ACH-000025,-0.73286352856
ACH-000028,-0.7935912692839999
ACH-000030,-0.86220186305
ACH-000035,-0.882354288478
ACH-000036,-0.70067432781
ACH-000037,-1.16874695837
ACH-000039,-0.618151305289
ACH-000040,-1.14954913526
ACH-000041,-1.2553703936799998
ACH-000042,-1.00306871221
ACH-000045,-0.850372537701
ACH-000047,-0.731290119624
ACH-000052,-0.918327543203
ACH-000053,-0.9233869389530001
ACH-000054,-0.7737501499130001
ACH-000055,-0.810096776671
ACH-000060,-0.46802129462
ACH-000067,-0.8842316360160001
ACH-000070,-0.960865670103
ACH-000075,-0.792423496604
ACH-000078,-0.905309266687
ACH-000082,-1.15806074389
ACH-000085,-1.0761535231200001
ACH-000086,-0.852990905195
ACH-000087,-0.941975581557
ACH-000092,-0.7850817368459999
ACH-000095,-0.8613617287369999
ACH-000097,-0.786964974709
ACH-000098,-0.935285558729
ACH-000099,-0.780603289142
ACH-000108,-0.9691009084659999
ACH-000113,-0.8995608289020001
ACH-000115,-0.77084074184
ACH-000116,-0.69694519894
ACH-000118,-0.918227512878
ACH-000120,-0.805836020705
ACH-000123,-0.711648287746
ACH-000127,-0.89652113419
ACH-000128,-0.609162076857
ACH-000132,-1.02336806339
ACH-000133,-1.05725991739
ACH-000137,-1.07749937478
ACH-000138,-0.818294518336
ACH-000142,-1.01449325933
ACH-000143,-0.839421980065
ACH-000146,-0.560029145166
ACH-000148,-0.8115357495700001
ACH-000150,-0.683986432992
ACH-000152,-0.857532669248
ACH-000153,-0.653831106353
ACH-000159,-0.9060422888299998
ACH-000160,-1.14406608168
ACH-000163,-1.0185705657600002
ACH-000167,-0.7991144632889999
ACH-000168,-0.9295251065090001
ACH-000169,-1.1234436143200002
ACH-000178,-0.84825788225
ACH-000182,-1.00249527293
ACH-000183,-0.7980078257050001
ACH-000188,-0.827257227943
ACH-000189,-0.796080211919
ACH-000190,-1.00252968995
ACH-000198,-0.775011037136
ACH-000204,-0.955116248283
ACH-000206,-0.85481041742
ACH-000207,-0.788103452452
ACH-000211,-0.7141883388310001
ACH-000215,-1.1620225130500001
ACH-000221,-0.8430224166949999
ACH-000222,-1.2144899276899999
ACH-000223,-0.809339956258
ACH-000226,-1.19082047559
ACH-000227,-0.54928070185
ACH-000228,-1.1597143525799998
ACH-000231,-0.788579630373
ACH-000232,-0.702252869329
ACH-000233,-0.894956874894
ACH-000234,-0.950633167597
ACH-000235,-0.8918656665029999
ACH-000237,-1.03535962003
ACH-000238,-1.09995058789
ACH-000243,-1.2102718703
ACH-000244,-0.9405047602159999
ACH-000246,-0.7554645169900001
ACH-000248,-0.923560011172
ACH-000250,-0.662131496968
ACH-000251,-0.8324966571610001
ACH-000253,-0.853031542415
ACH-000255,-1.00087683956
ACH-000256,-0.660961528616
ACH-000257,-0.745580178441
ACH-000258,-1.15095126405
ACH-000259,-0.7328590736310001
ACH-000260,-0.940647625953
ACH-000261,-1.01046792312
ACH-000262,-0.857777287067
ACH-000263,-0.787829089639
ACH-000264,-0.776733408045
ACH-000265,-0.855015288075
ACH-000266,-1.02737283806
ACH-000272,-0.890488469895
ACH-000273,-0.609769777282
ACH-000274,-0.9530617612219999
ACH-000277,-0.812725731795
ACH-000278,-0.939777756041
ACH-000279,-0.536974064568
