,PTGES3L (100885848)
ACH-000004,-0.42665794319399997
ACH-000007,-0.045357847302199994
ACH-000009,-0.297685854859
ACH-000011,-0.10766928767999999
ACH-000012,-0.209357089826
ACH-000013,-0.188105782152
ACH-000014,-0.123577179377
ACH-000015,-0.0659122103225
ACH-000017,-0.16556841035800002
ACH-000018,-0.157069191301
ACH-000019,0.058027971266999996
ACH-000021,-0.20659021360500002
ACH-000022,-0.0108361553122
ACH-000025,-0.171050085137
ACH-000028,-0.239316401688
ACH-000030,-0.165104777568
ACH-000035,-0.201294699244
ACH-000036,0.06557474009030001
ACH-000037,0.219492767889
ACH-000039,-0.459823162721
ACH-000040,-0.09846114493550001
ACH-000041,-0.0726873897178
ACH-000042,-0.136532872797
ACH-000045,-0.232027081638
ACH-000047,-0.0556630006917
ACH-000052,0.026353639649900003
ACH-000053,-0.106221708882
ACH-000054,-0.134087138952
ACH-000055,-0.078918274145
ACH-000060,-0.153001967227
ACH-000067,-0.194996095557
ACH-000070,0.113386383804
ACH-000075,-0.143580327603
ACH-000078,-0.206183657827
ACH-000082,-0.17902064585400002
ACH-000085,0.150986928838
ACH-000086,-0.22114621510000002
ACH-000087,0.109677226764
ACH-000092,-0.128078767705
ACH-000095,-0.21045673113299998
ACH-000097,-0.0887603804895
ACH-000098,-0.0875861796201
ACH-000099,-0.284103355713
ACH-000108,-0.0754272674745
ACH-000113,-0.253358182157
ACH-000115,-0.010832132452100001
ACH-000116,-0.11193851760399999
ACH-000118,-0.131937222195
ACH-000120,-0.273256720304
ACH-000123,-0.161840776816
ACH-000127,-0.07600640382019999
ACH-000128,-0.021882760688400005
ACH-000132,-0.21727199815200002
ACH-000133,-0.241196298158
ACH-000137,-0.206413194469
ACH-000138,-0.381055903142
ACH-000142,-0.301983810187
ACH-000143,-0.0862456705586
ACH-000146,-0.165190985432
ACH-000148,-0.175394659016
ACH-000150,-0.27044507715599997
ACH-000152,-0.132439841723
ACH-000153,0.00814827507203
ACH-000159,-0.0813338740332
ACH-000160,0.11998397387
ACH-000163,0.0656249033368
ACH-000167,-0.040528950765300005
ACH-000168,0.141575319209
ACH-000169,-0.0553720319158
ACH-000178,-0.0636729279234
ACH-000182,-0.191731081787
ACH-000183,-0.102440696271
ACH-000188,-0.095433709701
ACH-000189,-0.382963752166
ACH-000190,-0.20275080628800002
ACH-000198,-0.14274374335200002
ACH-000204,-0.00639355554719
ACH-000206,-0.020972153789499997
ACH-000207,-0.19080416978700002
ACH-000211,-0.13918963335999998
ACH-000215,-0.0565387964034
ACH-000221,-0.0015490200545899997
ACH-000222,-0.0330077219505
ACH-000223,-0.052016966655599996
ACH-000226,-0.209790742802
ACH-000227,-0.211925404171
ACH-000228,-0.487472389124
ACH-000231,-0.10229105360400001
ACH-000232,-0.0396240610346
ACH-000233,-0.0448844437113
ACH-000234,0.043116693693
ACH-000235,-0.21896145369699999
ACH-000237,-0.18567785184
ACH-000238,-0.322967557394
ACH-000243,-0.286669128971
ACH-000244,-0.263173244932
ACH-000246,-0.0797535288702
ACH-000248,-0.08551347140440001
ACH-000250,-0.0831181236247
ACH-000251,-0.19261796952399998
ACH-000253,-0.0659317038569
ACH-000255,-0.157216341245
ACH-000256,-0.161829319394
ACH-000257,0.0581041044759
ACH-000258,-0.245860516963
ACH-000259,-0.152031753653
ACH-000260,-0.19333597702799998
ACH-000261,-0.10218217253499999
ACH-000262,-0.23631498434700002
ACH-000263,-0.0552238208751
ACH-000264,-0.327697952258
ACH-000265,-0.27218388440499997
ACH-000266,-0.128670705034
ACH-000272,-0.09859440759960002
ACH-000273,-0.0998830070901
ACH-000274,-0.23878110606199998
ACH-000277,-0.0471584769044
ACH-000278,-0.0253932264864
ACH-000279,0.032704084787300004
ACH-000280,-0.0269962125231
ACH-000281,-0.11016471910900001
ACH-000288,-0.22875193579999997
ACH-000291,-0.144016060991
ACH-000293,-0.12451022435699999
ACH-000294,-0.22903776049600003
ACH-000295,-0.17791088868500002
ACH-000296,-0.270362453535
ACH-000302,-0.137790968952
ACH-000304,-0.35408291867700004
ACH-000307,-0.0005038299536119999
ACH-000308,-0.17427095331300002
ACH-000310,-0.309252510039
ACH-000311,-0.112205446032
ACH-000312,-0.194068723708
ACH-000315,-0.12348089992900001
ACH-000316,-0.262907956021
ACH-000317,-0.0191394693655
ACH-000318,0.00415337816175
ACH-000319,-0.09017836847680001
ACH-000320,-0.23505675745700003
ACH-000322,-0.135206405641
ACH-000323,-0.28309266853500004
ACH-000324,-0.458224392406
ACH-000329,-0.14493714207
ACH-000330,-0.15648085806700002
ACH-000331,-0.10336288894099999
ACH-000332,-0.161633171351
ACH-000334,-0.24176010469
ACH-000335,-0.12037682760099999
ACH-000336,0.00763534991889
ACH-000337,0.0322719939462
ACH-000339,-0.21276301546300003
ACH-000341,0.12623004776799998
ACH-000348,-0.154393782429
ACH-000350,-0.120972833204
ACH-000352,-0.195449396503
ACH-000356,0.0179709566836
ACH-000361,-0.33220441438000003
ACH-000362,-0.179733717881
ACH-000363,0.10263091703800001
ACH-000364,-0.17689399355399998
ACH-000365,-0.057724153818300004
ACH-000366,-0.152923840629
ACH-000368,0.0735335990784
ACH-000374,-0.0526066225428
ACH-000375,-0.24438657123000004
ACH-000376,-0.126866978767
ACH-000381,-0.146439212036
ACH-000383,-0.050022297391
ACH-000387,0.06773698024809999
ACH-000389,-0.00815627933739
ACH-000390,-0.11725453877999999
ACH-000393,0.0402715343247
ACH-000395,-0.205433625402
ACH-000397,-0.225835244481
ACH-000401,-0.035872727786900004
ACH-000402,-0.00431325571029
ACH-000403,-0.144841632287
ACH-000404,-0.233284966099
ACH-000406,-0.0709029634085
ACH-000407,-0.071534442187
ACH-000408,-0.036237985216
ACH-000410,-0.12276621111199999
ACH-000411,-0.09818540123069999
ACH-000414,-0.15132642233899998
ACH-000415,-0.33196630859000004
ACH-000416,-0.19849353018399998
ACH-000420,-0.036052643194400005
ACH-000421,-0.09085059396400001
ACH-000424,-0.07439590697260001
ACH-000425,-0.259173800488
ACH-000426,-0.14015057287799998
ACH-000427,-0.28053453719300003
ACH-000433,-0.47008546136999996
ACH-000436,0.0589627733211
ACH-000444,-0.13567894738
ACH-000445,-0.215804795047
ACH-000448,-0.23429393660599998
ACH-000450,-0.354509480938
ACH-000452,-0.06273533877899999
ACH-000454,0.15278673816299998
ACH-000458,-0.17411149657400002
ACH-000459,-0.0554765422659
ACH-000460,-0.166129803972
ACH-000461,-0.0326926341155
ACH-000463,-0.21748647085
ACH-000464,-0.19365202090599998
ACH-000466,-0.010532218121499999
ACH-000467,-0.166923265736
ACH-000468,-0.22343899213500001
ACH-000469,-0.118912032607
ACH-000470,-0.265466699217
ACH-000471,-0.0756134140141
ACH-000472,-0.0674640867981
ACH-000473,0.0168209492757
ACH-000475,-0.114370144552
ACH-000476,-0.0807145225413
ACH-000477,0.034702213044
ACH-000480,-0.08780701522050001
ACH-000481,-0.100782058392
ACH-000483,-0.144952994148
ACH-000484,-0.235916079956
ACH-000485,-0.0559766932396
ACH-000486,-0.135094973188
ACH-000487,-0.0221006379079
ACH-000488,0.00789753372471
ACH-000490,0.0017529839521300001
ACH-000491,-0.127005313992
ACH-000495,-0.0930595031306
ACH-000496,-0.30367870750500003
ACH-000499,-0.25700839575199996
ACH-000500,-0.276661738846
ACH-000502,-0.0706544812346
ACH-000503,-0.298308411065
ACH-000505,-0.103650453194
ACH-000507,-0.10214132101399999
ACH-000510,0.00646938324991
ACH-000511,-0.17015237467900002
ACH-000512,-0.0529395434779
ACH-000516,-0.0674226206221
ACH-000517,-0.07365076027669999
ACH-000518,-0.11040322487700001
ACH-000520,-0.0949476764449
ACH-000521,-0.13990324592700001
ACH-000522,-0.127969303062
ACH-000524,-0.128359153108
ACH-000527,-0.17937737431499998
ACH-000528,-0.021953230613000002
ACH-000537,-0.167800042416
ACH-000541,-0.215918558037
ACH-000542,-0.133328166524
ACH-000544,-0.174135227478
ACH-000545,-0.0022143052447399997
ACH-000547,-0.143510367405
ACH-000548,0.0319524109857
ACH-000549,-0.00433789483827
ACH-000550,-0.113810083632
ACH-000552,-0.166813346563
ACH-000556,-0.132705778618
