,RSRC1 (51319)
ACH-000004,-0.319894571106
ACH-000007,-0.165062668753
ACH-000009,-0.0747708210733
ACH-000011,-0.0222804889376
ACH-000012,-0.162251309907
ACH-000013,-0.180103989072
ACH-000014,-0.364504628741
ACH-000015,-0.17647364236
ACH-000017,-0.0439791951702
ACH-000018,-0.310024878487
ACH-000019,-0.213777983825
ACH-000021,-0.17691467781599998
ACH-000022,0.12184679674
ACH-000025,-0.164058319975
ACH-000028,-0.0841783898054
ACH-000030,-0.08070440112539999
ACH-000035,-0.113667034334
ACH-000036,-0.0480841657328
ACH-000037,-0.14046086665100002
ACH-000039,0.0512746190325
ACH-000040,-0.270648921589
ACH-000041,-0.169538943246
ACH-000042,-0.110296122603
ACH-000045,0.0256178665796
ACH-000047,-0.24634855195
ACH-000052,-0.230534163578
ACH-000053,-0.192111691017
ACH-000054,-0.245522558039
ACH-000055,-0.207345634883
ACH-000060,-0.184106389841
ACH-000067,-0.42460559518200003
ACH-000070,-0.184235734241
ACH-000075,-0.1095723235
ACH-000078,-0.019047010755700002
ACH-000082,-0.139376663854
ACH-000085,-0.289798068197
ACH-000086,-0.224195521565
ACH-000087,0.0436319105112
ACH-000092,-0.209708624997
ACH-000095,-0.194806409549
ACH-000097,-0.0575377766664
ACH-000098,-0.146613367854
ACH-000099,-0.146465570492
ACH-000108,0.030909782272600002
ACH-000113,-0.28360817426999996
ACH-000115,-0.292304925955
ACH-000116,-0.0146911230713
ACH-000118,-0.148406449737
ACH-000120,-0.17575492404100002
ACH-000123,-0.0829801794783
ACH-000127,-0.11424908660199999
ACH-000128,-0.22498112709600002
ACH-000132,-0.160900826583
ACH-000133,-0.25562367547200004
ACH-000137,-0.052102988944
ACH-000138,-0.282982964296
ACH-000142,0.0260035697805
ACH-000143,-0.201277322407
ACH-000146,-0.195336107697
ACH-000148,-0.192726547963
ACH-000150,-0.0690793150327
ACH-000152,-0.31838777507599997
ACH-000153,0.0114096992114
ACH-000159,-0.031818261721
ACH-000160,-0.327626757486
ACH-000163,-0.0306112555205
ACH-000167,0.0222937503326
ACH-000168,-0.248123227687
ACH-000169,-0.126435596747
ACH-000178,-0.145270831803
ACH-000182,-0.322310259263
ACH-000183,-0.166053680092
ACH-000188,-0.101050785842
ACH-000189,-0.461503822346
ACH-000190,-0.281937398515
ACH-000198,-0.08411259463469999
