,TRAPPC6A (79090)
ACH-000004,-0.24374050342700002
ACH-000007,-0.17361967683600002
ACH-000009,-0.22657423878199998
ACH-000011,-0.20136819002300002
ACH-000012,-0.234163596998
ACH-000013,-0.552066948798
ACH-000014,-0.31974206802
ACH-000015,-0.354872707817
ACH-000017,-0.0830676915046
ACH-000018,-0.282149265542
ACH-000019,-0.0478934376319
ACH-000021,-0.225034706468
ACH-000022,-0.399752612746
ACH-000025,0.0778425715007
ACH-000028,-0.274199075915
ACH-000030,-0.213129569853
ACH-000035,-0.330480136261
ACH-000036,-0.275839652854
ACH-000037,-0.212684652324
ACH-000039,-0.139525839336
ACH-000040,-0.16892554777899998
ACH-000041,-0.37279797946800003
ACH-000042,-0.17103485764600002
ACH-000045,-0.24651761397100003
ACH-000047,-0.210444164667
ACH-000052,-0.463091067169
ACH-000053,-0.425261186059
ACH-000054,-0.245447329823
ACH-000055,-0.307277086446
ACH-000060,-0.24307464402600001
ACH-000067,-0.26533105978300003
ACH-000070,-0.231312506694
ACH-000075,-0.151052751131
ACH-000078,-0.0963032902628
ACH-000082,-0.38464343369099996
ACH-000085,-0.19876008548799998
ACH-000086,-0.294125351621
ACH-000087,-0.154328388544
ACH-000092,-0.394143804255
ACH-000095,-0.13975291517400001
ACH-000097,-0.308829594159
ACH-000098,-0.38962254971
ACH-000099,-0.306195596607
ACH-000108,-0.463474068057
ACH-000113,-0.345950183491
ACH-000115,-0.29414836254099996
ACH-000116,-0.17044921288800002
ACH-000118,-0.232007513847
ACH-000120,-0.332935708291
ACH-000123,-0.219484598059
ACH-000127,-0.242363910587
ACH-000128,-0.0568053432252
ACH-000132,-0.169616565295
ACH-000133,-0.262452202551
ACH-000137,-0.382742578538
ACH-000138,-0.207349930966
ACH-000142,-0.465413258309
ACH-000143,-0.30800922582400003
ACH-000146,-0.17563281192299998
ACH-000148,-0.219185273858
ACH-000150,-0.440004385568
ACH-000152,-0.514078187681
ACH-000153,-0.334016204789
ACH-000159,-0.385577966906
ACH-000160,-0.545498813782
ACH-000163,-0.103213986061
ACH-000167,-0.45530707416199995
ACH-000168,-0.0101313741117
ACH-000169,-0.36245277563699996
ACH-000178,-0.091682486375
