,CTC1 (80169)
ACH-000004,-0.49084913055299995
ACH-000007,-0.237681142308
ACH-000009,-0.475264270476
ACH-000011,-0.374377927001
ACH-000012,-0.407265587437
ACH-000013,-0.164698546664
ACH-000014,-0.604144305658
ACH-000015,-0.177195889001
ACH-000017,-0.181828644758
ACH-000018,-0.666578883168
ACH-000019,-0.581791036321
ACH-000021,-0.07789170710030001
ACH-000022,-0.604566082296
ACH-000025,-0.263730108092
ACH-000028,-0.47999644067
ACH-000030,-0.0177535062433
ACH-000035,-0.448313285854
ACH-000036,-0.44590476505800003
ACH-000037,-0.40215935380500006
ACH-000039,-0.25894573877
ACH-000040,-0.526815858861
ACH-000041,-0.444554724982
ACH-000042,-0.644936304875
ACH-000045,-0.512941757613
ACH-000047,-0.108794981438
ACH-000052,-0.114828008046
ACH-000053,-0.414316711588
ACH-000054,-0.29534739999299997
ACH-000055,-0.87974739331
ACH-000060,-0.823823618066
ACH-000067,-0.379681834423
ACH-000070,-0.573407717344
ACH-000075,-0.484457639463
ACH-000078,-0.508584848314
ACH-000082,-0.574876138737
ACH-000085,-0.528982837403
ACH-000086,0.0525628866931
ACH-000087,-0.382137919884
ACH-000092,-0.380717502632
ACH-000095,-0.61336333992
ACH-000097,-0.412830655506
ACH-000098,-0.34317232558300004
ACH-000099,-0.672779165818
ACH-000108,-0.30901398646
ACH-000113,-0.51918444135
ACH-000115,-0.509911593993
ACH-000116,-0.6766879981039999
ACH-000118,-0.414434843619
ACH-000120,-0.36451212637900005
ACH-000123,-0.251479671893
ACH-000127,-0.328881117901
ACH-000128,-0.587804708846
ACH-000132,-0.401734076198
ACH-000133,-0.277414388649
ACH-000137,-0.427119197263
ACH-000138,-0.40275948668000006
ACH-000142,-0.390909922358
ACH-000143,-0.553058269471
ACH-000146,-0.7695258317329999
ACH-000148,-0.491469495977
ACH-000150,-0.7427827497789999
ACH-000152,-0.319595680189
ACH-000153,-0.5753086622079999
ACH-000159,-0.401110446275
ACH-000160,-0.191330636785
ACH-000163,-0.5919491319619999
ACH-000167,-0.348005570292
ACH-000168,-0.41156544548699997
ACH-000169,-0.12424264499900001
ACH-000178,-0.561797693541
ACH-000182,-0.531005784647
ACH-000183,-0.455088104745
ACH-000188,-0.5560561813539999
ACH-000189,-1.04790997127
ACH-000190,-0.670251292774
ACH-000198,-0.38076555956
ACH-000204,-0.585836212474
ACH-000206,-0.26931631204
ACH-000207,-0.386206160431
ACH-000211,-0.016293866422099998
ACH-000215,-0.87144830015
ACH-000221,-0.439351497418
ACH-000222,-0.13725816511299999
ACH-000223,-0.36014927752400006
ACH-000226,-0.403293295045
ACH-000227,-0.487254000729
ACH-000228,-0.373086972198
ACH-000231,-0.895166302805
ACH-000232,-0.155049998484
ACH-000233,-0.36013867800399996
ACH-000234,-0.452669962219
