,CASS4 (57091)
ACH-000004,-0.405765692209
ACH-000007,-0.0021801157998
ACH-000009,-0.224575017758
ACH-000011,-0.20090994879299998
ACH-000012,-0.119760312944
ACH-000013,-0.13770881456700002
ACH-000014,-0.296011723274
ACH-000015,-0.12030721117799999
ACH-000017,-0.523280708278
ACH-000018,-0.0943795434163
ACH-000019,-0.380058779884
ACH-000021,-0.193752541831
ACH-000022,-0.0781428176533
ACH-000025,-0.156059513882
ACH-000028,-0.6269396034570001
ACH-000030,-0.200647442821
ACH-000035,-0.22488815726300002
ACH-000036,-0.14950195205999997
ACH-000037,-0.269800908506
ACH-000039,-0.0598863181604
ACH-000040,-0.278669268107
ACH-000041,-0.23032596952
ACH-000042,-0.320066669167
ACH-000045,-0.102254336963
ACH-000047,-0.021970958345
ACH-000052,-0.284692946505
ACH-000053,-0.17349656894699997
ACH-000054,-0.151128763937
ACH-000055,-0.149892700145
ACH-000060,-0.247197826644
ACH-000067,-0.246646628513
ACH-000070,-0.17727708892900002
ACH-000075,-0.6036003159969999
ACH-000078,-0.136397727684
ACH-000082,-0.323282223461
ACH-000085,-0.39360312723700003
ACH-000086,-0.08572738076360001
ACH-000087,-0.0277801950112
ACH-000092,-0.195977777672
ACH-000095,-0.133678597517
ACH-000097,-0.246674160115
ACH-000098,-0.170731553682
ACH-000099,-0.203040340211
ACH-000108,-0.229713129971
ACH-000113,-0.211445399579
ACH-000115,-0.220189781659
ACH-000116,-0.21935253395100002
ACH-000118,-0.120159637436
ACH-000120,-0.12534154886
ACH-000123,-0.21372193283399998
ACH-000127,-0.297333492834
ACH-000128,-0.0828912654507
ACH-000132,-0.319347485275
ACH-000133,-0.31281825124400003
ACH-000137,-0.102942351515
ACH-000138,-0.15791373109
ACH-000142,-0.21945097051100002
ACH-000143,-0.218901459832
ACH-000146,-0.227393440753
ACH-000148,-0.14133537724099998
ACH-000150,-0.123999336092
ACH-000152,-0.199493771707
ACH-000153,-0.275067574503
ACH-000159,-0.15115544647
ACH-000160,-0.122415174732
ACH-000163,-0.255855185617
ACH-000167,-0.483173164577
ACH-000168,-0.0192878277718
ACH-000169,-0.0044170940448900005
ACH-000178,-0.22385421004
ACH-000182,-0.281196961202
ACH-000183,-0.292394402196
ACH-000188,-0.173845531021
ACH-000189,-0.18983019445500002
ACH-000190,0.019496786693500003
ACH-000198,-0.19550603397900002
ACH-000204,-0.06506383522169999
ACH-000206,0.00457829338001
ACH-000207,-0.22130204437399997
ACH-000211,-0.120321804265
ACH-000215,-0.18711441292999997
ACH-000221,-0.0859914547662
ACH-000222,-0.43744792258299997
ACH-000223,-0.418223891104
ACH-000226,-0.18397129545899998
ACH-000227,-0.159358230829
ACH-000228,-0.0932590720123
ACH-000231,-0.203532728409
ACH-000232,-0.259431800956
ACH-000233,-0.137500881751
ACH-000234,-0.171345979448
ACH-000235,-0.0931452002785
ACH-000237,-0.24550830780299998
ACH-000238,-0.259221671545
ACH-000243,-0.201054570775
ACH-000244,-0.0481384160257
ACH-000246,-0.308477499508
ACH-000248,-0.22535613363600002
ACH-000250,-0.231653256586
ACH-000251,-0.29256498834899997
ACH-000253,-0.319621579868
ACH-000255,-0.18135154392299999
ACH-000256,-0.12804061526399999
ACH-000257,-0.222624476076
ACH-000258,-0.385938807162
ACH-000259,-0.33602463847400005
ACH-000260,-0.268052522686
ACH-000261,-0.275616232476
ACH-000262,-0.0879813025745
ACH-000263,0.0007106508581389999
ACH-000264,-0.278541870232
ACH-000265,-0.106540991843
ACH-000266,-0.232698201696
ACH-000272,-0.410944048486
ACH-000273,-0.274351859811
ACH-000274,-0.258383285455
ACH-000277,-1.02133523131
ACH-000278,-0.25591366592500003
ACH-000279,-0.180463800268
ACH-000280,-0.151306311721
ACH-000281,-0.300846818636
ACH-000288,-0.0563008856676
ACH-000291,-0.237897060998
ACH-000293,-0.159909223667
ACH-000294,-0.33102964629299997
ACH-000295,-0.04735428654619999
ACH-000296,-0.549732613581
ACH-000302,-0.168097050834
ACH-000304,-0.025270551632900002
ACH-000307,-0.165495408079
ACH-000308,-0.28027452567600003
ACH-000310,-0.424790388848
ACH-000311,-0.35192132714599994
ACH-000312,-0.25306318144900003
ACH-000315,-0.108569382898
ACH-000316,-0.0734376649579
ACH-000317,-0.27485531439800004
ACH-000318,-0.0471729173373
ACH-000319,-0.15599123713
ACH-000320,-0.597229648484
ACH-000322,-0.622173024205
ACH-000323,-0.10309281280400001
ACH-000324,-0.155790095984
ACH-000329,-0.25272933498399996
ACH-000330,-0.437021141436
ACH-000331,-0.189098660874
ACH-000332,-0.240623703118
ACH-000334,-0.22234034632599997
ACH-000335,-0.133656461432
ACH-000336,-0.210530977279
ACH-000337,-0.153502432359
ACH-000339,-0.168015807823
ACH-000341,-0.39391920918000006
ACH-000348,-0.11502168216299999
ACH-000350,-0.250280489193
ACH-000352,-0.19490794586399998
ACH-000356,0.0709454475229
ACH-000361,-0.192630811339
ACH-000362,-0.323719008261
ACH-000363,-0.30419491911400004
ACH-000364,-0.0721357982153
ACH-000365,-0.174923856723
ACH-000366,-0.143607518583
ACH-000368,0.119524901808
ACH-000374,-0.0574261149199
ACH-000375,-0.16184651892899998
ACH-000376,-0.316821651479
ACH-000381,-0.0871101772194
ACH-000383,-0.134121410972
ACH-000387,-0.074263305239
ACH-000389,-0.34867316037
ACH-000390,-0.019454157987799998
ACH-000393,-0.149776449175
ACH-000395,-0.541890400412
ACH-000397,-0.302540336213
ACH-000401,-0.17487748631299999
ACH-000402,-0.840411987606
ACH-000403,-0.367226061294
