,ARSB (411)
ACH-000004,-0.233041274717
ACH-000007,-0.183619508599
ACH-000009,-0.34375853941600004
ACH-000011,-0.229997599077
ACH-000012,-0.27142511346500003
ACH-000013,-0.35618729454000003
ACH-000014,-0.440291353856
ACH-000015,-0.278801081772
ACH-000017,-0.21666871530999998
ACH-000018,-0.324663129599
ACH-000019,-0.318167048813
ACH-000021,-0.362308008134
ACH-000022,-0.317136908998
ACH-000025,-0.234379427883
ACH-000028,-0.327260225327
ACH-000030,-0.42812738555299995
ACH-000035,-0.134539535421
ACH-000036,-0.379082030417
ACH-000037,-0.36237767274000005
ACH-000039,-0.48918059562700006
ACH-000040,-0.171124237342
ACH-000041,-0.34739188643700003
ACH-000042,-0.393959271892
ACH-000045,-0.207634126102
ACH-000047,-0.24223321559
ACH-000052,-0.27527554837900003
ACH-000053,-0.299311433584
ACH-000054,-0.358800158102
ACH-000055,-0.37862220477700004
ACH-000060,-0.181659392187
ACH-000067,-0.041603101968199996
ACH-000070,-0.249396680034
ACH-000075,-0.5577159199880001
ACH-000078,-0.235774094588
ACH-000082,-0.31819669241799997
ACH-000085,-0.305690552187
ACH-000086,-0.291418181124
ACH-000087,-0.498364056171
ACH-000092,-0.209183395683
ACH-000095,-0.20443962286800002
ACH-000097,-0.152239075206
ACH-000098,-0.306356843669
ACH-000099,-0.528053183099
ACH-000108,-0.242429089755
ACH-000113,-0.32037669954799997
ACH-000115,-0.27246907837400003
ACH-000116,-0.22319180139400002
ACH-000118,-0.23039326803100002
ACH-000120,-0.308400766383
ACH-000123,-0.282426320425
ACH-000127,-0.200136007949
ACH-000128,-0.283556598135
ACH-000132,-0.287943841261
ACH-000133,-0.30284383533000003
ACH-000137,-0.249465063691
ACH-000138,-0.24870441193599999
ACH-000142,-0.24836039624
ACH-000143,-0.318503296774
ACH-000146,-0.109795355771
ACH-000148,-0.223987988666
ACH-000150,-0.139856602435
ACH-000152,-0.10317938471799999
ACH-000153,-0.364861786719
ACH-000159,-0.380533445138
ACH-000160,-0.342141667195
ACH-000163,-0.26304301318100004
ACH-000167,-0.24097874666400002
ACH-000168,-0.0977739519787
ACH-000169,-0.37207009534
ACH-000178,-0.314705443192
ACH-000182,-0.28727669658300004
ACH-000183,-0.299011635999
ACH-000188,-0.433832486101
ACH-000189,-0.115504035755
ACH-000190,-0.255545130835
ACH-000198,-0.34868713010700003
ACH-000204,-0.291284266018
ACH-000206,0.00866641960101
ACH-000207,0.00785048538921
ACH-000211,-0.360265823085
ACH-000215,-0.19241515052400002
ACH-000221,-0.107673091634
ACH-000222,-0.181044586632
ACH-000223,-0.233178709468
ACH-000226,-0.130640309153
ACH-000227,-0.486102393094
ACH-000228,-0.370575031733
ACH-000231,-0.299865807693
ACH-000232,-0.266511824551
ACH-000233,-0.322837789153
ACH-000234,-0.29315492240200003
ACH-000235,-0.21538742784099998
ACH-000237,-0.170900738618
ACH-000238,-0.207457811818
ACH-000243,-0.23656332929
ACH-000244,-0.273537936119
ACH-000246,-0.35456889094800004
ACH-000248,-0.314675297566
ACH-000250,-0.14164302813100002
ACH-000251,-0.31061674699999997
ACH-000253,-0.281568092726
ACH-000255,-0.340867199307
ACH-000256,-0.0645694206897
ACH-000257,-0.0398367181246
ACH-000258,-0.296415695948
ACH-000259,-0.216985999886
ACH-000260,-0.250133360704
ACH-000261,-0.279246492296
ACH-000262,-0.280459555687
ACH-000263,-0.33939978176799995
ACH-000264,-0.235857270781
ACH-000265,-0.169817163772
ACH-000266,-0.291674331594
ACH-000272,-0.289421589347
ACH-000273,-0.232457239256
ACH-000274,-0.275714134799
ACH-000277,-0.231206974683
ACH-000278,-0.281988809668
ACH-000279,-0.324184171189
ACH-000280,-0.304746142137
ACH-000281,-0.22322285608399997
ACH-000288,-0.45925029294799996
ACH-000291,-0.29523696978
ACH-000293,-0.422793658567
ACH-000294,-0.0824729999474
ACH-000295,-0.18209678369100002
ACH-000296,-0.265387810226
ACH-000302,-0.26423833135200003
ACH-000304,-0.116280702556
ACH-000307,-0.29069008816999997
ACH-000308,-0.190887486556
ACH-000310,-0.33548810115600003
ACH-000311,-0.314115336011
ACH-000312,-0.31200868950399996
ACH-000315,-0.136821404052
ACH-000316,-0.0731105546827
ACH-000317,-0.0987166162806
ACH-000318,-0.142028046223
ACH-000319,-0.18774356846999998
ACH-000320,-0.00355763932318
ACH-000322,-0.233505970456
ACH-000323,-0.18068052952599997
ACH-000324,-0.252337970932
ACH-000329,-0.195733311594
ACH-000330,-0.303709565563
ACH-000331,-0.400511790145
ACH-000332,-0.36037186253700004
ACH-000334,-0.0548383101509
ACH-000335,-0.239524122516
ACH-000336,-0.16856212064399997
ACH-000337,-0.0960641255747
ACH-000339,-0.21355252668400002
ACH-000341,-0.23033492739
ACH-000348,-0.23007253220499999
ACH-000350,-0.45123054010799996
ACH-000352,-0.16949440712699998
ACH-000356,-0.334586336022
ACH-000361,-0.120167466874
ACH-000362,-0.225803680848
ACH-000363,-0.246212152797
ACH-000364,0.0317528545622
ACH-000365,-0.213823601976
ACH-000366,-0.225761800799
ACH-000368,-0.376114833654
ACH-000374,-0.256088962251
ACH-000375,0.0457425074914
ACH-000376,-0.28398397778900003
ACH-000381,-0.24532209351999998
ACH-000383,-0.156757943866
ACH-000387,-0.128751255169
ACH-000389,-0.14520183230699998
ACH-000390,-0.21368096388799998
ACH-000393,-0.46528982477499997
ACH-000395,-0.11498480246300001
ACH-000397,-0.38337477268299996
ACH-000401,-0.09735879205539999
ACH-000402,-0.323014985374
ACH-000403,-0.256782582269
ACH-000404,-0.20970172444200003
ACH-000406,-0.24557860417
ACH-000407,-0.410547249018
ACH-000408,0.134526821307
ACH-000410,-0.16381173616800002
ACH-000411,-0.37892690593500006
ACH-000414,-0.13503313835
ACH-000415,-0.23541522178000004
ACH-000416,-0.42501523621
ACH-000420,-0.303508176497
ACH-000421,-0.197332253092
ACH-000424,-0.29012874319299997
ACH-000425,-0.451981799244
ACH-000426,-0.024971216760400004
ACH-000427,-0.42663886144100005
ACH-000433,-0.252044901697
ACH-000436,-0.356196658982
ACH-000444,-0.262215837261
ACH-000445,-0.276677657917
ACH-000448,-0.340951680295
ACH-000450,-0.5658085607769999
ACH-000452,-0.127913891285
ACH-000454,-0.287983399423
