,CELF1 (10658)
ACH-000004,-0.136603488103
ACH-000007,-0.151275311153
ACH-000009,-0.247045226899
ACH-000011,0.0862912002049
ACH-000012,-0.23175627420699998
ACH-000013,-0.184718957702
ACH-000014,0.162012494877
ACH-000015,-0.312862503473
ACH-000017,-0.0855508587025
ACH-000018,0.0607865299212
ACH-000019,-0.6255787966690001
ACH-000021,-0.395886996877
ACH-000022,-0.298258587948
ACH-000025,-0.493056775852
ACH-000028,-0.39413801984200003
ACH-000030,-0.231019612464
ACH-000035,-0.44353644532799996
ACH-000036,-0.250083840347
ACH-000037,-0.276929907799
ACH-000039,-0.415767347007
ACH-000040,-0.165760922364
ACH-000041,-0.592297405421
ACH-000042,-0.361037773033
ACH-000045,-0.04140645374330001
ACH-000047,-0.213305478412
ACH-000052,-0.360518279809
ACH-000053,0.13398141630899998
ACH-000054,-0.251824721422
ACH-000055,-0.432093869101
ACH-000060,-0.17673077135600002
ACH-000067,-0.101588915337
ACH-000070,-0.026792517971299997
ACH-000075,-0.37791993331699997
ACH-000078,-0.169892623284
ACH-000082,-0.338323228046
ACH-000085,-0.0582807731788
ACH-000086,-0.155856514529
ACH-000087,-0.412078768232
ACH-000092,-0.29491358616
ACH-000095,-0.14974114863600002
ACH-000097,-0.343689671405
ACH-000098,-0.241805594983
ACH-000099,-0.043777007298800005
ACH-000108,-0.0459342058681
ACH-000113,0.0192106267577
ACH-000115,0.242074769591
ACH-000116,-0.40756143232500003
ACH-000118,-0.10031700031199998
ACH-000120,-0.0397518026427
ACH-000123,-0.6423804447720001
ACH-000127,0.0650297906235
ACH-000128,-0.453079640072
ACH-000132,-0.272902683617
ACH-000133,-0.32503211929000003
ACH-000137,-0.449869190604
ACH-000138,-0.504312258042
ACH-000142,-0.25090123930799996
ACH-000143,0.053725815787500006
ACH-000146,-0.17724529408599998
ACH-000148,-0.28839620256299997
ACH-000150,-0.154867388832
ACH-000152,-0.182166520374
ACH-000153,0.267239867956
ACH-000159,-0.469032350323
ACH-000160,-0.185153630303
ACH-000163,0.0644223004073
ACH-000167,-0.146488132506
ACH-000168,-0.10621214803300001
ACH-000169,-0.247745024985
ACH-000178,-0.0811292673977
ACH-000182,-0.5349762611550001
ACH-000183,0.05167626584369999
ACH-000188,-0.24820887302499997
ACH-000189,-0.40510878420400004
ACH-000190,-0.235189073492
ACH-000198,-0.172723663604
ACH-000204,-0.12197297036100001
ACH-000206,-0.038939217490400004
ACH-000207,-0.312702364274
ACH-000211,0.0263269364607
ACH-000215,-0.171757432627
ACH-000221,-0.208040766745
ACH-000222,-0.147097084296
ACH-000223,-0.09504029214490001
ACH-000226,-0.163725517404
ACH-000227,-0.241922869516
ACH-000228,-0.0031987677597700003
ACH-000231,-0.26303024729
ACH-000232,-0.233907233781
ACH-000233,-0.19400604591499998
ACH-000234,-0.29389187757
ACH-000235,-0.312105489785
ACH-000237,-0.503829292961
ACH-000238,-0.133822668998
ACH-000243,-0.30482587702799996
ACH-000244,-0.515914525929
ACH-000246,-0.0668278555119
ACH-000248,-0.297594929519
ACH-000250,-0.20450919230599998
ACH-000251,-0.273091235624
ACH-000253,-0.407435418808
ACH-000255,-0.526157525391
ACH-000256,-0.432061257713
