,IL17F (112744)
ACH-000004,-0.110108461761
ACH-000007,0.136879454957
ACH-000009,0.118731946635
ACH-000011,-0.17345010938000002
ACH-000012,-0.0724290102256
ACH-000013,-0.241894541791
ACH-000014,-0.154114795976
ACH-000015,-0.09148891125690001
ACH-000017,-0.159662963463
ACH-000018,-0.147204532861
ACH-000019,0.0698400025497
ACH-000021,-0.11612267937000001
ACH-000022,-0.13940255774
ACH-000025,-0.133255674561
ACH-000028,-0.109520154704
ACH-000030,-0.106438078398
ACH-000035,-0.07188032152360001
ACH-000036,-0.0160384607287
ACH-000037,0.106969726323
ACH-000039,-0.343736312781
ACH-000040,-0.106024080723
ACH-000041,-0.030553859165400002
ACH-000042,-0.09579951795660001
ACH-000045,-0.113747379619
ACH-000047,-0.0163508934461
ACH-000052,-0.0170156287522
ACH-000053,-0.00047938539269
ACH-000054,-0.181392782117
ACH-000055,-0.254069128531
ACH-000060,-0.27977962813900004
ACH-000067,-0.13446588547399999
ACH-000070,-0.15607422625700001
ACH-000075,-0.177392403012
ACH-000078,-0.24430036980099998
ACH-000082,-0.1979071572
ACH-000085,-0.113376963451
ACH-000086,-0.0411515501408
ACH-000087,-0.0679149696231
ACH-000092,-0.058007771901
ACH-000095,-0.06714319346
ACH-000097,-0.11089383352299999
ACH-000098,-0.112205388594
ACH-000099,-0.162897991081
ACH-000108,-0.266055624901
ACH-000113,-0.349109326454
ACH-000115,0.0620009856345
ACH-000116,-0.059187498113599996
ACH-000118,-0.169757884478
ACH-000120,-0.219096240617
ACH-000123,-0.176853959176
ACH-000127,-0.149362424843
ACH-000128,-0.166410289426
ACH-000132,-0.141246308062
ACH-000133,-0.07657373473239999
ACH-000137,0.0500526293447
ACH-000138,-0.109300139394
ACH-000142,-0.0633637346793
ACH-000143,-0.0136597206205
ACH-000146,-0.055720491162199993
ACH-000148,0.00221502530033
ACH-000150,0.0225956659918
ACH-000152,-0.137641956082
ACH-000153,-0.0173400798864
ACH-000159,-0.157302747927
ACH-000160,-0.128622655532
ACH-000163,-0.00780007059091
ACH-000167,0.09076936768310001
ACH-000168,-0.06541614615790001
ACH-000169,-0.0278103926094
ACH-000178,-0.0902918268049
ACH-000182,-0.133646729884
ACH-000183,-0.123128813772
ACH-000188,-0.143328965256
ACH-000189,-0.0447035850112
ACH-000190,-0.125841011828
ACH-000198,-0.08336249632889998
ACH-000204,-0.129415268672
ACH-000206,-0.161258710793
ACH-000207,-0.29528577317
ACH-000211,-0.10915150785700001
ACH-000215,-0.00200742165727
ACH-000221,-0.161841881513
ACH-000222,-0.161223049367
ACH-000223,-0.124616534591
ACH-000226,-0.0166044402619
ACH-000227,-0.159154285149
ACH-000228,-0.22452578441999999
ACH-000231,-0.20281887613400001
ACH-000232,-0.142138777443
ACH-000233,-0.101310661435
ACH-000234,-0.09543308676760001
ACH-000235,-0.185329201085
ACH-000237,0.0007190532231110001
ACH-000238,-0.231964436558
ACH-000243,-0.11995408957699999
ACH-000244,-0.0109186307352
ACH-000246,-0.139511841623
ACH-000248,-0.261478756148
ACH-000250,-0.054727321486
ACH-000251,-0.237100194419
ACH-000253,-0.279775997058
ACH-000255,0.0284578695143
ACH-000256,-0.155443497887
ACH-000257,-0.199912437621
ACH-000258,0.00866796025414
ACH-000259,-0.132747054067
ACH-000260,-0.18687433151399999
ACH-000261,-0.173649822438
ACH-000262,0.0140070090111
ACH-000263,0.147878773663
ACH-000264,-0.239941932581
ACH-000265,-0.244699286527
ACH-000266,-0.09588427704630001
ACH-000272,-0.112972322566
ACH-000273,-0.092532293915
ACH-000274,-0.0613176686168
ACH-000277,0.0851165135693
ACH-000278,-0.0634018003817
ACH-000279,-0.10051714651799999
ACH-000280,0.030188208948400002
ACH-000281,-0.245672449982
ACH-000288,-0.123809368628
ACH-000291,-0.0783451020979
ACH-000293,-0.148787322827
ACH-000294,-0.0674985816622
ACH-000295,-0.115032516165
ACH-000296,-0.166001403007
ACH-000302,-0.0168015372704
ACH-000304,-0.0873950248991
ACH-000307,0.0168970065129
ACH-000308,-0.060664140049999996
ACH-000310,-0.104333723819
ACH-000311,-0.0032502408066700005
ACH-000312,-0.215807701597
ACH-000315,-0.148506083596
ACH-000316,-0.245673269415
ACH-000317,-0.22251815484999998
ACH-000318,-0.261042354359
ACH-000319,-0.247278091184
ACH-000320,-0.139510340194
ACH-000322,-0.33726634382
ACH-000323,-0.025966781806099997
ACH-000324,-0.101464021985
ACH-000329,0.0111531257421
ACH-000330,-0.226690214375
ACH-000331,-0.266573093657
ACH-000332,-0.202045675319
ACH-000334,0.064439051389
ACH-000335,-0.012648332760100002
ACH-000336,0.051408743353599996
ACH-000337,-0.257717400279
ACH-000339,-0.130029796236
ACH-000341,-0.0679854134028
ACH-000348,-0.0425206363792
ACH-000350,0.0098946836975
ACH-000352,-0.052607944932500005
ACH-000356,-0.32037892665
ACH-000361,-0.286561905702
ACH-000362,-0.0060529440422100005
ACH-000363,-0.0574241671528
ACH-000364,-0.240488316648
ACH-000365,-0.146665382293
ACH-000366,-0.045458204436300005
ACH-000368,-0.263470003301
ACH-000374,-0.145329885681
ACH-000375,-0.25939429405000003
ACH-000376,-0.047976171960199994
ACH-000381,-0.20608952558899998
ACH-000383,-0.140676329283
ACH-000387,-0.17232807952100002
ACH-000389,-0.22143495788800002
ACH-000390,-0.0147236507525
ACH-000393,-0.36963127321199996
ACH-000395,0.13360393540999999
ACH-000397,-0.040741958715699994
ACH-000401,-0.117848306362
ACH-000402,-0.0921579233451
ACH-000403,-0.0157927810195
ACH-000404,-0.028834808610400005
ACH-000406,-0.16416249937799998
ACH-000407,0.017293829182799998
ACH-000408,-0.17671866815499998
ACH-000410,-0.0607420255953
ACH-000411,-0.151904406323
ACH-000414,-0.0963814754586
ACH-000415,-0.139061488883
ACH-000416,-0.0615026090634
ACH-000420,-0.0311741327203
ACH-000421,-0.17498433390999998
ACH-000424,-0.09273000295639999
ACH-000425,0.0169750250665
ACH-000426,-0.0913665372905
ACH-000427,-0.00970910768644
ACH-000433,-0.0939467054456
ACH-000436,-0.051654789636399995
ACH-000444,-0.197515878878
ACH-000445,-0.147176561436
ACH-000448,-0.0874793769964
ACH-000450,0.223874027656
ACH-000452,-0.0668308499269
ACH-000454,-0.340014303902
ACH-000458,-0.182080211466
ACH-000459,0.0455288860403
ACH-000460,-0.108570835568
ACH-000461,-0.140017157354
ACH-000463,-0.0130151007554
ACH-000464,-0.019944346452599997
ACH-000466,-0.122080379732
ACH-000467,-0.153523922721
ACH-000468,-0.23295479878000003
ACH-000469,-0.13931831618499999
ACH-000470,-0.0307555833738
ACH-000471,-0.115260378633
ACH-000472,0.0328903429538
ACH-000473,-0.00532820266142
ACH-000475,-0.038057895249300006
ACH-000476,0.0471373377689
ACH-000477,0.000315969550726
ACH-000480,-0.0538100881122
ACH-000481,-0.0482416381159
ACH-000483,-0.15592546189
ACH-000484,0.069266970032
ACH-000485,-0.033529913492200004
ACH-000486,-0.11423567567500001
ACH-000487,-0.18610110363600002
ACH-000488,-0.143185795897
ACH-000490,-0.12222678177799999
ACH-000491,-0.040882355479
ACH-000495,-0.10708527543400001
ACH-000496,-0.08972229233100001
ACH-000499,-0.156929128872
ACH-000500,-0.51093908671
ACH-000502,-0.121131204539
ACH-000503,-0.192552064403
ACH-000505,-0.07742113522319999
ACH-000507,-0.059353305928600004
