,TTK (7272)
ACH-000004,-0.653898289159
ACH-000007,-0.562720528443
ACH-000009,-0.779847279752
ACH-000011,-0.618530898133
ACH-000012,-1.17555960912
ACH-000013,-0.788763899012
ACH-000014,-0.7370006084440001
ACH-000015,-0.651536754921
ACH-000017,-0.8456482932420001
ACH-000018,-0.8805812794769999
ACH-000019,-1.08279544197
ACH-000021,-0.790190193101
ACH-000022,-0.7319446381029999
ACH-000025,-0.860465456621
ACH-000028,-0.780366988317
ACH-000030,-0.722547769764
ACH-000035,-0.9733023214040001
ACH-000036,-0.924727942551
ACH-000037,-0.9304204794040001
ACH-000039,-1.03667030963
ACH-000040,-0.903634122352
ACH-000041,-0.787147791058
ACH-000042,-0.9403189733380001
ACH-000045,-0.7612882147050001
ACH-000047,-0.9069451325560001
ACH-000052,-0.947297132619
ACH-000053,-0.9190976576000001
ACH-000054,-1.1355643371100002
ACH-000055,-1.01887182287
ACH-000060,-0.98423847448
ACH-000067,-0.82636157611
ACH-000070,-0.808402822544
ACH-000075,-1.1120174165799999
ACH-000078,-0.8807133284280001
ACH-000082,-0.901699805688
ACH-000085,-0.7835185043970001
ACH-000086,-1.0251422813200002
ACH-000087,-1.0038408596700001
ACH-000092,-1.16800243775
ACH-000095,-0.930212332677
ACH-000097,-1.00174736705
ACH-000098,-0.9117316444399999
ACH-000099,-0.904261556308
ACH-000108,-0.836870094112
ACH-000113,-0.8125092803280001
ACH-000115,-1.23433107996
ACH-000116,-0.764996555404
ACH-000118,-1.01006596646
ACH-000120,-0.916833277447
ACH-000123,-0.644608087603
ACH-000127,-0.620685616734
ACH-000128,-0.767228272453
ACH-000132,-1.25614201987
ACH-000133,-0.892278957844
ACH-000137,-1.05843997852
ACH-000138,-1.1195855143200002
ACH-000142,-0.8952925570810001
ACH-000143,-1.0103058410299999
ACH-000146,-0.712621977152
ACH-000148,-0.9447863382610001
ACH-000150,-1.36664883425
ACH-000152,-1.15312701313
ACH-000153,-1.48391206732
ACH-000159,-1.36576942933
ACH-000160,-0.842332400601
ACH-000163,-0.9848013062729999
ACH-000167,-1.0609493512700001
ACH-000168,-0.927910861313
ACH-000169,-1.0092779814200001
ACH-000178,-0.931081377071
ACH-000182,-0.750762359408
ACH-000183,-0.8391498567300001
ACH-000188,-0.817348602413
ACH-000189,-1.19798017299
ACH-000190,-1.19524942142
ACH-000198,-0.717997607578
ACH-000204,-1.06480478954
ACH-000206,-0.98543048722
ACH-000207,-1.15916681146
ACH-000211,-0.852776923152
ACH-000215,-1.1014589025900001
ACH-000221,-0.6283363448129999
ACH-000222,-0.8880719550409999
ACH-000223,-0.8550323021089999
ACH-000226,-0.915795118699
ACH-000227,-1.4310847700799998
ACH-000228,-0.6434159501169999
ACH-000231,-0.893396204838
ACH-000232,-0.839830926138
ACH-000233,-1.1606705057100002
