,UFM1 (51569)
ACH-000004,-0.746716652713
ACH-000007,-0.7335959956739999
ACH-000009,-1.31298139974
ACH-000011,-1.09459038744
ACH-000012,-0.882217570882
ACH-000013,-0.556014296144
ACH-000014,-0.769186850808
ACH-000015,-0.988392643517
ACH-000017,-0.773293388273
ACH-000018,-1.26179092101
ACH-000019,-1.00629951066
ACH-000021,-0.390889184907
ACH-000022,-0.6213471118199999
ACH-000025,-1.06659470055
ACH-000028,-0.814601473645
ACH-000030,-0.5143447509369999
ACH-000035,-1.4510667582199999
ACH-000036,-1.11181250734
ACH-000037,-1.6106171740600002
ACH-000039,-0.494097365948
ACH-000040,-0.8789478695280001
ACH-000041,-0.383909175387
ACH-000042,-1.06922632708
ACH-000045,-1.40399170005
ACH-000047,-0.37788520759000005
ACH-000052,-0.975869868979
ACH-000053,-0.47316468415
ACH-000054,-0.815793945721
ACH-000055,-0.642439977585
ACH-000060,-1.18955311421
ACH-000067,-1.38941321009
ACH-000070,-0.40479120340999997
ACH-000075,-0.7133276980169999
ACH-000078,-0.651455669545
ACH-000082,-0.717837513731
ACH-000085,-0.8341483074680001
ACH-000086,-1.10623631433
ACH-000087,-0.8081205442370001
ACH-000092,-0.9793422818340001
ACH-000095,-0.611023594928
ACH-000097,-1.17459338283
ACH-000098,-0.374930645273
ACH-000099,-0.850431360405
ACH-000108,-1.1651240354899999
ACH-000113,-0.836417804665
ACH-000115,-0.509948992509
ACH-000116,-0.64632122537
ACH-000118,-0.7555505531129999
ACH-000120,-0.955916239595
ACH-000123,-1.0353534740399999
ACH-000127,-1.23000826045
ACH-000128,-0.9684995124529999
ACH-000132,-0.884728458595
ACH-000133,-1.05153785298
ACH-000137,-0.635133935183
ACH-000138,-1.32040272926
ACH-000142,-1.18440275027
ACH-000143,-0.698181101091
ACH-000146,-1.12033468449
ACH-000148,-0.599305481196
ACH-000150,-0.9572909801039999
ACH-000152,-1.1275352871700002
ACH-000153,-0.9611486075660001
ACH-000159,-1.2711447524500001
ACH-000160,-0.451589539391
ACH-000163,-1.30749182511
ACH-000167,-0.642356850033
ACH-000168,-1.3303958481
ACH-000169,-0.66161888062
ACH-000178,-0.847976469581
ACH-000182,-0.894941192223
ACH-000183,-1.1948563459200001
ACH-000188,-1.0578496743999999
ACH-000189,-1.2760357390200001
ACH-000190,-0.826104435076
ACH-000198,-0.753548701379
ACH-000204,-1.01566070259
ACH-000206,-0.568711934685
ACH-000207,-0.653537717095
ACH-000211,-0.576907041015
ACH-000215,-0.980715120075
ACH-000221,-0.968169131193
ACH-000222,-0.9643328634270001
ACH-000223,-0.959285438796
ACH-000226,-0.549122404863
ACH-000227,-0.514899286311
ACH-000228,-0.9958605843870001
ACH-000231,-0.6637866919550001
ACH-000232,-1.23062646979
ACH-000233,-0.6646461962129999
ACH-000234,-1.02618827784
ACH-000235,-1.04152712036
ACH-000237,-1.1560523449
ACH-000238,-1.3387804757
ACH-000243,-0.867202097841
ACH-000244,-1.2832359018700001
ACH-000246,-1.20284940146
ACH-000248,-0.8237960425859999
ACH-000250,-1.2770787298100001
ACH-000251,-1.1427360578799999
ACH-000253,-1.3187427026
ACH-000255,-1.39794465958
ACH-000256,-1.3517768920200002
ACH-000257,-0.611311367347
ACH-000258,-0.794462808382
ACH-000259,-0.807801609692
ACH-000260,-0.656160658673
ACH-000261,-0.460172452492
ACH-000262,-0.987974894164
ACH-000263,-0.647050619434
ACH-000264,-0.462785482487
ACH-000265,-0.6525399037290001
ACH-000266,-1.4888454891999998
ACH-000272,-1.28784383141
ACH-000273,-1.11678367051
ACH-000274,-0.432324724312
ACH-000277,-0.9303636332100002
ACH-000278,-0.637773239885
ACH-000279,-0.428087249785
ACH-000280,-0.527817818103
ACH-000281,-0.794096295275
ACH-000288,-0.9381979325290001
ACH-000291,-1.32023898085
ACH-000293,-1.2933002886
ACH-000294,-1.21755864443
ACH-000295,-0.872784468142
ACH-000296,-0.781227517094
ACH-000302,-0.670402507584
ACH-000304,-0.434890417192
ACH-000307,-0.7245658595990001
ACH-000308,-1.3544515891
ACH-000310,-0.5898051241269999
ACH-000311,-0.9897727612880001
ACH-000312,-0.747127330744
ACH-000315,-0.565426343612
ACH-000316,-1.16999530817
