,TSACC (128229)
ACH-000004,-0.409187770968
ACH-000007,-0.373538341285
ACH-000009,-0.85386111721
ACH-000011,-0.216817610696
ACH-000012,-0.42088619647
ACH-000013,-0.327587434875
ACH-000014,-0.290816004076
ACH-000015,-0.22073064516199997
ACH-000017,-0.286850389925
ACH-000018,-0.0653928029436
ACH-000019,-0.163388769572
ACH-000021,-0.508916054676
ACH-000022,-0.123543256393
ACH-000025,-0.5695119991659999
ACH-000028,-0.33385429552900003
ACH-000030,-0.24572143055100001
ACH-000035,-0.220388438241
ACH-000036,-0.283854642741
ACH-000037,-0.40743206232699997
ACH-000039,-0.192390054651
ACH-000040,-0.0012408202757900001
ACH-000041,-0.098821175846
ACH-000042,-0.463728545972
ACH-000045,-0.249753417722
ACH-000047,-0.289160687454
ACH-000052,-0.21062726752
ACH-000053,-0.130952066911
ACH-000054,-0.33438254501200004
ACH-000055,-0.268580831558
ACH-000060,-0.39610385104699997
ACH-000067,-0.119246925092
ACH-000070,-0.170712011947
ACH-000075,-0.316473435268
ACH-000078,-0.503013071121
ACH-000082,-0.17617972555599998
ACH-000085,-0.331259269852
ACH-000086,-0.49686731906599996
ACH-000087,0.04654514646869999
ACH-000092,-0.412717074929
ACH-000095,-0.417050708622
ACH-000097,-0.532230514171
ACH-000098,-0.3170946276
ACH-000099,-0.308829360615
ACH-000108,-0.41665139952
ACH-000113,-0.421818462293
ACH-000115,-0.0765622112794
ACH-000116,-0.36320652033100004
ACH-000118,-0.307102818586
ACH-000120,-0.373859892794
ACH-000123,-0.316714603109
ACH-000127,-0.17029530201600002
ACH-000128,-0.307321527463
ACH-000132,-0.324121636932
ACH-000133,-0.395875647167
ACH-000137,-0.149276956745
ACH-000138,-0.448023703068
ACH-000142,-0.38677057330200004
ACH-000143,-0.216249327782
ACH-000146,-0.25174907657900003
ACH-000148,-0.436956536334
ACH-000150,-0.453685451588
ACH-000152,-0.288626056545
ACH-000153,-0.629313499237
ACH-000159,-0.397090169989
ACH-000160,-0.39753484026299996
ACH-000163,-0.432688293583
ACH-000167,-0.54768217949
ACH-000168,-0.494583881629
ACH-000169,-0.38625003141500003
ACH-000178,-0.12770696700200002
ACH-000182,-0.122624721787
ACH-000183,-0.229951407816
ACH-000188,-0.12829272014100002
ACH-000189,-0.25615366793
ACH-000190,-0.363772659986
ACH-000198,-0.176274525423
ACH-000204,-0.667564558094
ACH-000206,-0.0380205067466
ACH-000207,0.139873532305
ACH-000211,-0.39964078235399997
ACH-000215,-0.42364785678800004
ACH-000221,-0.233745991005
ACH-000222,-0.349763223432
ACH-000223,-0.367565797662
ACH-000226,-0.335596608011
ACH-000227,-0.25915820794
ACH-000228,-0.641226898602
ACH-000231,-0.266825548149
ACH-000232,-0.268400944366
ACH-000233,-0.5337549256090001
ACH-000234,-0.40237417761699995
ACH-000235,-0.422556260192
ACH-000237,-0.21766102101799997
ACH-000238,-0.134573884138
ACH-000243,-0.358720044271
ACH-000244,-0.287552909489
ACH-000246,-0.48002698605800004
ACH-000248,-0.337253516555
ACH-000250,-0.373196267767
ACH-000251,-0.222874469414
ACH-000253,-0.248972387495
ACH-000255,-0.28020464062600003
ACH-000256,-0.508184404609
ACH-000257,-0.24036031517499998
ACH-000258,-0.32641337995
ACH-000259,-0.36646999286
ACH-000260,-0.328827593446
ACH-000261,-0.317976383358
ACH-000262,-0.13929693734999998
ACH-000263,0.0246640373533
ACH-000264,-0.477012671188
ACH-000265,-0.299641070435
ACH-000266,-0.404651728055
ACH-000272,-0.423929182235
ACH-000273,-0.47601173175399997
ACH-000274,-0.144596269923
ACH-000277,-0.25513324224100004
ACH-000278,-0.28555906285
ACH-000279,-0.0967232067009
ACH-000280,-0.221711726149
ACH-000281,-0.285858612689
ACH-000288,-0.386065731387
ACH-000291,-0.144293677462
ACH-000293,-0.140497640519
ACH-000294,-0.348137302084
ACH-000295,-0.44122872148500003
ACH-000296,-0.38918239141500005
ACH-000302,-0.259435124054
ACH-000304,-0.33818631071500005
ACH-000307,-0.43664395854099997
ACH-000308,-0.462087536677
ACH-000310,-0.579322648551
ACH-000311,-0.546054522207
ACH-000312,-0.364627875848
ACH-000315,-0.0827408671587
ACH-000316,-0.271300203949
ACH-000317,-0.30988969875100003
ACH-000318,-0.4699374421
ACH-000319,-0.159108206404
ACH-000320,-0.44726541345799997
ACH-000322,-0.40623505860799997
ACH-000323,-0.30169620371
ACH-000324,-0.341943024655
ACH-000329,-0.512280871778
ACH-000330,-0.23748300297
ACH-000331,-0.236481634322
ACH-000332,-0.45952130740099995
ACH-000334,-0.321189509221
ACH-000335,-0.04060048071419999
ACH-000336,-0.466335660514
ACH-000337,-0.19810083848499999
ACH-000339,-0.17291824843800002
ACH-000341,-0.20314777015299998
ACH-000348,-0.25107177861900004
ACH-000350,-0.26369867251400003
ACH-000352,-0.277846869643
ACH-000356,-0.178798645411
ACH-000361,-0.18773611886799998
ACH-000362,-0.34942324992299995
