,GFAP (2670)
ACH-000004,-0.17696192890299997
ACH-000007,0.0457923550446
ACH-000009,-0.19958891540399998
ACH-000011,-0.060330068154100004
ACH-000012,-0.444350955554
ACH-000013,-0.286405423316
ACH-000014,-0.197146688777
ACH-000015,-0.07959534457989999
ACH-000017,-0.0850072444052
ACH-000018,-0.127367256728
ACH-000019,-0.160063949429
ACH-000021,-0.251774062104
ACH-000022,-0.194682588972
ACH-000025,-0.24089042005300002
ACH-000028,-0.23225119116300003
ACH-000030,-0.129015543229
ACH-000035,-0.413252325827
ACH-000036,-0.285254459201
ACH-000037,0.00628275720415
ACH-000039,-0.329775049972
ACH-000040,-0.0457980473796
ACH-000041,-0.23561363017499998
ACH-000042,-0.397539105638
ACH-000045,-0.131558972298
ACH-000047,-0.116128928959
ACH-000052,-0.195414058653
ACH-000053,-0.297366522678
ACH-000054,-0.050079573638399995
ACH-000055,-0.0443716511963
ACH-000060,-0.183280358345
ACH-000067,-0.22948646814100002
ACH-000070,-0.250685903194
ACH-000075,-0.149494733589
ACH-000078,-0.252245836677
ACH-000082,-0.20703905044
ACH-000085,-0.12309066628799999
ACH-000086,-0.311673785607
ACH-000087,-0.144889391871
ACH-000092,-0.0846868428574
ACH-000095,-0.183249147082
ACH-000097,-0.212730913908
ACH-000098,-0.287881841674
ACH-000099,-0.262684103961
ACH-000108,-0.19292567308400002
ACH-000113,0.0727727097776
ACH-000115,-0.22464916271899998
ACH-000116,-0.293829102956
ACH-000118,-0.206590002117
ACH-000120,-0.204764372124
ACH-000123,-0.246245047518
ACH-000127,-0.0765942835977
ACH-000128,-0.22263169882199998
ACH-000132,-0.412673666774
ACH-000133,-0.19270708854200003
ACH-000137,-0.037573065974199994
ACH-000138,-0.305768918539
ACH-000142,-0.299011737591
ACH-000143,-0.114436097283
ACH-000146,-0.0871135304348
ACH-000148,-0.342462125467
ACH-000150,-0.366003719494
ACH-000152,-0.261417887335
ACH-000153,0.06604760198950001
ACH-000159,-0.24421381490400002
ACH-000160,-0.43476352940800006
ACH-000163,-0.235434756385
ACH-000167,0.0928682630783
ACH-000168,-0.24556994826900003
ACH-000169,-0.193397533291
ACH-000178,-0.170580167854
ACH-000182,-0.242702447447
ACH-000183,-0.114110729363
ACH-000188,-0.361865139424
ACH-000189,0.187982583487
ACH-000190,-0.359552608597
ACH-000198,-0.165771419684
ACH-000204,-0.187054664749
ACH-000206,-0.13783134654100002
ACH-000207,-0.30103890941399997
ACH-000211,-0.249543513749
ACH-000215,-0.27435383382
ACH-000221,0.033506809035700004
ACH-000222,-0.362782381079
ACH-000223,-0.282052423118
ACH-000226,-0.120518710336
ACH-000227,-0.105737768769
ACH-000228,-0.426067845669
ACH-000231,-0.123659441533
ACH-000232,-0.0239731900283
ACH-000233,-0.0245043105622
ACH-000234,-0.129320268116
ACH-000235,-0.18279847098700003
ACH-000237,-0.0074702071797
ACH-000238,-0.277568530383
ACH-000243,-0.380789344019
ACH-000244,-0.518597313468
ACH-000246,-0.244859186987
ACH-000248,-0.260887069179
ACH-000250,-0.242870826763
ACH-000251,-0.51500144117
ACH-000253,-0.012328980388
ACH-000255,-0.125345601662
ACH-000256,-0.15097147145099998
ACH-000257,-0.445830532479
ACH-000258,-0.0452446640735
ACH-000259,-0.299545333772
ACH-000260,-0.156088416605
ACH-000261,-0.26414715209600004
ACH-000262,-0.0759314078641
ACH-000263,-0.266168413033
ACH-000264,-0.15266749745400002
ACH-000265,-0.187878517724
ACH-000266,-0.308871179298
ACH-000272,0.0053470918649500005
ACH-000273,-0.113333744661
ACH-000274,-0.340930722409
ACH-000277,-0.272524782709
ACH-000278,-0.183508405101
ACH-000279,-0.143707602134
ACH-000280,-0.0627701179259
ACH-000281,-0.108144125954
ACH-000288,-0.29948381988
ACH-000291,-0.197797648979
ACH-000293,-0.209200208898
ACH-000294,-0.224151433049
ACH-000295,-0.339782593249
ACH-000296,-0.5809708701690001
ACH-000302,-0.23364929567200002
ACH-000304,-0.32906359550299996
ACH-000307,-0.135831459274
ACH-000308,-0.173993942499
ACH-000310,-0.49273605757700006
ACH-000311,-0.304118669603
ACH-000312,-0.41544964453500005
ACH-000315,-0.0016052478801199999
ACH-000316,-0.19635624710000002
ACH-000317,-0.0215067957713
ACH-000318,-0.0122185776024
ACH-000319,-0.354741364879
ACH-000320,-0.413259358848
ACH-000322,-0.31210124159
ACH-000323,-0.319565074107
ACH-000324,-0.35353864861199996
ACH-000329,-0.21462539999299998
ACH-000330,-0.09598029919399999
ACH-000331,-0.0889512183487
ACH-000332,-0.185623567966
ACH-000334,-0.093459810661
ACH-000335,-0.24491752239300002
ACH-000336,-0.33738709415
ACH-000337,-0.344181002644
ACH-000339,-0.213849660549
ACH-000341,-0.058659772573300004
ACH-000348,-0.169158392425
ACH-000350,-0.201671745836
ACH-000352,0.0200564760769
ACH-000356,-0.35301237577699995
ACH-000361,0.102171990657
ACH-000362,-0.0181023971025
ACH-000363,-0.119973180096
ACH-000364,-0.09427587985880001
ACH-000365,-0.134167185538
ACH-000366,-0.21364120814399998
ACH-000368,-0.0631517035662
ACH-000374,-0.18265014696600002
ACH-000375,-0.395311266006
ACH-000376,-0.0800142860277
ACH-000381,-0.098951525626
ACH-000383,-0.286438087748
ACH-000387,-0.289020699276
ACH-000389,0.025200922691900003
ACH-000390,-0.265684436152
ACH-000393,-0.0532821577251
ACH-000395,-0.25630665754299997
ACH-000397,-0.30768689309999997
ACH-000401,-0.163257814528
ACH-000402,0.0253847988828
ACH-000403,-0.232863030107
ACH-000404,-0.0060447020966000005
ACH-000406,-0.210299189332
ACH-000407,-0.23603286329300002
ACH-000408,-0.141958936953
ACH-000410,-0.254272857649
ACH-000411,-0.288338765484
ACH-000414,-0.195393932946
ACH-000415,-0.345606423072
ACH-000416,-0.181859266022
ACH-000420,-0.303596135973
ACH-000421,-0.12657457045099998
ACH-000424,-0.41008785862499997
ACH-000425,-0.201009401415
ACH-000426,0.14063175047
ACH-000427,-0.244738314775
ACH-000433,-0.13472020963700002
ACH-000436,-0.157029307784
ACH-000444,-0.10762341799000001
ACH-000445,-0.16186867578400002
ACH-000448,-0.19489411949700003
ACH-000450,-0.23506565354800002
ACH-000452,-0.14586790140900002
ACH-000454,-0.34808313428300003
ACH-000458,-0.049171376160900004
ACH-000459,0.184237876104
ACH-000460,-0.279440740302
ACH-000461,-0.179532928475
ACH-000463,-0.0887753339827
ACH-000464,-0.42665493737300003
ACH-000466,-0.194966616065
ACH-000467,-0.219330476503
ACH-000468,-0.435392399777
ACH-000469,-0.0460037492875
ACH-000470,-0.10116614269600001
ACH-000471,-0.218175148505
ACH-000472,-0.0981952933908
ACH-000473,-0.171061351389
ACH-000475,-0.226308531322
ACH-000476,-0.140838586516
ACH-000477,0.169557351611
ACH-000480,-0.443400489741
ACH-000481,0.031061905311599997
ACH-000483,-0.0757774123097
ACH-000484,-0.124806680754
ACH-000485,-0.127426083189
ACH-000486,-0.149626077747
ACH-000487,-0.12086099558
ACH-000488,-0.21038642801600002
ACH-000490,-0.15843178273
ACH-000491,-0.18236156072999998
ACH-000495,-0.20847719098900003
ACH-000496,-0.24471278271299998
ACH-000499,0.29861480655
ACH-000500,-0.590114612305
ACH-000502,-0.25866909191799997
ACH-000503,0.133111526879
ACH-000505,-0.17553516731600002
ACH-000507,-0.153365782197
ACH-000510,-0.251765803728
