,PDCD6IP (10015)
ACH-000004,-0.7955163011740001
ACH-000007,-0.41940381112499997
ACH-000009,-0.126964141227
ACH-000011,-1.0585064502700001
ACH-000012,-0.453014886766
ACH-000013,-0.43897301008999995
ACH-000014,-0.593895666858
ACH-000015,-0.513283797257
ACH-000017,-0.9372143441930001
ACH-000018,-0.36771152943999996
ACH-000019,-0.45560532182700003
ACH-000021,-0.3330649926
ACH-000022,-0.44564509308899997
ACH-000025,-0.525025931109
ACH-000028,-0.650330046987
ACH-000030,-0.438630757786
ACH-000035,-0.543497324962
ACH-000036,-0.6514009673969999
ACH-000037,-0.7256167908779999
ACH-000039,-0.643963654609
ACH-000040,-0.42621627159000003
ACH-000041,-0.486590368604
ACH-000042,-0.647856030449
ACH-000045,-0.7546717937909999
ACH-000047,-0.650279618226
ACH-000052,-0.320020225042
ACH-000053,-0.42227050998300003
ACH-000054,-0.734544022381
ACH-000055,-0.8307306418770001
ACH-000060,-0.993218990979
ACH-000067,-1.25081458469
ACH-000070,-0.6990187556790001
ACH-000075,-0.690927495331
ACH-000078,-1.0375224006000001
ACH-000082,-0.460359684547
ACH-000085,-0.548413718613
ACH-000086,-0.36224638459299996
ACH-000087,-0.365204384329
ACH-000092,-0.501018813647
ACH-000095,-0.6748894632439999
ACH-000097,-0.5188400989549999
ACH-000098,-0.8598395386859999
ACH-000099,-0.7902356304379999
ACH-000108,-0.36932505644100005
ACH-000113,-0.668442579084
ACH-000115,-0.622225764703
ACH-000116,-0.30931948174199997
ACH-000118,-0.37661974983
ACH-000120,-0.719378391126
ACH-000123,-0.309813705336
ACH-000127,-0.5440468099870001
ACH-000128,-0.942501833452
ACH-000132,-0.369029619577
ACH-000133,-0.579222428213
ACH-000137,-0.481219418575
ACH-000138,-0.656427831954
ACH-000142,-0.826574741728
ACH-000143,-0.8769283926970001
ACH-000146,-0.49558228671899995
ACH-000148,-0.293667150768
ACH-000150,-0.9375808341670001
ACH-000152,-0.45389276525300004
ACH-000153,-0.294814175452
ACH-000159,-0.47368881291599996
ACH-000160,-0.80354902846
ACH-000163,-0.0687440596413
ACH-000167,-0.22537273321100001
ACH-000168,-0.388503742262
ACH-000169,-0.51529038569
ACH-000178,-0.372795446966
ACH-000182,-0.423348525088
ACH-000183,-0.531371348189
ACH-000188,-0.7602571831020001
ACH-000189,-0.258738221791
ACH-000190,-0.547960898915
ACH-000198,-0.20800491019200001
ACH-000204,-0.5786058541210001
ACH-000206,-0.7525866965979999
ACH-000207,-0.588021700342
ACH-000211,-0.91265360548
ACH-000215,-0.62805702664
ACH-000221,-0.912912480806
ACH-000222,-0.391241299262
ACH-000223,-0.849562532517
ACH-000226,-0.871343542238
ACH-000227,-0.778338013484
ACH-000228,-0.47572071899999996
ACH-000231,-0.523550244292
ACH-000232,-0.872598542525
ACH-000233,-0.8943589485629999
ACH-000234,-0.186411188556
ACH-000235,-0.401662532788
ACH-000237,-0.778478963537
ACH-000238,-0.486744116192
ACH-000243,-0.535272203715
ACH-000244,-0.6618916987210001
ACH-000246,-0.49332005556100006
ACH-000248,-0.7143726820559999
ACH-000250,-0.501251589863
ACH-000251,-0.7448985379430001
ACH-000253,-1.13944050175
ACH-000255,-0.461600502144
ACH-000256,-0.386048000738
ACH-000257,-0.891251042737
ACH-000258,-0.8457874922490001
ACH-000259,-0.7768488460609999
ACH-000260,-0.287968426507
ACH-000261,-0.45018339606700003
ACH-000262,-0.158896453278
ACH-000263,-0.597200443957
ACH-000264,-0.780220473016
ACH-000265,-0.659747691385
ACH-000266,-0.6754463030050001
ACH-000272,-0.445394041783
ACH-000273,-0.890848013378
ACH-000274,-0.228121314918
ACH-000277,-0.43743162532799995
ACH-000278,-0.5998912635679999
ACH-000279,-0.8253543333840001
ACH-000280,-0.277328305915
ACH-000281,-0.393292690488
ACH-000288,-0.4388093374
ACH-000291,-0.316923515681
ACH-000293,-0.32300405664500004
ACH-000294,-0.093225060171
ACH-000295,-0.7450013540549999
ACH-000296,-0.32345830875799997
ACH-000302,-0.307681007803
ACH-000304,-0.67861976162
ACH-000307,-0.7197107269419999
ACH-000308,-0.5039217021679999
ACH-000310,-0.5843162507190001
ACH-000311,-0.287583527804
ACH-000312,-0.689515525089
ACH-000315,-1.0831840219600002
ACH-000316,-0.4659993176100001
ACH-000317,-0.209715768484
ACH-000318,-0.106847478224
ACH-000319,-0.191718773171
ACH-000320,-0.883200598239
ACH-000322,-0.778745375142
ACH-000323,-0.40922712416100004
ACH-000324,-0.139828971683
ACH-000329,-0.538007129894
ACH-000330,-0.284763981214
ACH-000331,-0.7754770795129999
ACH-000332,-0.925306968638
