,YKT6 (10652)
ACH-000004,-1.36139405446
ACH-000007,-1.45582698791
ACH-000009,-1.39205613787
ACH-000011,-1.20079755831
ACH-000012,-1.30221939215
ACH-000013,-1.48920530982
ACH-000014,-1.34910224533
ACH-000015,-1.4425401706299998
ACH-000017,-1.2222519434299999
ACH-000018,-1.3819557622499998
ACH-000019,-1.64088673238
ACH-000021,-1.34709514727
ACH-000022,-1.58386433764
ACH-000025,-1.06861444904
ACH-000028,-1.1909010119
ACH-000030,-1.25044846888
ACH-000035,-1.30519409542
ACH-000036,-1.3217532881799998
ACH-000037,-1.34058246611
ACH-000039,-1.24593253093
ACH-000040,-1.29388023385
ACH-000041,-1.4192845053799998
ACH-000042,-1.31911996899
ACH-000045,-1.33659246186
ACH-000047,-1.22736450967
ACH-000052,-1.5194387095100002
ACH-000053,-1.50887393783
ACH-000054,-1.3558633212600002
ACH-000055,-1.4677263135799998
ACH-000060,-1.54980280873
ACH-000067,-0.5390871562349999
ACH-000070,-1.35094466962
ACH-000075,-1.21596928893
ACH-000078,-1.1998756306899998
ACH-000082,-1.98955822095
ACH-000085,-1.34427790842
ACH-000086,-1.44863292541
ACH-000087,-1.1151994836399999
ACH-000092,-1.6265101710299998
ACH-000095,-1.57167889784
ACH-000097,-1.50393811034
ACH-000098,-1.43366907254
ACH-000099,-1.2535241510500001
ACH-000108,-1.31810694893
ACH-000113,-1.2025583107200002
ACH-000115,-1.4762465760499999
ACH-000116,-1.30075541235
ACH-000118,-1.35934777864
ACH-000120,-1.17139095085
ACH-000123,-1.3295993838
ACH-000127,-1.5390996910499999
ACH-000128,-1.39106906996
ACH-000132,-1.49267374913
ACH-000133,-1.4383132937099998
ACH-000137,-1.0346895941399998
ACH-000138,-1.30134280097
ACH-000142,-1.4953439987900001
ACH-000143,-1.3773666129700002
ACH-000146,-1.4850401035499998
ACH-000148,-1.45817163192
ACH-000150,-1.46218897382
ACH-000152,-1.61784129522
ACH-000153,-1.65148466462
ACH-000159,-1.4446155896700001
ACH-000160,-1.64825477049
ACH-000163,-1.3093408086700002
ACH-000167,-1.4029632490200001
ACH-000168,-1.2496834664799998
ACH-000169,-1.47206579769
ACH-000178,-1.32153107999
ACH-000182,-1.25640641646
ACH-000183,-1.5064032134099998
