,SEPW1 (6415)
ACH-000004,-0.504661141083
ACH-000007,0.05172639417830001
ACH-000009,-0.20544194221099998
ACH-000011,-0.525590152021
ACH-000012,-0.385226608887
ACH-000013,-0.402796240752
ACH-000014,-0.0670381846916
ACH-000015,-0.335943944349
ACH-000017,-0.153358914896
ACH-000018,-0.761941820677
ACH-000019,-0.15858080751599998
ACH-000021,-0.38406109831999996
ACH-000022,-0.283491369257
ACH-000025,-0.16519378048900002
ACH-000028,-0.411470956366
ACH-000030,-0.327735578481
ACH-000035,-0.23932906312
ACH-000036,-0.34698391719899996
ACH-000037,-0.240378404128
ACH-000039,-0.218101962778
ACH-000040,-0.373861285147
ACH-000041,-0.33684829200800004
ACH-000042,-0.33557961952699994
ACH-000045,-0.33878395594800004
ACH-000047,-0.23300815065000002
ACH-000052,-0.252653008627
ACH-000053,-0.52237638688
ACH-000054,-0.40197387856100003
ACH-000055,-0.286049494261
ACH-000060,-0.210372990232
ACH-000067,-0.44025609113799996
ACH-000070,-0.33960259328599995
ACH-000075,-0.15731218574
ACH-000078,-0.486955495993
ACH-000082,-0.179938095325
ACH-000085,-0.40682612054399997
ACH-000086,-0.369523474114
ACH-000087,-0.392697020184
ACH-000092,-0.314455586531
ACH-000095,-0.24766194505
ACH-000097,-0.38909140507
ACH-000098,-0.368105113411
ACH-000099,-0.194449764697
ACH-000108,-0.377016527064
ACH-000113,-0.154036351328
ACH-000115,-0.732293918234
ACH-000116,-0.17877543829599998
ACH-000118,-0.302785675062
ACH-000120,-0.14670441303099999
ACH-000123,-0.39223625587600003
ACH-000127,-0.46978531237599996
ACH-000128,-0.20543010030699999
ACH-000132,-0.33127618295
ACH-000133,-0.340964957332
ACH-000137,-0.468184257829
ACH-000138,-0.199263237662
ACH-000142,-0.389276701192
ACH-000143,-0.058185475964
ACH-000146,-0.20106955265999998
ACH-000148,-0.247912044809
ACH-000150,-0.445921134076
ACH-000152,-0.239470539739
ACH-000153,-0.598569785613
ACH-000159,-0.43494684984800003
ACH-000160,-0.267173965813
ACH-000163,-0.17343110559099997
ACH-000167,-0.231788007738
ACH-000168,-0.47263969061300004
ACH-000169,-0.373932904463
ACH-000178,-0.35191847552199995
ACH-000182,-0.348842334829
ACH-000183,-0.11572879731699999
ACH-000188,-0.176156237103
ACH-000189,-0.363322272289
ACH-000190,-0.230053671353
ACH-000198,-0.38099792467
ACH-000204,-0.7241478747869999
ACH-000206,-0.5935762274440001
ACH-000207,-0.387785403987
ACH-000211,-0.344267285258
ACH-000215,-0.326881569605
ACH-000221,-0.233856137746
ACH-000222,-0.264796611182
ACH-000223,-0.361338289604
ACH-000226,-0.37423993108900006
ACH-000227,-0.429025418269
ACH-000228,-0.15515674311799998
ACH-000231,-0.16143865979699998
ACH-000232,-0.552680380906
ACH-000233,-0.259173784244
ACH-000234,-0.346606417806
ACH-000235,-0.38670541586900004
ACH-000237,-0.391160327839
ACH-000238,-0.187466584705
ACH-000243,-0.26839481406300003
ACH-000244,-0.25496999604000004
ACH-000246,-0.38273080707900003
ACH-000248,-0.458868314382
ACH-000250,-0.429405999547
ACH-000251,-0.289120521358
ACH-000253,-0.313383203651
ACH-000255,-0.476882582659
ACH-000256,-0.159329075295
ACH-000257,-0.4624569781
ACH-000258,-0.33948635603200006
ACH-000259,-0.310190863663
ACH-000260,-0.25168178509
ACH-000261,-0.28362978636
ACH-000262,-0.352749661834
ACH-000263,-0.09544661110330001
ACH-000264,-0.284795214533
ACH-000265,-0.251789689436
ACH-000266,-0.418023465038
ACH-000272,-0.21931351810400002
ACH-000273,-0.3000986045
ACH-000274,-0.233285306347
ACH-000277,-0.396964063972
ACH-000278,-0.272756090833
ACH-000279,-0.274813270477
ACH-000280,-0.47210514455499997
ACH-000281,-0.218363341252
ACH-000288,-0.190762269437
ACH-000291,-0.429000309229
ACH-000293,-0.511080576544
ACH-000294,-0.858967888301
ACH-000295,-0.530002743795
ACH-000296,-0.35904733179
ACH-000302,-0.251799346046
ACH-000304,-0.45596870953
ACH-000307,-0.41988895128700005
ACH-000308,-0.268570299911
ACH-000310,-0.31854192242699997
ACH-000311,-0.19866182037
ACH-000312,-0.30477663015
ACH-000315,-0.150045571083
ACH-000316,-0.135890905724
ACH-000317,-0.303305532862
ACH-000318,-0.42138334916599995
ACH-000319,-0.414133162086
ACH-000320,-0.166769297878
ACH-000322,-0.12526169130200002
ACH-000323,-0.461312519016
ACH-000324,-0.32423844727699996
ACH-000329,-0.384588465079
ACH-000330,-0.25613480995099996
ACH-000331,-0.224889363743
ACH-000332,-0.323937823833
ACH-000334,-0.158295030198
ACH-000335,-0.157048871433
ACH-000336,-0.31969151248000005
ACH-000337,0.183657051684
ACH-000339,-0.516703003519
ACH-000341,-0.33903326623700003
ACH-000348,-0.259646461738
ACH-000350,-0.230502392296
ACH-000352,-0.46618681476
ACH-000356,-0.585311478339
ACH-000361,-0.534324270331
ACH-000362,-0.237557047159
ACH-000363,-0.386172156215
ACH-000364,-0.41055710209799995
ACH-000365,-0.283858145781
ACH-000366,-0.432213262694
ACH-000368,-0.247703398618
ACH-000374,-0.16803633128400003
ACH-000375,-0.39289927923100004
ACH-000376,-0.271520494931
ACH-000381,-0.419645275866
ACH-000383,-0.377618674539
ACH-000387,-0.149802755274
ACH-000389,-0.38298338901600004
ACH-000390,-0.435324639411
ACH-000393,-0.236174389159
ACH-000395,-0.468472270232
ACH-000397,-0.37016151870999997
ACH-000401,-0.434289342829
ACH-000402,-0.557854745454
ACH-000403,-0.250602843922
ACH-000404,-0.323254793692
ACH-000406,-0.21601996032600002
ACH-000407,-0.550608292096
ACH-000408,-0.396393424023
ACH-000410,-0.18137112092500002
ACH-000411,-0.35434092817
ACH-000414,-0.320033315779
ACH-000415,-0.179037370489
ACH-000416,-0.323077907509
ACH-000420,-0.385725373138
ACH-000421,-0.208112198591
ACH-000424,0.0136642770774
ACH-000425,-0.238614808726
ACH-000426,-0.426097256061
ACH-000427,-0.373554641899
ACH-000433,-0.08580971275139998
ACH-000436,-0.229671976934
ACH-000444,-0.300171332041
ACH-000445,-0.18686172590300001
ACH-000448,-0.322468553867
ACH-000450,-0.543110069499
ACH-000452,-0.217253561252
ACH-000454,0.004980294900680001
ACH-000458,-0.287974563369
ACH-000459,-0.249903498338
ACH-000460,-0.458657988119
ACH-000461,-0.34804887096299997
ACH-000463,-0.290185646595
ACH-000464,-0.153589240715
ACH-000466,-0.400421537548
ACH-000467,-0.116346257826
ACH-000468,-0.286437557938
ACH-000469,-0.355571044107
ACH-000470,-0.303367207298
ACH-000471,-0.34240068109899996
ACH-000472,-0.434177111105
ACH-000473,-0.206206028192
ACH-000475,-0.334358403844
ACH-000476,-0.375614667732
ACH-000477,-0.155447741683
ACH-000480,-0.35821411260799996
ACH-000481,-0.476385697403
ACH-000483,-0.328921081789
ACH-000484,-0.40370167293799997
ACH-000485,-0.259933600873
ACH-000486,-0.40117910915399996
ACH-000487,-0.461994530902
ACH-000488,-0.29269474278700003
ACH-000490,-0.255283816934
ACH-000491,-0.0944931446084
ACH-000495,-0.44901450013300004
ACH-000496,-0.125316838962
ACH-000499,-0.414868012456
ACH-000500,0.339382040225
ACH-000502,-0.329955733061
ACH-000503,-0.23186362019099999
ACH-000505,-0.47324521919699997
ACH-000507,-0.393927431329
ACH-000510,-0.549560282385
ACH-000511,-0.330670709187
ACH-000512,0.00236152537544
ACH-000516,-0.33700265782399996
ACH-000517,-0.32977573916700004
ACH-000518,-0.5115843083680001
ACH-000520,-0.18299483928100002
ACH-000521,-0.512570847512
ACH-000522,-0.169513611462
ACH-000524,-0.383924053762
ACH-000527,-0.316883752623
ACH-000528,-0.372988654965
ACH-000537,-0.364904141774
ACH-000541,0.0340684632119
ACH-000542,-0.376981919395
ACH-000544,-0.250358944669
ACH-000545,-0.282881805345
ACH-000547,-0.0737762866356
ACH-000548,-0.168248478799
ACH-000549,-0.434151950184
ACH-000550,-0.21513159584600003
ACH-000552,-0.37770514405199995
ACH-000556,-0.515247458949
ACH-000557,-0.291051344586
ACH-000570,-0.28348474327
ACH-000571,-0.455785185361
ACH-000573,-0.14742783705999998
ACH-000576,-0.567006070438
ACH-000580,-0.50301449374
ACH-000584,-0.25545934568000006
ACH-000585,-0.41070993453500004
ACH-000588,-0.489712876449
ACH-000589,-0.5024651168
ACH-000591,-0.711794362572
ACH-000593,-0.388221830344
ACH-000600,-0.2959967877
ACH-000601,-0.38831613207599996
ACH-000604,-0.25943827593400004
ACH-000605,-0.519368775163
ACH-000606,-0.453518121966
ACH-000608,-0.354475315008
ACH-000614,-0.384656438737
ACH-000616,-0.430447589173
ACH-000618,-0.313668875099
ACH-000619,-0.135891800717
