,FBN3 (84467)
ACH-000004,-0.505193526084
ACH-000007,-0.273695772795
ACH-000009,-0.06104684148080001
ACH-000011,-0.53046365689
ACH-000012,-0.344500480668
ACH-000013,-0.378241795003
ACH-000014,-0.24160826457100001
ACH-000015,-0.457161808242
ACH-000017,-0.23885765900199998
ACH-000018,-0.544989401142
ACH-000019,-0.39833318007
ACH-000021,-0.490477500064
ACH-000022,-0.265974689481
ACH-000025,-0.552860437019
ACH-000028,-0.254716758477
ACH-000030,-0.438349538834
ACH-000035,-0.332039692671
ACH-000036,-0.341410053069
ACH-000037,-0.186654454111
ACH-000039,-0.5471135826160001
ACH-000040,-0.516849813952
ACH-000041,-0.27580755214200003
ACH-000042,-0.42720887607
ACH-000045,-0.204949816441
ACH-000047,-0.277319101451
ACH-000052,-0.566087559765
ACH-000053,-0.33210215707400004
ACH-000054,-0.27632131889
ACH-000055,-0.422091710688
ACH-000060,-0.342965029278
ACH-000067,-0.418567286313
ACH-000070,-0.380386777668
ACH-000075,-0.515111806744
ACH-000078,-0.364056296968
ACH-000082,-0.276014637767
ACH-000085,-0.451262926435
ACH-000086,-0.330982997338
ACH-000087,-0.297337636511
ACH-000092,-0.5005293465089999
ACH-000095,-0.382733842645
ACH-000097,-0.294012057318
ACH-000098,-0.386279828309
ACH-000099,-0.305378804568
ACH-000108,-0.292786426649
ACH-000113,-0.265287852394
ACH-000115,-0.39736909170900003
ACH-000116,-0.341257849954
ACH-000118,-0.465732995818
ACH-000120,-0.28003628495
ACH-000123,-0.310630397313
ACH-000127,-0.465544149842
ACH-000128,-0.488228194082
ACH-000132,-0.262133764932
ACH-000133,-0.291308505964
ACH-000137,-0.296616747033
ACH-000138,-0.38768350788500006
ACH-000142,-0.33267444065900004
ACH-000143,-0.484532497721
ACH-000146,-0.460790451721
ACH-000148,-0.142219067149
ACH-000150,-0.25270499175
ACH-000152,-0.264376497761
ACH-000153,-0.22226300158000004
ACH-000159,-0.405520748628
ACH-000160,-0.120284051872
ACH-000163,-0.386022432539
ACH-000167,-0.431197518503
ACH-000168,-0.34216000431599997
ACH-000169,-0.340351134708
ACH-000178,-0.429710718204
ACH-000182,-0.331690386364
ACH-000183,-0.44388691912199996
ACH-000188,-0.650740827301
ACH-000189,-0.268087285543
ACH-000190,-0.137625745958
ACH-000198,-0.37371554657399997
ACH-000204,-0.555690191224
ACH-000206,-0.123136697334
ACH-000207,-0.28128838083700003
ACH-000211,-0.31377539449999997
ACH-000215,-0.36216358352399997
ACH-000221,-0.24066787719799998
ACH-000222,-0.255731106718
ACH-000223,-0.318274964818
ACH-000226,-0.24111192364
ACH-000227,-0.0228028662866
ACH-000228,-0.487153178904
ACH-000231,-0.138695973634
ACH-000232,-0.333572331152
ACH-000233,-0.35310721326800004
ACH-000234,-0.290106569758
ACH-000235,-0.318845625044
ACH-000237,-0.27730359252
ACH-000238,-0.157409659885
ACH-000243,-0.49945693416299997
ACH-000244,-0.00132352487335
ACH-000246,-0.48136716940499996
ACH-000248,-0.256614081523
ACH-000250,-0.36379586907399997
ACH-000251,-0.431712666555
ACH-000253,-0.33618595109899996
ACH-000255,-0.353669867545
ACH-000256,-0.161246128814
ACH-000257,-0.166872182371
ACH-000258,-0.493775740498
ACH-000259,-0.302933376706
ACH-000260,-0.48502169338600004
ACH-000261,-0.329729575896
ACH-000262,-0.6930898752760001
ACH-000263,-0.14093954677
ACH-000264,-0.221276383858
ACH-000265,-0.345380849573
ACH-000266,-0.355167196643
ACH-000272,-0.610451433309
ACH-000273,-0.179915541979
ACH-000274,-0.273240563449
ACH-000277,-0.317313834197
ACH-000278,-0.324369485897
ACH-000279,-0.320869397555
ACH-000280,-0.468532894856
ACH-000281,-0.45642924312
ACH-000288,-0.18415274102899998
ACH-000291,-0.40456348748000004
ACH-000293,-0.481934762566
ACH-000294,-0.552568308534
ACH-000295,-0.223686672205
ACH-000296,-0.33096389519499997
ACH-000302,-0.486131613023
ACH-000304,-0.32889204071600003
ACH-000307,-0.31831183332199997
ACH-000308,-0.360193843217
ACH-000310,-0.373114052027
ACH-000311,-0.278026001388
ACH-000312,-0.22410415019000002
ACH-000315,-0.32147961647100004
ACH-000316,-0.2969114624
ACH-000317,-0.31714930661699997
ACH-000318,-0.265525342529
ACH-000319,-0.474105013733
ACH-000320,-0.218015950673
ACH-000322,-0.182278222942
ACH-000323,-0.498397878562
ACH-000324,-0.375968499631
ACH-000329,-0.14663995457
ACH-000330,-0.0847790379583
ACH-000331,-0.35875424360200003
ACH-000332,-0.356187102895
ACH-000334,-0.566003086416
ACH-000335,-0.348585383621
ACH-000336,-0.500144230194
ACH-000337,-0.266680060183
ACH-000339,-0.504385367362
ACH-000341,-0.630329509775
ACH-000348,-0.39622602331699996
ACH-000350,-0.40720758180600003
ACH-000352,-0.263581292674
ACH-000356,-0.204840130808
ACH-000361,-0.46267130626599995
ACH-000362,-0.234725777318
ACH-000363,-0.315724056113
ACH-000364,-0.379532801061
ACH-000365,-0.42161253964699996
ACH-000366,-0.329030251653
ACH-000368,-0.432698087402
ACH-000374,-0.472155872338
ACH-000375,-0.40758787939
ACH-000376,-0.09967523025010001
ACH-000381,-0.37297686306199995
ACH-000383,-0.419570028785
ACH-000387,-0.385493190794
ACH-000389,-0.621975097192
ACH-000390,-0.38258466316399997
ACH-000393,-0.426636512342
ACH-000395,-0.68717543657
