,PCED1B (91523)
ACH-000004,-0.5168209280030001
ACH-000007,-0.420418831172
ACH-000009,-0.308285035936
ACH-000011,-0.431956778544
ACH-000012,-0.304643951443
ACH-000013,-0.461424591244
ACH-000014,-0.402964588072
ACH-000015,-0.484804584419
ACH-000017,-0.25191870666099997
ACH-000018,-0.613419548807
ACH-000019,-0.405756196537
ACH-000021,-0.195650112138
ACH-000022,-0.42723859164899997
ACH-000025,-0.558003877305
ACH-000028,-0.310079761725
ACH-000030,-0.334462188436
ACH-000035,-0.504020541435
ACH-000036,-0.254824653193
ACH-000037,-0.36808278159
ACH-000039,-0.470738659662
ACH-000040,-0.24635779706900002
ACH-000041,-0.82439379764
ACH-000042,-0.29005821959399997
ACH-000045,-0.13217795589099998
ACH-000047,-0.30820943697700004
ACH-000052,-0.577265027277
ACH-000053,-0.293669526091
ACH-000054,-0.6772444309190001
ACH-000055,-0.0895554975538
ACH-000060,-0.354305344312
ACH-000067,-0.254545866844
ACH-000070,-0.272250881059
ACH-000075,-0.721524181988
ACH-000078,-0.34427287564900005
ACH-000082,-0.189563123548
ACH-000085,-0.120135086623
ACH-000086,-0.736056119491
ACH-000087,-0.499219341084
ACH-000092,-0.473531869428
ACH-000095,-0.25717708086
ACH-000097,-0.163439440524
ACH-000098,-0.283165722807
ACH-000099,-0.25141605762499997
ACH-000108,-0.154977314713
ACH-000113,-0.280580599148
ACH-000115,-0.333595592997
ACH-000116,-0.338286895119
ACH-000118,-0.316369640705
ACH-000120,-0.629280502956
ACH-000123,-0.37272331173199996
ACH-000127,-0.343560326515
ACH-000128,-0.447863626624
ACH-000132,-0.271993174153
ACH-000133,-0.383308009422
ACH-000137,-0.38091908188699997
ACH-000138,-0.31321444751999994
ACH-000142,-0.49424622759400005
ACH-000143,-0.592725062626
ACH-000146,-0.533244839596
ACH-000148,-0.347662642
ACH-000150,-0.323253343833
ACH-000152,-0.42810959786200004
ACH-000153,-0.445398355428
ACH-000159,-0.341483986364
ACH-000160,-0.389516335813
ACH-000163,-0.24134068187899999
ACH-000167,-0.748488222182
ACH-000168,-0.37707735394
ACH-000169,-0.22305064777
ACH-000178,-0.19039474481199997
ACH-000182,-0.27771261137200004
ACH-000183,-0.191140548588
ACH-000188,-0.327570330975
ACH-000189,-0.701983521284
ACH-000190,-0.50119398864
ACH-000198,-0.47126791581
ACH-000204,-0.379746980371
ACH-000206,0.00672571152759
ACH-000207,-0.487850726665
ACH-000211,-0.399803421399
ACH-000215,-0.6435073569340001
ACH-000221,-0.45714834613300004
ACH-000222,-0.43675351347499997
ACH-000223,-0.533123900536
ACH-000226,-0.36459835091799997
ACH-000227,-0.364033534099
ACH-000228,-0.290956459316
ACH-000231,-0.246646198259
ACH-000232,-0.516958306944
ACH-000233,-0.250777307706
ACH-000234,-0.1756797925
ACH-000235,-0.508773954949
ACH-000237,-0.320156946344
ACH-000238,-0.532456424157
ACH-000243,-0.36145644481399997
ACH-000244,-0.5728415440169999
ACH-000246,-0.248246517058
ACH-000248,-0.5737311291170001
ACH-000250,-0.37194898761399997
ACH-000251,-0.12314911269500001
ACH-000253,-0.128473732814
ACH-000255,-0.305497561547
ACH-000256,-0.327026805922
ACH-000257,-0.108343567494
ACH-000258,-0.013031387368700001
ACH-000259,-0.267481521823
ACH-000260,-0.38947032795000003
ACH-000261,-0.43442011651
ACH-000262,-0.394335011196
ACH-000263,-0.528468392157
ACH-000264,-0.549794563961
ACH-000265,-0.43363121187799997
ACH-000266,-0.403349588898
ACH-000272,-0.395937449619
ACH-000273,-0.34336837566399997
ACH-000274,-0.407810210321
ACH-000277,-0.21265905497999998
ACH-000278,-0.430043505228
ACH-000279,-0.5246045141669999
ACH-000280,-0.252453880306
ACH-000281,-0.743388715157
ACH-000288,-0.436369422091
ACH-000291,-0.194881369411
ACH-000293,-0.358395432436
ACH-000294,-0.410038025117
ACH-000295,-0.33578799096699996
ACH-000296,-0.246711127482
ACH-000302,-0.319215346874
ACH-000304,-0.102954373631
ACH-000307,-0.27529003570099997
ACH-000308,-0.481456184969
ACH-000310,0.0966708506009
ACH-000311,-0.370390921015
ACH-000312,-0.418202104692
ACH-000315,-0.478136121905
ACH-000316,-0.297082030051
ACH-000317,-0.325221607723
ACH-000318,-0.5627291269129999
ACH-000319,-0.5747329350079999
ACH-000320,-0.160171752917
ACH-000322,-0.100844993992
ACH-000323,-0.287543786776
ACH-000324,-0.274478422056
ACH-000329,-0.419685391609
ACH-000330,-0.24433828713300002
ACH-000331,-0.44177965669200003
ACH-000332,-0.292420353056
ACH-000334,-0.308197989981
ACH-000335,-0.536847225817
ACH-000336,-0.36204002430200005
ACH-000337,-0.233700019131
ACH-000339,-0.369042779067
ACH-000341,-0.6111630886739999
ACH-000348,-0.234136905834
ACH-000350,-0.36168860721600005
ACH-000352,-0.470478306072
ACH-000356,-0.254163914499
ACH-000361,-0.27798048298
ACH-000362,-0.23573667286400002
ACH-000363,-0.359925263013
ACH-000364,-0.45617177115400004
ACH-000365,-0.617261787844
ACH-000366,-0.308597981817
ACH-000368,-0.47066395741300004
ACH-000374,-0.457066568619
ACH-000375,-0.322382229479
ACH-000376,-0.317780696546
ACH-000381,-0.470535935322
ACH-000383,-0.388562100349
ACH-000387,-0.481157051273
ACH-000389,-0.140731124575
ACH-000390,-0.362217694612
ACH-000393,-0.33119721584199996
ACH-000395,-0.28372030141800003
ACH-000397,-0.38582969028499997
ACH-000401,-0.205015854115
ACH-000402,-0.38647452741300004
ACH-000403,-0.342940153094
ACH-000404,-0.329701474344
ACH-000406,-0.322782729855
ACH-000407,-0.39427602581200005
ACH-000408,-0.837522665563
