,DPRX (503834)
ACH-000004,-0.315776489284
ACH-000007,-0.318388210305
ACH-000009,-0.24177407978100002
ACH-000011,-0.192149792379
ACH-000012,-0.08547451073110002
ACH-000013,-0.73603388018
ACH-000014,0.0838848454114
ACH-000015,-0.22842396342500002
ACH-000017,-0.14142278604699998
ACH-000018,-0.28513271876999996
ACH-000019,-0.224131644417
ACH-000021,-0.220849792978
ACH-000022,-0.256732036855
ACH-000025,-0.11311788747099999
ACH-000028,-0.0638532874574
ACH-000030,-0.37806569211900004
ACH-000035,-0.283284461263
ACH-000036,-0.120999579741
ACH-000037,-0.117742726137
ACH-000039,-0.366155117072
ACH-000040,-0.110081635123
ACH-000041,-0.239362280363
ACH-000042,-0.114767296061
ACH-000045,-0.244829507517
ACH-000047,-0.227093277197
ACH-000052,-0.09927290940719999
ACH-000053,-0.113140952494
ACH-000054,-0.17874994728399998
ACH-000055,-0.07123603446019999
ACH-000060,-0.030246247389500002
ACH-000067,-0.08830720528899999
ACH-000070,-0.0156080458799
ACH-000075,0.0838276514576
ACH-000078,-0.20650957873
ACH-000082,0.0128941877891
ACH-000085,0.102523103889
ACH-000086,-0.187655976603
ACH-000087,-0.0713965536025
ACH-000092,-0.08365328396669999
ACH-000095,-0.15731161383199999
ACH-000097,-0.153383308236
ACH-000098,-0.273024036804
ACH-000099,-0.297947092482
ACH-000108,-0.284312317134
ACH-000113,-0.07238094507389999
ACH-000115,-0.295314765163
ACH-000116,-0.0772725630427
ACH-000118,-0.103343965008
ACH-000120,-0.272290785337
ACH-000123,-0.147054166813
ACH-000127,-0.0227069286119
ACH-000128,0.0965457398598
ACH-000132,-0.100800360384
ACH-000133,-0.286795196828
ACH-000137,-0.0255531559956
ACH-000138,-0.208187491976
ACH-000142,-0.436409095828
ACH-000143,-0.158490734429
ACH-000146,-0.0504702840448
ACH-000148,-0.222664930176
ACH-000150,-0.24741643154399998
ACH-000152,-0.241667432362
ACH-000153,-0.018603346077700002
ACH-000159,-0.17869014584000004
ACH-000160,-0.0190821855863
ACH-000163,-0.116678484648
ACH-000167,-0.30461744904599997
ACH-000168,-0.271240345164
ACH-000169,-0.284048492464
ACH-000178,-0.285814353358
ACH-000182,-0.05304038505530001
