,H2AFY (9555)
ACH-000004,-0.43733481806900004
ACH-000007,-0.326470672923
ACH-000009,-0.062473308588899996
ACH-000011,-0.147775271485
ACH-000012,-0.10994213859200001
ACH-000013,-0.16229183912200001
ACH-000014,-0.37446044405199996
ACH-000015,-0.324773870397
ACH-000017,0.0034987021286
ACH-000018,-0.284441929485
ACH-000019,-0.290678953623
ACH-000021,-0.155889884442
ACH-000022,-0.0445969237512
ACH-000025,-0.0742861336495
ACH-000028,0.0472970801919
ACH-000030,-0.20517093338599998
ACH-000035,-0.057285537322100004
ACH-000036,-0.36007378241800003
ACH-000037,-0.302885183881
ACH-000039,-0.204645892976
ACH-000040,-0.046480953628400004
ACH-000041,0.041962648566500005
ACH-000042,-0.211851413759
ACH-000045,-0.445036124723
ACH-000047,-0.042530104451299997
ACH-000052,-0.498149167267
ACH-000053,-0.29258125378600003
ACH-000054,-0.290176164726
ACH-000055,-0.484982466192
ACH-000060,-0.0851810563833
ACH-000067,-0.059694471463800004
ACH-000070,-0.209828752512
ACH-000075,-0.287039571771
ACH-000078,-0.019222311776999998
ACH-000082,-0.278537619532
ACH-000085,-0.517632967028
ACH-000086,-0.32459253902199997
ACH-000087,0.058209923190800004
ACH-000092,-0.190873540702
ACH-000095,-0.290796028799
ACH-000097,-0.0373195475904
ACH-000098,-0.193322793888
ACH-000099,-0.204394338563
ACH-000108,-0.199775352954
ACH-000113,-0.16311583387599998
ACH-000115,-0.44605674618600005
ACH-000116,-0.15561006586200002
ACH-000118,-0.106058006095
ACH-000120,-0.110448033741
ACH-000123,-0.22887956094300002
ACH-000127,-0.32277936568000004
ACH-000128,-0.176794829168
ACH-000132,-0.0147790178212
ACH-000133,-0.135747133573
ACH-000137,-0.333038945118
ACH-000138,-0.365933109032
ACH-000142,-0.0800582942905
ACH-000143,-0.26797303715799997
ACH-000146,-0.17042656740899997
ACH-000148,-0.19036551085
ACH-000150,-0.0228230957247
ACH-000152,-0.14694356973300002
ACH-000153,-0.17410031969
ACH-000159,-0.29829863393399997
ACH-000160,0.283435675686
ACH-000163,-0.28156140876999997
ACH-000167,0.522460111602
ACH-000168,-0.228433893959
ACH-000169,-0.27290022961
ACH-000178,-0.34883393568800003
ACH-000182,-0.10165226694599999
ACH-000183,-0.22659997637499998
ACH-000188,-0.283940489141
ACH-000189,0.10916827361300001
ACH-000190,0.16051563147
ACH-000198,-0.315530807759
ACH-000204,-0.303146343048
ACH-000206,-0.17720598445099997
ACH-000207,0.0213249382718
ACH-000211,-0.236374410041
ACH-000215,-0.10724581618899999
ACH-000221,-0.390662516783
ACH-000222,-0.179999548885
ACH-000223,-0.152509360087
ACH-000226,-0.29238088091
ACH-000227,-0.23408801351999997
ACH-000228,-0.42733814014300003
ACH-000231,-0.254197171534
ACH-000232,-0.21579731394499999
ACH-000233,-0.25441823485
ACH-000234,-0.307654992768
ACH-000235,-0.047763550308300005
ACH-000237,-0.0285059847693
ACH-000238,-0.0886030369688
ACH-000243,-0.0962948190546
ACH-000244,0.054380879394699995
ACH-000246,-0.320735039407
ACH-000248,-0.204493973922
ACH-000250,-0.04201437582769999
ACH-000251,-0.177154935088
ACH-000253,-0.0489218819649
ACH-000255,-0.0317946820992
ACH-000256,-0.0820390715128
ACH-000257,-0.291327405719
ACH-000258,-0.534838250145
ACH-000259,-0.18783640054900003
ACH-000260,-0.185147317996
ACH-000261,-0.131860114319
ACH-000262,-0.382713517346
ACH-000263,-0.39651094788099994
ACH-000264,-0.392878684225
ACH-000265,-0.194451978643
ACH-000266,-0.348024588832
ACH-000272,-0.27441856582699997
ACH-000273,-0.192817216866
ACH-000274,-0.258044455159
ACH-000277,-0.09974801892239998
ACH-000278,-0.015682086408500003
ACH-000279,-0.334674223111
ACH-000280,-0.0341177593289
ACH-000281,-0.33723601413800003
ACH-000288,-0.04478542696269999
ACH-000291,-0.134638425712
ACH-000293,-0.24233650809300003
ACH-000294,-0.0796094839366
ACH-000295,-0.039414568010000005
ACH-000296,-0.0717649251559
ACH-000302,-0.17776352313700003
ACH-000304,0.0265309572455
ACH-000307,-0.269627250518
ACH-000308,-0.09490657790689999
ACH-000310,-0.25128239408
ACH-000311,-0.034134615876599994
ACH-000312,-0.25108979969399997
ACH-000315,0.0402095868477
ACH-000316,-0.261278295119
ACH-000317,-0.423489122456
ACH-000318,-0.100886805942
ACH-000319,-0.243032719497
ACH-000320,-0.400293023336
ACH-000322,-0.281486110458
ACH-000323,-0.151243300871
ACH-000324,-0.19249886458299997
ACH-000329,-0.21533930152300002
ACH-000330,-0.176343500165
ACH-000331,-0.21340165697000002
ACH-000332,-0.126437536895
ACH-000334,-0.049843938850099995
ACH-000335,-0.047501402781499995
ACH-000336,-0.16359017967199999
ACH-000337,-0.383446942571
ACH-000339,-0.147464427202
ACH-000341,-0.291485952371
ACH-000348,-0.133779378814
ACH-000350,-0.288130826662
ACH-000352,-0.22905828259
ACH-000356,-0.0915813471865
ACH-000361,-0.320284887599
ACH-000362,-0.229344087121
ACH-000363,-0.213339078482
ACH-000364,0.0482529030798
ACH-000365,-0.132034753019
ACH-000366,-0.148329917671
ACH-000368,-0.5487996357079999
ACH-000374,-0.0835469645987
ACH-000375,-0.327876140111
ACH-000376,-0.305493678383
ACH-000381,0.04924410227130001
ACH-000383,-0.221731963231
ACH-000387,-0.41681158080499997
ACH-000389,-0.123994024244
ACH-000390,-0.19103926173500002
ACH-000393,-0.33638359962
ACH-000395,-0.08706139497109999
ACH-000397,-0.357188005768
ACH-000401,-0.0819601375609
ACH-000402,-0.08883996550960001
ACH-000403,-0.323466399985
ACH-000404,-0.09498270993310001
ACH-000406,-0.15268711943399998
ACH-000407,-0.253551895263
ACH-000408,-0.159907107582
ACH-000410,-0.0914491377
ACH-000411,-0.169988457649
ACH-000414,-0.247480888536
ACH-000415,-0.123364317733
ACH-000416,-0.149111294267
ACH-000420,-0.215150042851
ACH-000421,-0.17921016608399998
ACH-000424,-0.48804707357199995
ACH-000425,-0.29669094108399996
ACH-000426,-0.272619640808
ACH-000427,-0.13721619376
ACH-000433,-0.20573532305199999
ACH-000436,-0.136070832474
ACH-000444,-0.08799278642370001
ACH-000445,-0.06975046573860001
ACH-000448,-0.164528567431
ACH-000450,-0.5495890152399999
ACH-000452,-0.11427589555600001
ACH-000454,-0.388634769777
ACH-000458,-0.19918342222
ACH-000459,-0.21770554395199998
ACH-000460,-0.285504916382
ACH-000461,-0.28557616131999997
ACH-000463,-0.290123982762
ACH-000464,-0.256603315695
ACH-000466,-0.254576160849
ACH-000467,-0.193196496182
ACH-000468,-0.421309650461
ACH-000469,0.111552338222
ACH-000470,-0.201898085575
ACH-000471,-0.2344988206
ACH-000472,-0.0838191135221
ACH-000473,-0.15682608736099998
ACH-000475,-0.210043341039
ACH-000476,-0.128163653878
ACH-000477,0.38213402014799996
ACH-000480,-0.18400394511799997
ACH-000481,-0.188494499102
ACH-000483,0.05743653906309999
ACH-000484,-0.316410262758
ACH-000485,-0.278183928354
ACH-000486,-0.0235981526194
ACH-000487,-0.312621008157
ACH-000488,-0.265038459675
ACH-000490,-0.271600575715
ACH-000491,-0.0539853163784
ACH-000495,-0.326506083146
ACH-000496,-0.15717409
ACH-000499,-0.0346075778534
ACH-000500,-0.0270449483809
ACH-000502,-0.0729300107404
ACH-000503,-0.129913272819
ACH-000505,-0.201976122673
ACH-000507,-0.162353882093
ACH-000510,-0.14593926332999999
ACH-000511,-0.165176779169
ACH-000512,-0.6893043306209999
ACH-000516,-0.0561772809664
ACH-000517,-0.101643700414
ACH-000518,-0.136705777808
ACH-000520,-0.43388522993199996
ACH-000521,-0.324069577248
ACH-000522,-0.269996035093
ACH-000524,-0.194193603845
ACH-000527,-0.16667217295700001
ACH-000528,-0.14403252150499998
ACH-000537,-0.334138618579
ACH-000541,-0.38678259967699996
ACH-000542,-0.213881132394
ACH-000544,-0.219881687884
ACH-000545,-0.0682038250784
ACH-000547,-0.33169975605
ACH-000548,-0.343920011595
ACH-000549,-0.33384758610599996
ACH-000550,-0.35820807380999997
ACH-000552,-0.266217875643
ACH-000556,-0.179793613156
ACH-000557,-0.243097422583
ACH-000570,-0.225486112104
ACH-000571,-0.204752317203
ACH-000573,-0.126128319383
ACH-000576,-0.37654073317000003
ACH-000580,-0.125460837734
ACH-000584,-0.127423150658
ACH-000585,-0.134787315692
ACH-000588,-0.41831913205300003
ACH-000589,-0.122068226716
ACH-000591,-0.214218456408
ACH-000593,-0.17704323642
ACH-000600,-0.296927723789
ACH-000601,-0.220175607243
ACH-000604,-0.180534661501
ACH-000605,-0.19721757093800002
ACH-000606,-0.21779493923700002
ACH-000608,-0.17969939967300003
ACH-000614,-0.11230892808199999
ACH-000616,-0.16239916855699998
ACH-000618,-0.204951311459
ACH-000619,-0.261230890778
ACH-000620,-0.119220414421
ACH-000621,-0.0323970685028
ACH-000622,-0.44794168238000004
ACH-000623,-0.14834317089500001
ACH-000624,-0.23096265044300002
ACH-000627,-0.151227280662
ACH-000630,-0.244381837933
ACH-000632,0.0138281212165
ACH-000633,-0.186218864496
ACH-000637,-0.216656000717
ACH-000638,-0.213169257013
ACH-000646,-0.0925463256206
ACH-000647,-0.142455827383
ACH-000648,-0.188555393404
ACH-000649,-0.22170790551600003
ACH-000651,-0.358525578253
ACH-000652,-0.495248153613
ACH-000653,-0.31157147162500004
ACH-000657,-0.180431186868
ACH-000658,-0.181749020212
ACH-000661,0.107032185968
ACH-000662,-0.217367944552
ACH-000663,-0.0715920962722
ACH-000665,-0.125374859448
ACH-000671,-0.0387276797889
ACH-000673,-0.272091677496
ACH-000676,-0.284771425232
ACH-000677,-0.020370049635
ACH-000681,-0.0265950931722
