,ORM2 (5005)
ACH-000004,0.09193974010719999
ACH-000007,0.037596826361800006
ACH-000009,-0.20185623208
ACH-000011,0.0198973826052
ACH-000012,0.0121311386763
ACH-000013,0.047488826368
ACH-000014,-0.0232485455402
ACH-000015,-0.0974073860706
ACH-000017,0.058921926310400004
ACH-000018,0.0777135196013
ACH-000019,0.136916141154
ACH-000021,-0.0780568885926
ACH-000022,0.0609651815415
ACH-000025,0.111857425568
ACH-000028,-0.017621039208
ACH-000030,0.00637815429853
ACH-000035,0.0662949383639
ACH-000036,-0.0769895976128
ACH-000037,-0.1514484998
ACH-000039,-0.0217019410748
ACH-000040,0.054784136011199996
ACH-000041,-0.0589876994001
ACH-000042,-0.12401657139000001
ACH-000045,-0.010585572520899998
ACH-000047,-0.0625268665024
ACH-000052,-0.16913289355900002
ACH-000053,0.083673270563
ACH-000054,-0.0407282402389
ACH-000055,-0.0682784634905
ACH-000060,-0.00393947846436
ACH-000067,-0.029751788265599998
ACH-000070,0.025126886829599997
ACH-000075,0.04775351621999999
ACH-000078,-0.183002228514
ACH-000082,-0.10442111291400001
ACH-000085,-0.0700562210129
ACH-000086,-0.147872415255
ACH-000087,-0.284064983303
ACH-000092,-0.0206557271474
ACH-000095,-0.0227463675672
ACH-000097,-0.06851078973069999
ACH-000098,0.18397733686099998
ACH-000099,0.0540327112922
ACH-000108,0.008810842298440001
ACH-000113,0.289602187771
ACH-000115,-0.112562359627
ACH-000116,0.121141119169
ACH-000118,-0.00852907671238
ACH-000120,0.106076963198
ACH-000123,0.148596127622
ACH-000127,-0.059681597299100005
ACH-000128,-0.107322970959
ACH-000132,-0.133538198517
ACH-000133,-0.08127355858289999
ACH-000137,0.06032214320280001
ACH-000138,-0.156632520024
ACH-000142,0.08157304079950001
ACH-000143,-0.19612675079300002
ACH-000146,-0.00255704352079
ACH-000148,0.0871590248453
ACH-000150,-0.0464033241284
ACH-000152,-0.082968499162
ACH-000153,0.296789295132
ACH-000159,-0.0665908460421
ACH-000160,-0.09200406547260001
ACH-000163,0.0810867724698
ACH-000167,0.20663042934300002
ACH-000168,-0.09024437749269999
ACH-000169,-0.043491028124
ACH-000178,-0.150170164261
ACH-000182,0.0451086873977
ACH-000183,0.132933422584
ACH-000188,-0.17930886459800002
ACH-000189,-0.114642221114
ACH-000190,-0.085631251868
