,ACTR1B (10120)
ACH-000004,-0.47818468617
ACH-000007,-0.31531406929
ACH-000009,-0.50482860305
ACH-000011,-0.415250401965
ACH-000012,-0.714988363108
ACH-000013,-0.5657743420269999
ACH-000014,-0.785705392155
ACH-000015,-0.8180594640090001
ACH-000017,-0.646493865174
ACH-000018,-0.441673360349
ACH-000019,-0.29677264938000003
ACH-000021,-0.42300502340199997
ACH-000022,-0.462476296449
ACH-000025,-0.538853122771
ACH-000028,-0.5076598597349999
ACH-000030,-1.07547409401
ACH-000035,-0.622704192086
ACH-000036,-0.438403624141
ACH-000037,-0.5564586848399999
ACH-000039,-0.551180683842
ACH-000040,-0.34762720878799996
ACH-000041,-0.5369933453360001
ACH-000042,-0.549354672486
ACH-000045,-0.464117123804
ACH-000047,-0.539231545174
ACH-000052,-0.440748891674
ACH-000053,-0.641478449433
ACH-000054,-0.590552579874
ACH-000055,-0.39482979188199996
ACH-000060,-0.379872720686
ACH-000067,-0.558017146838
ACH-000070,-0.736983113445
ACH-000075,-0.644802682758
ACH-000078,-0.48795400697700003
ACH-000082,-0.6625061350460001
ACH-000085,-0.544072326792
ACH-000086,-0.67739076411
ACH-000087,-0.43011268216799997
ACH-000092,-0.639116107387
ACH-000095,-0.703003590229
ACH-000097,-0.613341057055
ACH-000098,-0.758997157712
ACH-000099,-0.6983284941500001
ACH-000108,-0.39924640340499995
ACH-000113,-0.5542295475810001
ACH-000115,-0.7566602411669999
ACH-000116,-0.665876298244
ACH-000118,-0.485862099062
ACH-000120,-0.304187648476
ACH-000123,-0.5460978494740001
ACH-000127,-0.539324851694
ACH-000128,-0.659642871123
ACH-000132,-0.33201216520599997
ACH-000133,-0.5103235082159999
ACH-000137,-0.560607161068
ACH-000138,-0.575230701376
ACH-000142,-0.489372479683
ACH-000143,-0.463912526877
ACH-000146,-0.575074690087
ACH-000148,-0.475412137139
ACH-000150,-0.267303905023
ACH-000152,-0.446514056341
ACH-000153,-0.5392062348409999
ACH-000159,-0.53781108394
ACH-000160,-0.721905549945
ACH-000163,-0.491499300148
ACH-000167,-0.49079392623999996
ACH-000168,-0.549884863234
ACH-000169,-0.459474725102
ACH-000178,-0.5152579228899999
ACH-000182,-0.612819439959
ACH-000183,-0.824066069424
ACH-000188,-0.7046890915180001
ACH-000189,-0.59910510236
ACH-000190,-0.6443770143559999
ACH-000198,-0.552021666612
ACH-000204,-0.578942421012
ACH-000206,-0.632423661241
ACH-000207,-0.8007104614839999
ACH-000211,-0.6650387259889999
ACH-000215,-0.561842287976
ACH-000221,-0.5821812768469999
ACH-000222,-0.44461976498499994
ACH-000223,-0.7471558060100001
ACH-000226,-0.518720765937
ACH-000227,-0.586078738003
ACH-000228,-0.495015890287
ACH-000231,-0.5170535206710001
ACH-000232,-0.664661950128
ACH-000233,-0.604642890088
ACH-000234,-0.588026369152
ACH-000235,-0.600234588017
ACH-000237,-0.423896557153
ACH-000238,-0.332355835939
ACH-000243,-0.49324095497299997
ACH-000244,-0.35929115377400006
ACH-000246,-0.5347758571019999
ACH-000248,-0.780026526365
ACH-000250,-0.484294296069
ACH-000251,-0.438037737301
ACH-000253,-0.40795924291599994
ACH-000255,-0.608126371205
ACH-000256,-0.612308490633
ACH-000257,-0.578646637113
ACH-000258,-0.464368427465
ACH-000259,-0.459962796729
ACH-000260,-0.518743190282
ACH-000261,-0.659701267156
ACH-000262,-0.560317321771
ACH-000263,-1.32224807064
ACH-000264,-0.639559300763
ACH-000265,-0.628961494838
ACH-000266,-0.665959904041
ACH-000272,-0.693873023082
ACH-000273,-0.371451369222
ACH-000274,-0.728198876046
ACH-000277,-0.479580249705
ACH-000278,-0.264643266109
ACH-000279,-0.594591529594
ACH-000280,-0.793512645814
ACH-000281,-0.663893489641
ACH-000288,-0.565549275739
ACH-000291,-0.719844781444
ACH-000293,-0.678006670954
ACH-000294,-0.530330999951
ACH-000295,-0.543119090427
ACH-000296,-0.627666182646
ACH-000302,-0.7319225324099999
ACH-000304,-0.624656727115
ACH-000307,-0.735227028839
ACH-000308,-0.703138291517
ACH-000310,-0.817652369551
ACH-000311,-0.610204000433
ACH-000312,-0.534409530207
ACH-000315,-0.42135443069600004
ACH-000316,-0.328943457875
ACH-000317,-0.604574693681
ACH-000318,-0.6661258626250001
ACH-000319,-0.583349114779
ACH-000320,-0.591879881437
ACH-000322,-0.357126364787
ACH-000323,-0.711961709511
ACH-000324,-0.672037947405
ACH-000329,-0.512482963305
ACH-000330,-0.626536885039
ACH-000331,-0.693400377651
ACH-000332,-0.5042657882980001
ACH-000334,-0.695278239552
ACH-000335,-0.39888708415299995
ACH-000336,-0.5568071680919999
ACH-000337,-0.579606520163
ACH-000339,-0.651966827276
ACH-000341,-0.9436082337809999
ACH-000348,-0.41656348223300005
ACH-000350,-0.554952662403
ACH-000352,-0.590687917809
ACH-000356,-0.39177906104099997
ACH-000361,-0.410832610823
ACH-000362,-0.638385904191
ACH-000363,-0.528147683107
ACH-000364,-0.7445630520440001
ACH-000365,-0.623345099499
ACH-000366,-0.56875670619
ACH-000368,-0.114610968573
ACH-000374,-0.815659278751
ACH-000375,-0.366234135125
ACH-000376,-0.413075391473
ACH-000381,-0.659200688486
ACH-000383,-0.566033321565
ACH-000387,-0.7060793973909999
ACH-000389,-0.459554803653
ACH-000390,-0.775973676632
ACH-000393,-0.7701359000329999
ACH-000395,-0.8617088106980001
ACH-000397,-0.7510883949930001
ACH-000401,-0.43317919439999997
ACH-000402,-0.7539044883149999
ACH-000403,-0.610881078949
ACH-000404,-0.732037567382
ACH-000406,-0.605869702676
ACH-000407,-0.775787874752
ACH-000408,-0.5378670822230001
ACH-000410,-0.441438418032
ACH-000411,-0.5144200312789999
ACH-000414,-0.587511448325
ACH-000415,-0.690366194299
ACH-000416,-0.538887809701
ACH-000420,-0.466986132621
ACH-000421,-0.462443108639
ACH-000424,-0.646481275962
ACH-000425,-0.612014508569
ACH-000426,-0.529288932924
ACH-000427,-0.617946399549
ACH-000433,-0.604965828842
ACH-000436,-0.516619682654
ACH-000444,-0.36315116057700003
ACH-000445,-0.488412361602
ACH-000448,-0.60033776554
ACH-000450,-0.631080424741
ACH-000452,-0.5504800242019999
ACH-000454,-0.6963785860420001
ACH-000458,-0.442794312787
ACH-000459,-0.11538136506100001
ACH-000460,-0.6567640920210001
ACH-000461,-0.919214255045
ACH-000463,-0.587642983297
ACH-000464,-0.488863198544
ACH-000466,-0.730225094648
ACH-000467,-0.36892512267800004
ACH-000468,-0.676970740527
ACH-000469,-0.500060577677
ACH-000470,-0.7624398613619999
ACH-000471,-0.503545870312
ACH-000472,-0.64010586719
ACH-000473,-0.573925877516
ACH-000475,-0.651911453231
ACH-000476,-0.44823025233099995
ACH-000477,-0.503978425035
ACH-000480,-0.592968386528
ACH-000481,-0.541963463645
ACH-000483,-0.198667957319
ACH-000484,-0.5998687980340001
ACH-000485,-0.531875764434
ACH-000486,-0.593453797843
ACH-000487,-0.648446332687
ACH-000488,-0.6237165272380001
ACH-000490,-0.504997371775
ACH-000491,-0.47812904433200004
ACH-000495,-0.541845393143
ACH-000496,-0.633855418406
ACH-000499,-0.692335643555
ACH-000500,-0.726719565991
ACH-000502,-0.652477282884
ACH-000503,-0.655992630527
ACH-000505,-0.5669787391359999
ACH-000507,-0.626109541467
ACH-000510,-0.671890714012
ACH-000511,-0.42629432421700003
ACH-000512,-0.9260568485169999
ACH-000516,-0.560434443657
ACH-000517,-0.548758779005
ACH-000518,-0.55757832732
ACH-000520,-0.60252106768
ACH-000521,-0.689924800752
ACH-000522,-0.6718652817309999
ACH-000524,-0.6034717542520001
ACH-000527,-0.416868283728
ACH-000528,-0.421751861224
ACH-000537,-0.399799024528
ACH-000541,-0.389097899405
ACH-000542,-0.549724327047
ACH-000544,-0.7043287512399999
ACH-000545,-0.663398180225
ACH-000547,-0.486403424188
ACH-000548,-0.468303746099
ACH-000549,-0.607491822275
ACH-000550,-0.606562622466
ACH-000552,-0.499581853703
ACH-000556,-0.677862953962
ACH-000557,-0.74521603531
ACH-000570,-0.49260357522
ACH-000571,-0.7239830717129999
ACH-000573,-0.494940829305
ACH-000576,-0.55760661543
ACH-000580,-0.536714600553
ACH-000584,-0.525597320614
ACH-000585,-0.745260535319
ACH-000588,-0.294701738276
ACH-000589,-0.666134300414
ACH-000591,-0.686370783975
ACH-000593,-0.5457947588050001
ACH-000600,-0.624423716209
ACH-000601,-0.518241254132
ACH-000604,-0.537648686577
ACH-000605,-0.640802388272
ACH-000606,-0.6168765299100001
ACH-000608,-0.540916998604
ACH-000614,-0.6979630330169999
ACH-000616,-0.60559729704
ACH-000618,-0.440713494313
ACH-000619,-0.644359127531
ACH-000620,-0.801422820415
ACH-000621,-0.494858000252
ACH-000622,-0.7431141463359999
ACH-000623,-0.6237023252
ACH-000624,-0.5617306620620001
ACH-000627,-0.49408177585600005
ACH-000630,-0.611591902567
ACH-000632,-0.439697836545
ACH-000633,-0.453572160018
ACH-000637,-0.491755999282
ACH-000638,-0.5299531154070001
ACH-000646,-0.413887767305
ACH-000647,-0.482541573005
ACH-000648,-0.670489678495
ACH-000649,-0.597362083773
ACH-000651,-0.698744165599
ACH-000652,-0.642265377273
ACH-000653,-0.665096476902
ACH-000657,-0.652062009832
ACH-000658,-0.903019610287
ACH-000661,-0.31668188621300003
ACH-000662,-0.636911076168
ACH-000663,-0.576067580716
ACH-000665,-0.683288214208
ACH-000671,-0.440405582225
ACH-000673,-0.670209836069
ACH-000676,-0.51922466682
ACH-000677,-0.622233990154
ACH-000681,-0.5426316625850001
ACH-000682,-0.7671553878790001
ACH-000683,-0.49148791923600005
ACH-000684,-0.31197020547
ACH-000688,-0.513941673593
ACH-000693,-0.518703633185
ACH-000694,-0.7304425040970001
ACH-000695,-0.644239722714
ACH-000696,-0.551429654903
ACH-000697,-0.7489585664399999
ACH-000699,-0.5952109045130001
ACH-000701,-0.481507383534
ACH-000706,-0.49714898304099997
ACH-000711,-0.577988517802
ACH-000713,-0.673410220987
ACH-000714,-0.657311151659
ACH-000718,-0.57137077945
ACH-000720,-0.491592116731
ACH-000721,-1.07436449735
ACH-000724,-0.496181967126
ACH-000725,-0.629860139539
ACH-000732,-0.142828716164
ACH-000734,-0.8573930887860001
ACH-000735,-0.64648317643
ACH-000736,-0.365031991033
ACH-000738,-0.540109896719
ACH-000746,-0.271001217935
ACH-000747,-0.439690066551
ACH-000748,-0.459751860941
ACH-000753,-0.464915846566
ACH-000756,-0.6823714048139999
ACH-000757,-0.772592380303
ACH-000758,-0.289647995534
ACH-000760,-0.42585098617
ACH-000763,-0.632672593631
ACH-000764,-0.59702320486
ACH-000765,-0.523072934217
ACH-000766,-0.6558335840730001
ACH-000767,-0.7988489040060001
ACH-000768,-0.801905769698
ACH-000769,-0.537579921891
ACH-000770,-0.577997290381
ACH-000771,-0.507679548293
ACH-000773,-0.707256037528
ACH-000776,-0.693584852932
ACH-000777,-0.7040919651540001
ACH-000778,-0.536666842428
ACH-000781,-0.5321074347820001
ACH-000782,-0.662792854436
ACH-000783,-0.49726190745
ACH-000784,-0.573915880001
ACH-000785,-0.8001791589589999
ACH-000787,-0.475898830392
ACH-000788,-0.41970511616899997
ACH-000791,-0.576849295034
ACH-000792,-0.34139174365599995
ACH-000794,-0.363630926459
ACH-000796,-0.489641803747
ACH-000799,-0.15695743076
ACH-000800,-0.40198540173
ACH-000802,-0.558765202598
ACH-000804,-0.725404181268
ACH-000805,-0.554750794534
ACH-000809,-0.44060775464199997
ACH-000810,-0.241715997335
ACH-000811,-0.8026634492370001
ACH-000817,-0.597291573646
ACH-000819,-0.651510238053
ACH-000820,-0.882097902675
ACH-000821,-0.370784933472
ACH-000822,-0.8297956157999999
ACH-000823,-0.40078898072999997
ACH-000824,-0.611222531656
ACH-000827,-0.580563536631
ACH-000829,-0.46716455554700004
ACH-000831,-0.560226100276
ACH-000832,-0.41519502949500003
ACH-000833,-0.326034162522
ACH-000834,-0.6613592212730001
ACH-000835,-0.67818656255
ACH-000836,-0.6708511116
ACH-000837,-0.548324476879
ACH-000838,-0.47584373846100003
ACH-000839,-0.386280502235
ACH-000840,-0.512278310287
ACH-000841,-0.583711322424
ACH-000843,-0.498022568689
ACH-000846,-0.58434315101
ACH-000847,-0.328165879603
ACH-000848,-0.5277222674600001
ACH-000849,-0.692503506629
ACH-000851,-0.5279065567019999
ACH-000855,-0.7650296164839999
ACH-000856,-0.477654916429
ACH-000858,-0.594999748862
ACH-000859,-0.653264377439
ACH-000861,-0.450499115867
ACH-000862,-0.774264482587
ACH-000865,-0.5233178038840001
ACH-000866,-0.7543551693080001
