,OTOF (9381)
ACH-000004,-0.0592675113662
ACH-000007,-0.214921710985
ACH-000009,-0.0414012747078
ACH-000011,0.058386602394
ACH-000012,-0.08180155809299999
ACH-000013,-0.0871655520463
ACH-000014,-0.19819764892900002
ACH-000015,0.0546931881783
ACH-000017,0.038680863176300005
ACH-000018,0.0791320579774
ACH-000019,0.273503205638
ACH-000021,0.0363006904794
ACH-000022,-0.20344482577300002
ACH-000025,-0.052828913401100006
ACH-000028,0.06882682491480001
ACH-000030,-0.0777417157972
ACH-000035,-0.0353057014808
ACH-000036,-0.07028617428839999
ACH-000037,0.114356398816
ACH-000039,0.169862524159
ACH-000040,0.0781395585131
ACH-000041,-0.00884513273674
ACH-000042,-0.0883942123308
ACH-000045,0.0032449478492800003
ACH-000047,-0.00214351821187
ACH-000052,-0.212667016757
ACH-000053,-0.06863716486390001
ACH-000054,-0.143699695358
ACH-000055,-0.0409218690134
ACH-000060,0.125075046636
ACH-000067,-0.11534887854499999
ACH-000070,0.0919000860712
ACH-000075,-0.100418994679
ACH-000078,-0.107901964457
ACH-000082,-0.061102235026000006
ACH-000085,-0.313487705899
ACH-000086,-0.07720068257669999
ACH-000087,-0.0331414042908
ACH-000092,-0.192615859196
ACH-000095,-0.0314441485946
ACH-000097,0.11952440918299999
ACH-000098,-0.150749579592
ACH-000099,-0.121575512359
ACH-000108,-0.13109583979800002
ACH-000113,0.0257349628185
ACH-000115,-0.0978608645927
ACH-000116,0.0207181791394
ACH-000118,0.0447798147989
ACH-000120,0.0635869782525
ACH-000123,-0.0340857599455
ACH-000127,-0.00961809876619
ACH-000128,-0.353235455433
ACH-000132,0.109112919252
ACH-000133,-0.206082009549
ACH-000137,-0.214386510326
ACH-000138,0.0132893383389
ACH-000142,-0.129345026998
ACH-000143,-0.108350875978
ACH-000146,-0.171089027194
ACH-000148,0.18557676418400001
ACH-000150,0.23854094128199999
ACH-000152,-0.21324454279199997
ACH-000153,0.09628916793919999
ACH-000159,0.07545392149039999
ACH-000160,0.171134388024
ACH-000163,-0.054399158028899997
ACH-000167,-0.285854757548
ACH-000168,0.139026956776
ACH-000169,0.0833318699894
ACH-000178,0.0395093128658
ACH-000182,-0.06514359214769999
ACH-000183,-0.0905712260747
ACH-000188,-0.138555726082
ACH-000189,0.186593090578
ACH-000190,-0.042605376912900006
ACH-000198,0.16709789215
ACH-000204,-0.0984388028293
ACH-000206,-0.0409705189118
ACH-000207,-0.104122983718
ACH-000211,0.066133810582
ACH-000215,-0.07765610025110001
ACH-000221,-0.108835457166
ACH-000222,0.0369773090924
ACH-000223,0.0411699376583
ACH-000226,-0.18536892181200001
ACH-000227,-0.11382457022
ACH-000228,0.229819799023
ACH-000231,-0.0312778349619
