,KRAS (3845)
ACH-000004,-0.307910921745
ACH-000007,-1.39522787224
ACH-000009,-1.25577007192
ACH-000011,0.017159135677
ACH-000012,-0.207005733683
ACH-000013,-0.200197884336
ACH-000014,-0.37936722821900004
ACH-000015,-0.426830606367
ACH-000017,-0.5351612890190001
ACH-000018,-0.563589665417
ACH-000019,-0.274365522031
ACH-000021,-0.44957191429399995
ACH-000022,-1.54878167697
ACH-000025,-0.489011269709
ACH-000028,-0.335495185784
ACH-000030,-0.0805219330292
ACH-000035,-0.48631258658
ACH-000036,-0.591965819908
ACH-000037,-0.346776657458
ACH-000039,-0.46019151653800006
ACH-000040,-0.254820287542
ACH-000041,-0.42165515877
ACH-000042,-1.7723208373700001
ACH-000045,-0.565205684343
ACH-000047,-0.250520207354
ACH-000052,-0.48473792015
ACH-000053,-0.316256771662
ACH-000054,-0.441342196043
ACH-000055,-0.340189373528
ACH-000060,-1.3117093008399998
ACH-000067,-0.44435722553999996
ACH-000070,-0.356380133965
ACH-000075,-0.507450097891
ACH-000078,-0.538780783502
ACH-000082,-0.367102949516
ACH-000085,-0.67142911249
ACH-000086,-0.354973960741
ACH-000087,-0.350359417562
ACH-000092,-0.277406106669
ACH-000095,-0.37695162213100003
ACH-000097,-0.969682829675
ACH-000098,-0.20877823615899999
ACH-000099,-0.8153012916419999
ACH-000108,-0.955553196669
ACH-000113,-0.346961374976
ACH-000115,-0.452678982025
ACH-000116,-0.5095372297649999
ACH-000118,-0.37210761240699997
ACH-000120,-0.44790028038900004
ACH-000123,-0.33157403983600003
ACH-000127,-0.342325004811
ACH-000128,-0.350648876233
ACH-000132,-0.651844581385
ACH-000133,-0.685858383598
ACH-000137,-0.405755657381
ACH-000138,-1.38970642604
ACH-000142,-0.471900591164
ACH-000143,-0.490553352572
ACH-000146,-0.43241839000200005
ACH-000148,-0.441266988295
ACH-000150,-0.117852456871
ACH-000152,-0.26329998143399996
ACH-000153,-0.804137493779
ACH-000159,-0.134996392822
ACH-000160,-0.557952661579
ACH-000163,-1.3697862535799998
ACH-000167,-0.5069585552520001
ACH-000168,-1.16573995373
ACH-000169,-0.22331869011799999
ACH-000178,-1.19443086782
ACH-000182,-1.3884977981
ACH-000183,-0.289477500939
ACH-000188,-0.0802734018264
ACH-000189,-0.10729141512599999
ACH-000190,-0.45400510298600005
ACH-000198,-0.746433130815
ACH-000204,-0.20995317994600002
ACH-000206,-0.35313561464800003
ACH-000207,-0.790687206579
ACH-000211,-0.283265889394
ACH-000215,-0.26465261185600003
ACH-000221,-0.8834988491500001
ACH-000222,-1.2684969086
ACH-000223,-0.302729212029
ACH-000226,-0.338674558267
ACH-000227,-0.313427310088
ACH-000228,-0.502041504302
ACH-000231,-0.474360214599
ACH-000232,-0.43802012120300005
ACH-000233,-0.256468438087
ACH-000234,-0.46061586891199996
ACH-000235,-1.6200874069100002
ACH-000237,-0.338947070748
ACH-000238,-0.596284709666
ACH-000243,-1.2284873078299998
ACH-000244,-0.53131760209
ACH-000246,-0.337835178805
ACH-000248,-0.160979608084
ACH-000250,-0.331990349539
ACH-000251,-1.30954384573
ACH-000253,-0.477717345715
ACH-000255,-0.32441578000300003
ACH-000256,-0.240694441923
ACH-000257,-0.776420472626
ACH-000258,-0.569414862878
ACH-000259,-0.285251252043
ACH-000260,-0.222782282947
ACH-000261,-0.272785276249
ACH-000262,-0.628347876787
ACH-000263,-0.35274372262599996
ACH-000264,-1.8901816297
ACH-000265,-1.13348263577
ACH-000266,-1.5392366916799998
ACH-000272,-0.323326517275
ACH-000273,-0.382981377
ACH-000274,-0.27067381575599997
ACH-000277,-1.1541931807799999
ACH-000278,-0.136068320791
ACH-000279,-0.48884530035499996
ACH-000280,-0.524791954723
ACH-000281,-1.46896390775
ACH-000288,-0.22472181178800002
ACH-000291,-0.34147147998300004
ACH-000293,-0.21302621317899997
ACH-000294,-1.4987713351299998
ACH-000295,-0.447753714669
ACH-000296,-0.617921036458
ACH-000302,-0.2682978855
ACH-000304,-0.561734889636
ACH-000307,-1.3751050844
ACH-000308,-0.0489863791646
ACH-000310,-0.594355055454
ACH-000311,-0.8023936531110001
ACH-000312,-0.758403612386
ACH-000315,-0.168934405702
