,PHLDA2 (7262)
ACH-000004,0.015394446785799999
ACH-000007,-0.0161975060605
ACH-000009,-0.17380114020999998
ACH-000011,-0.0363662517975
ACH-000012,-0.242843584285
ACH-000013,-0.0518748671851
ACH-000014,0.0810095023605
ACH-000015,0.00249369823911
ACH-000017,0.701066405675
ACH-000018,-0.06594528939899999
ACH-000019,-0.42150266268700004
ACH-000021,-0.158835369675
ACH-000022,-0.149235340961
ACH-000025,-0.124472612962
ACH-000028,-0.18054952029
ACH-000030,-0.22406985879900002
ACH-000035,-0.049933717403
ACH-000036,-0.25296533522
ACH-000037,-0.09480419264939999
ACH-000039,0.0385474940344
ACH-000040,-0.0433994432034
ACH-000041,0.0505412300765
ACH-000042,-0.18854495842799998
ACH-000045,-0.14646228755899998
ACH-000047,-0.148921602119
ACH-000052,-0.0354261643862
ACH-000053,-0.0876725991791
ACH-000054,-0.0734419992299
ACH-000055,-0.23626956929
ACH-000060,-0.08768821475829999
ACH-000067,-0.154813527763
ACH-000070,-0.18621798996199998
ACH-000075,-0.0327456427764
ACH-000078,-0.300902902942
ACH-000082,-0.21560332293200002
ACH-000085,0.00886003117671
ACH-000086,-0.153916201748
ACH-000087,0.285230523751
ACH-000092,-0.010756923418299999
ACH-000095,-0.058938413290800004
ACH-000097,-0.10436477800699999
ACH-000098,-0.19006830586800003
ACH-000099,-0.213845113895
ACH-000108,-0.0934357662668
ACH-000113,-0.165321430737
ACH-000115,-0.014176517218599999
ACH-000116,-0.10182648927400001
ACH-000118,-0.140215021278
ACH-000120,-0.13807274434900002
ACH-000123,-0.191447799181
ACH-000127,-0.152009766167
ACH-000128,0.06547121955730001
ACH-000132,0.00855707435494
ACH-000133,-0.189555096206
ACH-000137,-0.142446796816
ACH-000138,-0.0822791227349
ACH-000142,0.338988294413
ACH-000143,0.07129541234289999
ACH-000146,-0.156521246436
ACH-000148,-0.11244042603700001
ACH-000150,-0.133014462944
ACH-000152,-0.10596439782
ACH-000153,-0.058349386589999996
ACH-000159,-0.22614027319000002
ACH-000160,-0.342376801052
ACH-000163,-0.071317067802
ACH-000167,-0.379413956796
ACH-000168,-0.09665028530519999
ACH-000169,-0.09576515782169999
ACH-000178,-0.135913366573
ACH-000182,-0.148119045461
ACH-000183,0.0340669019127
ACH-000188,0.0350186771392
ACH-000189,-0.346464591166
ACH-000190,-0.0784630963011
ACH-000198,0.0218655957961
ACH-000204,-0.05422733607469999
ACH-000206,-0.16795451852
ACH-000207,0.214548100377
ACH-000211,-0.0939841116027
ACH-000215,-0.0998287475557
ACH-000221,-0.0719674094157
ACH-000222,-0.28828540117199997
ACH-000223,-0.206472286959
ACH-000226,-0.107794099451
ACH-000227,-0.260708554346
ACH-000228,-0.0513519783035
ACH-000231,-0.224911212588
ACH-000232,-0.158272250188
ACH-000233,-0.0725798267837
ACH-000234,-0.35939294143
ACH-000235,-0.0707472834333
ACH-000237,-0.16816863028700002
ACH-000238,0.0156998436738
ACH-000243,-0.248725724023
ACH-000244,-0.0352224917306
ACH-000246,-0.0875335492668
ACH-000248,0.8262162418729999
ACH-000250,0.069920890557
ACH-000251,0.25432115322099996
ACH-000253,-0.261398313733
ACH-000255,0.0838253519151
ACH-000256,-0.0636897925884
ACH-000257,-0.0326028153924
ACH-000258,-0.0469608184343
ACH-000259,-0.0366288840678
ACH-000260,-0.123013783246
ACH-000261,-0.213318039453
ACH-000262,-0.0563632884054
ACH-000263,-0.07071324779230001
ACH-000264,-0.20144600648699998
ACH-000265,-0.0846148080401
ACH-000266,-0.109456455687
ACH-000272,-0.152144175726
ACH-000273,-0.24091190732599999
ACH-000274,-0.11168995635
ACH-000277,-0.18871875315699999
ACH-000278,-0.224253948088
ACH-000279,-0.115787485023
ACH-000280,0.024055458942299997
ACH-000281,-0.0858084842444
ACH-000288,-0.133739034191
ACH-000291,-0.08231769184650001
ACH-000293,-0.158690324475
ACH-000294,-0.142970447732
ACH-000295,-0.274627060269
ACH-000296,-0.0460913417624
ACH-000302,0.150990113157
ACH-000304,-0.23909541386
ACH-000307,-0.0302610693811
ACH-000308,-0.09743019977839999
ACH-000310,-0.457735550044
ACH-000311,-0.118421498852
ACH-000312,-0.037859089178199995
ACH-000315,0.138917867958
ACH-000316,-0.126140016839
ACH-000317,-0.20140112952999997
ACH-000318,0.08848462991110001
ACH-000319,-0.159497998807
ACH-000320,-0.223035282065
ACH-000322,-0.438169682337
ACH-000323,-0.127128659017
ACH-000324,-0.112714635371
ACH-000329,-0.206325369432
ACH-000330,-0.19202120133
