,PPM1G (5496)
ACH-000004,-0.333235695206
ACH-000007,-0.7292282406389999
ACH-000009,-0.244394851311
ACH-000011,-0.785709708188
ACH-000012,-0.09176819681050001
ACH-000013,0.0990221980522
ACH-000014,-0.835975577111
ACH-000015,0.229161291001
ACH-000017,-0.22214336231100001
ACH-000018,-0.180865039674
ACH-000019,-0.22764178705899998
ACH-000021,-0.0164184980448
ACH-000022,-0.18803884122499998
ACH-000025,-0.0171836375235
ACH-000028,-0.940207190632
ACH-000030,-0.125582780338
ACH-000035,-0.177843130799
ACH-000036,0.21249949233600002
ACH-000037,-0.40499706255999995
ACH-000039,-0.14387971076199998
ACH-000040,-0.330012551246
ACH-000041,0.153772877905
ACH-000042,-0.23221690443000004
ACH-000045,-0.6455443267809999
ACH-000047,-0.124588951643
ACH-000052,0.0636571760915
ACH-000053,0.166022529376
ACH-000054,-0.16948646958799998
ACH-000055,-0.17829635971000002
ACH-000060,-0.0208582828149
ACH-000067,-0.07951353235360001
ACH-000070,-0.23532505221099997
ACH-000075,-0.146531818033
ACH-000078,-0.13056540879
ACH-000082,-0.48340716958700003
ACH-000085,-0.0629613433046
ACH-000086,-0.0713115560302
ACH-000087,0.0329414306128
ACH-000092,-0.307448202238
ACH-000095,-0.17587024722
ACH-000097,-0.7330495573360001
ACH-000098,-0.183160188533
ACH-000099,-0.452888730856
ACH-000108,0.08747931973629999
ACH-000113,0.112663187959
ACH-000115,-0.200676039806
ACH-000116,-0.233718957326
ACH-000118,-0.16950763884
ACH-000120,-0.471143082619
ACH-000123,-0.408761464678
ACH-000127,-0.106507473971
ACH-000128,0.0138163632587
ACH-000132,-0.152315905958
ACH-000133,-0.13900149445499999
ACH-000137,0.0349692024818
ACH-000138,0.181584309864
ACH-000142,-0.12328229952
ACH-000143,-0.162092880114
ACH-000146,-0.12461241247600001
ACH-000148,-0.217435749806
ACH-000150,0.012372438278399999
ACH-000152,-0.11248461970200001
ACH-000153,-0.133309550344
ACH-000159,-0.33978032634800004
ACH-000160,-0.07644933497939999
ACH-000163,-0.20000563466899998
ACH-000167,-0.402793464335
ACH-000168,-0.34206869140100005
ACH-000169,-0.0692793727884
ACH-000178,-0.18210439698
ACH-000182,-0.167762616917
ACH-000183,0.0440062374151
ACH-000188,-0.190265840386
ACH-000189,-0.336802355559
ACH-000190,-0.0195382636175
ACH-000198,-0.26896823555
ACH-000204,0.113829243271
ACH-000206,-0.049666113917199994
ACH-000207,-0.23337316578899997
ACH-000211,-0.173006227801
ACH-000215,-0.194557002267
ACH-000221,0.0462787139288
ACH-000222,-0.29220856552499996
ACH-000223,-0.209797515683
ACH-000226,-0.23244921404399999
ACH-000227,-0.0209597157178
ACH-000228,0.195856406384
ACH-000231,-0.165413315542
ACH-000232,-0.131968718506
ACH-000233,0.31363234350900004
ACH-000234,-0.404732559735
ACH-000235,-0.36292551813900004
ACH-000237,-0.331052907686
ACH-000238,-0.45982641428000004
ACH-000243,0.0566902062797
ACH-000244,-0.487856713868
ACH-000246,-0.351892358715
ACH-000248,-0.257228679441
ACH-000250,-0.10235756365599999
ACH-000251,-0.301718281222
ACH-000253,-0.295341916967
ACH-000255,0.201090908252
ACH-000256,-0.181095146314
ACH-000257,0.113181989884
ACH-000258,0.115035393235
ACH-000259,-0.374852411127
ACH-000260,-0.17921354330400002
ACH-000261,-0.18282495388300002
ACH-000262,-0.12359657421499999
ACH-000263,-0.390872250118
ACH-000264,-0.520332032722
ACH-000265,0.0940673666907
ACH-000266,-0.19999659350200003
ACH-000272,0.118177243536
ACH-000273,-0.17701996581300003
ACH-000274,-0.175708550858
ACH-000277,-0.570638997426
ACH-000278,-0.341490545066
ACH-000279,-0.00185063744749
ACH-000280,0.203567079331
ACH-000281,-0.144877915674
ACH-000288,-0.309857071644
ACH-000291,-0.522293532329
ACH-000293,-0.115270493012
ACH-000294,-0.05177734272469999
