,CFLAR (8837)
ACH-000004,-0.798220738543
ACH-000007,-0.34916869199100004
ACH-000009,-0.638811516954
ACH-000011,-1.3547317293
ACH-000012,-1.37330778246
ACH-000013,-0.8347006241249999
ACH-000014,-0.399337604295
ACH-000015,-0.338132805755
ACH-000017,-0.437206699366
ACH-000018,-1.07180743581
ACH-000019,-0.157074162549
ACH-000021,-0.06768272322409999
ACH-000022,-0.576583452393
ACH-000025,-1.12561104331
ACH-000028,-0.30735894153099996
ACH-000030,-0.982879399193
ACH-000035,-0.319457777787
ACH-000036,-0.431553534049
ACH-000037,-1.1185504914
ACH-000039,-0.6900368736210001
ACH-000040,-0.4423617971
ACH-000041,-0.202615592198
ACH-000042,-1.25907968932
ACH-000045,-0.526508821102
ACH-000047,-0.9174754875839999
ACH-000052,-0.490942366214
ACH-000053,-1.7023199314300002
ACH-000054,-0.7395815815189999
ACH-000055,-0.191008971443
ACH-000060,-0.974573620147
ACH-000067,-0.43609851081
ACH-000070,-0.37001657035999996
ACH-000075,-0.468947954266
ACH-000078,-0.321638510325
ACH-000082,-0.407670243706
ACH-000085,-0.9346426845
ACH-000086,-1.04440371034
ACH-000087,-0.166155725039
ACH-000092,-1.44534510403
ACH-000095,-0.339139248086
ACH-000097,-0.15922306245999998
ACH-000098,-0.537182949895
ACH-000099,-0.403675295017
ACH-000108,-1.58416653437
ACH-000113,-1.11790077899
ACH-000115,-0.44237841678
ACH-000116,-0.615417920199
ACH-000118,-1.0937845993100002
ACH-000120,-0.5119888017059999
ACH-000123,-0.630117845195
ACH-000127,-1.20739344996
ACH-000128,-0.469363535255
ACH-000132,0.0456354145273
ACH-000133,-0.132411484099
ACH-000137,-0.990641247991
ACH-000138,-1.3775667640600002
ACH-000142,-1.01412599933
ACH-000143,-0.884521933337
ACH-000146,-0.9474470918860001
ACH-000148,-0.283707120553
ACH-000150,-0.316683530804
ACH-000152,-0.31637073646200004
ACH-000153,-0.690848118818
ACH-000159,-0.450085262077
ACH-000160,-0.860456562826
ACH-000163,-0.127907095116
ACH-000167,-1.5512568714100001
ACH-000168,-1.0277751828200001
ACH-000169,-0.13587453212700001
ACH-000178,-0.900216568472
ACH-000182,-1.48598249291
ACH-000183,-1.29819863828
ACH-000188,-0.07648129382230001
ACH-000189,-0.879098654984
ACH-000190,-0.46623486962300004
ACH-000198,-1.01846011285
ACH-000204,-1.40359770878
ACH-000206,-1.3836004725400002
ACH-000207,-1.0459198255500002
ACH-000211,-0.7575084893619999
ACH-000215,-0.42581474330499997
ACH-000221,-0.239228795988
ACH-000222,-0.780302813226
ACH-000223,-1.48618990991
ACH-000226,-0.6605135981920001
ACH-000227,0.0185849352483
ACH-000228,-0.45879109964599996
ACH-000231,-0.41199407777900005
ACH-000232,-0.19612876470899998
ACH-000233,-1.8134336362099999
ACH-000234,-1.03548969781
ACH-000235,-1.03091340766
ACH-000237,-0.6807604084550001
ACH-000238,-0.626210922726
ACH-000243,-1.0121130697399998
ACH-000244,-0.262209077974
ACH-000246,-1.37549750475
ACH-000248,-0.420553336427
ACH-000250,-1.34921893152
ACH-000251,-1.53550781604
ACH-000253,-1.3631159538100002
ACH-000255,-0.0340809897506
ACH-000256,-0.8114092933600001
ACH-000257,0.285660512213
ACH-000258,-0.476484668998
ACH-000259,-0.36866736776500003
ACH-000260,-0.387949671476
ACH-000261,-0.359179141395
ACH-000262,-1.25434256375
ACH-000263,-0.17743449855500001
ACH-000264,-1.5822710358
ACH-000265,-0.54717146291
ACH-000266,-1.2770344525
ACH-000272,-1.45670401171
ACH-000273,-1.6074588352399999
ACH-000274,0.045902192441300005
ACH-000277,-0.37757966408200005
ACH-000278,-0.318938949652
ACH-000279,-0.355789693077
ACH-000280,-1.2834184360299998
ACH-000281,-0.651596623623
ACH-000288,-0.31064528569600003
ACH-000291,-1.29329123521
ACH-000293,-0.589446094442
ACH-000294,-1.18964881683
ACH-000295,-0.305422541664
ACH-000296,-0.521964072632
ACH-000302,-0.282132099512
ACH-000304,-0.5355881509
ACH-000307,-0.482531927267
ACH-000308,-1.2506994405
ACH-000310,-0.5318748709660001
ACH-000311,-1.25475606653
ACH-000312,-0.327135304208
ACH-000315,-0.469124304591
ACH-000316,-0.9304351264290001
ACH-000317,-0.9093286797210001
ACH-000318,-0.123367563983
ACH-000319,-0.729987612141
ACH-000320,-1.24032056752
ACH-000322,-0.685865064347
ACH-000323,-0.0984967650282
ACH-000324,-1.6047581479799997
ACH-000329,-0.50064463798
ACH-000330,-0.6434484056149999
ACH-000331,-1.1348745573799999
ACH-000332,-1.3370068296200002
ACH-000334,0.0736763436293
ACH-000335,-1.12831872221
ACH-000336,-0.600380265952
ACH-000337,-0.920363814391
ACH-000339,-0.468147168648
ACH-000341,-0.34089880442000003
ACH-000348,-1.36288018565
ACH-000350,-0.0974048016348
ACH-000352,-0.7516173600689999
ACH-000356,-0.7679320100110001
ACH-000361,-0.8415601820540001
ACH-000362,-0.855784310178
ACH-000363,-0.172237675847
ACH-000364,-0.348102089194
ACH-000365,-0.538477128384
ACH-000366,-0.22857578816100002
ACH-000368,-1.12965868604
ACH-000374,-1.03279282662
ACH-000375,-0.568625790941
ACH-000376,-0.37632321064
ACH-000381,-0.68395256381
ACH-000383,-1.2126951692899999
ACH-000387,-1.2753921209399999
ACH-000389,-0.558027483368
ACH-000390,-0.971711156538
ACH-000393,-1.14639735236
ACH-000395,-0.677544746591
ACH-000397,-1.42185197936
ACH-000401,-0.8297321485420001
ACH-000402,-0.689578333407
ACH-000403,-0.957065331937
ACH-000404,-0.206830761519
ACH-000406,-0.632778033031
ACH-000407,-0.5714864165910001
ACH-000408,-0.792337641177
ACH-000410,-0.288168474839
ACH-000411,-1.29134226493
ACH-000414,-0.9947528358159999
ACH-000415,-0.381326528406
ACH-000416,-0.837165097203
ACH-000420,-0.912454097061
ACH-000421,-0.790547448688
ACH-000424,-0.203009200838
ACH-000425,-0.461744048152
ACH-000426,-2.38227986138
ACH-000427,-0.948129102936
ACH-000433,-0.71064858424
ACH-000436,-0.988843383156
ACH-000444,-0.564469339823
ACH-000445,-0.7603033219130001
ACH-000448,-1.42780595963
ACH-000450,-0.655661063483
ACH-000452,-0.179625446467
ACH-000454,-0.17781289260000002
ACH-000458,-0.145958456815
ACH-000459,-2.00290124129
ACH-000460,-1.5559388675
ACH-000461,-0.728748694428
ACH-000463,-1.02401792703
ACH-000464,-0.251213458407
ACH-000466,-1.45266023562
ACH-000467,-1.29344598857
ACH-000468,-1.28666008309
ACH-000469,-0.47626614560099995
ACH-000470,-1.64613009162
ACH-000471,-0.836094272673
ACH-000472,0.0252366721459
ACH-000473,-0.996701394342
ACH-000475,-0.834418206088
