,STAT5A (6776)
ACH-000004,-0.8939770102529999
ACH-000007,-0.555570831017
ACH-000009,-0.903212982159
ACH-000011,-0.557280841615
ACH-000012,-0.809091475362
ACH-000013,-0.515749077521
ACH-000014,-0.636265722546
ACH-000015,-0.31651927811999997
ACH-000017,-0.807838106348
ACH-000018,-0.57580007219
ACH-000019,-0.381293517875
ACH-000021,-0.522356431299
ACH-000022,-0.44594919065300004
ACH-000025,-0.384199722129
ACH-000028,-0.60267965236
ACH-000030,-0.607551697051
ACH-000035,-0.425158574848
ACH-000036,-0.7322374920620001
ACH-000037,-0.590067860468
ACH-000039,-0.569779370775
ACH-000040,-0.570629613048
ACH-000041,-0.7569764494750001
ACH-000042,-0.61067714181
ACH-000045,-0.898537628394
ACH-000047,-0.717473726578
ACH-000052,-0.554889915953
ACH-000053,-0.7436193103100001
ACH-000054,-0.665602922218
ACH-000055,-0.65049548478
ACH-000060,-0.698358149796
ACH-000067,-0.638219247108
ACH-000070,-0.670257006291
ACH-000075,-0.733660498185
ACH-000078,-0.7634814658239999
ACH-000082,-0.64675374244
ACH-000085,-0.137175211799
ACH-000086,-0.817482631578
ACH-000087,-0.289933659203
ACH-000092,-0.656107555156
ACH-000095,-0.686554069866
ACH-000097,-0.605711791665
ACH-000098,-0.658396498867
ACH-000099,-0.8413821961939999
ACH-000108,-0.701795172645
ACH-000113,-0.5812923331600001
ACH-000115,-0.659097300186
ACH-000116,-0.5972891911289999
ACH-000118,-0.5452806190380001
ACH-000120,-0.519562267779
ACH-000123,-0.594749259158
ACH-000127,-0.5346344974480001
ACH-000128,-0.607562223159
ACH-000132,-0.686685621442
ACH-000133,-0.372814498018
ACH-000137,-0.43274576725100006
ACH-000138,-0.7913426695929999
ACH-000142,-0.686004513546
ACH-000143,-0.725986138715
ACH-000146,-0.540673647268
ACH-000148,-0.687320036239
ACH-000150,-0.42356353342299996
ACH-000152,-0.577061150275
ACH-000153,-0.9711957679180001
ACH-000159,-0.8456845646789999
ACH-000160,-0.479789853139
ACH-000163,-0.55499312514
ACH-000167,-0.593556503993
ACH-000168,-0.8641462697799999
ACH-000169,-0.534345960111
ACH-000178,-0.680708679259
ACH-000182,-0.708379153592
ACH-000183,-0.459030844982
ACH-000188,-0.5466722847869999
ACH-000189,-0.38460874309199994
ACH-000190,-0.610737283601
ACH-000198,-0.8932064133550001
ACH-000204,-0.22904107320999997
ACH-000206,-0.60373660829
ACH-000207,-0.46363009065800004
ACH-000211,-0.720195760738
ACH-000215,-0.7020842363750001
ACH-000221,-0.646071621155
ACH-000222,-0.444070831126
ACH-000223,-0.529650010149
ACH-000226,-0.699444867676
ACH-000227,-0.828701253307
ACH-000228,-0.767049844742
ACH-000231,-0.705225858893
ACH-000232,-0.697974742043
ACH-000233,-0.397511443009
ACH-000234,-0.622315316897
ACH-000235,-0.564282828686
ACH-000237,-0.468582918593
ACH-000238,-0.679546038336
ACH-000243,-0.581620850498
ACH-000244,-0.640704158292
ACH-000246,-0.491991673116
ACH-000248,-0.769246870535
ACH-000250,-0.768174057782
ACH-000251,-0.707375486986
ACH-000253,-0.622410343612
ACH-000255,-0.546617796428
