,SYNRG (11276)
ACH-000004,-0.055469070315699996
ACH-000007,0.10974232891499999
ACH-000009,-0.21223208754099998
ACH-000011,-0.257290299964
ACH-000012,-0.300877512006
ACH-000013,-0.08054902092789999
ACH-000014,0.07503051597430001
ACH-000015,-0.0497959949091
ACH-000017,0.013852613119900001
ACH-000018,-0.19122065051800002
ACH-000019,0.0889245726788
ACH-000021,-0.0820230294439
ACH-000022,0.0688530454881
ACH-000025,-0.132979322447
ACH-000028,-0.119252070671
ACH-000030,-0.138344054178
ACH-000035,0.000135678769139
ACH-000036,-0.0015940773430499998
ACH-000037,0.10461162413899999
ACH-000039,0.058659812536699996
ACH-000040,0.11321707502
ACH-000041,0.00439331977816
ACH-000042,0.0368240979204
ACH-000045,-0.198313334322
ACH-000047,-0.164875322468
ACH-000052,0.00199806424892
ACH-000053,-0.023841772692
ACH-000054,-0.11569775600500001
ACH-000055,-0.21219357051600002
ACH-000060,-0.122499370516
ACH-000067,-0.235737011984
ACH-000070,-0.127482907907
ACH-000075,0.00390474291508
ACH-000078,-0.0468377049592
ACH-000082,-0.00753693853885
ACH-000085,0.131074520245
ACH-000086,-0.0690900854326
ACH-000087,-0.0775816604694
ACH-000092,-0.0704527211217
ACH-000095,-0.117492048179
ACH-000097,-0.103099424593
ACH-000098,0.0359320893608
ACH-000099,0.09109771654370001
ACH-000108,0.055222784698199995
ACH-000113,0.09849945799139999
ACH-000115,-0.367087173643
ACH-000116,-0.194728388444
ACH-000118,-0.181794846921
ACH-000120,0.16558394865999998
ACH-000123,-0.100764080916
ACH-000127,-0.0604331872817
ACH-000128,-0.09905175772080001
ACH-000132,-0.035291267083900006
ACH-000133,-0.032594103757599996
ACH-000137,0.136558223223
ACH-000138,-0.476208218613
ACH-000142,-0.122382672699
ACH-000143,-0.0338577218453
ACH-000146,0.00400906462039
ACH-000148,0.022235384107400002
ACH-000150,0.014513070345
ACH-000152,-0.22777963127300002
ACH-000153,-0.0939283106522
ACH-000159,-0.149604573105
ACH-000160,-0.210632472352
ACH-000163,-0.125953825875
ACH-000167,-0.14608008661900002
ACH-000168,0.0732540444621
ACH-000169,-0.0846903654537
ACH-000178,-0.039266915509300004
ACH-000182,-0.0347251612742
ACH-000183,-0.07973950419789999
ACH-000188,-0.127467524606
ACH-000189,-0.31612104037
ACH-000190,-0.0351941166905
ACH-000198,-0.0356872651628
ACH-000204,-0.298911557753
ACH-000206,-0.0178944128951
ACH-000207,-0.11146811201199999
ACH-000211,-0.0578004391081
ACH-000215,0.0797089010895
ACH-000221,0.0803385188953
ACH-000222,-0.019952273365599998
ACH-000223,-0.0759054395455
ACH-000226,-0.0722329318226
ACH-000227,-0.331060611305
ACH-000228,0.039236960490699996
ACH-000231,-0.177121549931
ACH-000232,0.0858844733674
ACH-000233,0.0813060065979
ACH-000234,-0.0590473204784
ACH-000235,-0.191992911101
ACH-000237,0.029260244198500002
ACH-000238,0.0178974250033
